columna,columna_1,"CUADRO 13 - Nacimientos por nivel educativo de la madre según departamento, municipio de residencia y grupo de edad de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,año,tipo,hoja_origen
,,"Año Corrido 2023, preliminar - (Nacimientos ocurridos y reportados por la fuente hasta el 31 de enero de 2023)",,,,,,,,,,,,,,,,,,2023,nacimientos,Cuadro13
,,Volver al índice,Departamento,,,,Municipio,,,,,,,,,,,,,2023,nacimientos,Cuadro13
,,"Departamento, municipio de residencia y grupo de edad de la madre",,,Total,Nivel educativo de la madre,,,,,,,,,,,,,,2023,nacimientos,Cuadro13
,,,,,,Preescolar,Básica primaria,Básica secundaria,Media académica o clásica,Media técnica,Normalista,Técnica profesional,Tecnológica,Profesional,Especialización,Maestría,Doctorado,Ninguno,Sin información,2023,nacimientos,Cuadro13
3.0,3000.0,Total Nacional,,Total,43744,53,4303,9487,14840,947,63,3823,2463,5174,609,175,19,478,1310,2023,nacimientos,Cuadro13
3.0,3000.0,,,De 10-14 Años,321,1,121,179,2,3,0,0,0,0,0,0,0,3,12,2023,nacimientos,Cuadro13
3.0,3000.0,,,De 15-19 Años,6831,6,985,2982,2198,122,8,91,46,26,0,0,0,93,274,2023,nacimientos,Cuadro13
3.0,3000.0,,,De 20-24 Años,11772,13,1015,2757,5092,324,16,962,599,507,3,1,0,111,372,2023,nacimientos,Cuadro13
3.0,3000.0,,,De 25-29 Años,11249,11,828,1804,3945,258,10,1341,856,1670,104,20,0,76,326,2023,nacimientos,Cuadro13
3.0,3000.0,,,De 30-34 Años,8223,12,655,1074,2305,150,22,946,632,1808,265,65,6,88,195,2023,nacimientos,Cuadro13
3.0,3000.0,,,De 35-39 Años,4156,8,501,529,1018,67,6,382,271,937,188,73,11,65,100,2023,nacimientos,Cuadro13
3.0,3000.0,,,De 40-44 Años,1121,2,175,152,267,23,1,99,58,215,48,16,0,34,31,2023,nacimientos,Cuadro13
3.0,3000.0,,,De 45-49 Años,69,0,23,10,12,0,0,2,1,11,1,0,2,7,0,2023,nacimientos,Cuadro13
3.0,3000.0,,,De 50-54 Años,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2023,nacimientos,Cuadro13
3.0,3000.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro13
5.0,5000.0,05 Antioquia,Total Dpto,Total,5197,8,428,1014,1922,67,2,590,299,607,47,16,1,43,153,2023,nacimientos,Cuadro13
5.0,5000.0,,,De 10-14 Años,34,1,14,17,0,1,0,0,0,0,0,0,0,0,1,2023,nacimientos,Cuadro13
5.0,5000.0,,,De 15-19 Años,766,2,103,347,241,7,0,10,4,2,0,0,0,12,38,2023,nacimientos,Cuadro13
5.0,5000.0,,,De 20-24 Años,1411,0,78,284,704,25,1,147,61,59,0,0,0,7,45,2023,nacimientos,Cuadro13
5.0,5000.0,,,De 25-29 Años,1341,2,77,185,529,18,0,224,107,149,11,5,0,5,29,2023,nacimientos,Cuadro13
5.0,5000.0,,,De 30-34 Años,970,3,70,100,289,8,1,137,85,213,22,6,0,10,26,2023,nacimientos,Cuadro13
5.0,5000.0,,,De 35-39 Años,538,0,60,57,128,8,0,57,33,160,14,4,1,8,8,2023,nacimientos,Cuadro13
5.0,5000.0,,,De 40-44 Años,131,0,22,24,29,0,0,15,9,24,0,1,0,1,6,2023,nacimientos,Cuadro13
5.0,5000.0,,,De 45-49 Años,6,0,4,0,2,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro13
5.0,5000.0,,,De 50-54 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro13
5.0,5000.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro13
5.0,5001.0,,05001 Medellín,Total,1677,1,63,225,642,21,0,290,113,264,21,8,1,6,22,2023,nacimientos,Cuadro13
5.0,5001.0,,,De 10-14 Años,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro13
5.0,5001.0,,,De 15-19 Años,155,0,17,64,60,2,0,4,1,2,0,0,0,1,4,2023,nacimientos,Cuadro13
5.0,5001.0,,,De 20-24 Años,468,0,16,68,247,8,0,71,26,26,0,0,0,1,5,2023,nacimientos,Cuadro13
5.0,5001.0,,,De 25-29 Años,458,0,10,38,185,5,0,105,38,61,7,3,0,1,5,2023,nacimientos,Cuadro13
5.0,5001.0,,,De 30-34 Años,339,1,11,27,84,3,0,70,31,93,10,3,0,2,4,2023,nacimientos,Cuadro13
5.0,5001.0,,,De 35-39 Años,201,0,5,17,51,3,0,31,13,71,4,1,1,0,4,2023,nacimientos,Cuadro13
5.0,5001.0,,,De 40-44 Años,50,0,2,8,14,0,0,9,4,11,0,1,0,1,0,2023,nacimientos,Cuadro13
5.0,5001.0,,,De 45-49 Años,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro13
5.0,5001.0,,,De 50-54 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro13
5.0,5001.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro13
5.0,5002.0,,05002 Abejorral,Total,11,0,1,3,2,1,0,0,1,2,0,0,0,1,0,2023,nacimientos,Cuadro13
5.0,5002.0,,,De 10-14 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro13
5.0,5002.0,,,De 15-19 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro13
5.0,5002.0,,,De 20-24 Años,5,0,0,1,2,1,0,0,0,0,0,0,0,1,0,2023,nacimientos,Cuadro13
5.0,5002.0,,,De 25-29 Años,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2023,nacimientos,Cuadro13
5.0,5002.0,,,De 30-34 Años,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2023,nacimientos,Cuadro13
5.0,5002.0,,,De 35-39 Años,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2023,nacimientos,Cuadro13
5.0,5002.0,,,De 40-44 Años,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro13
5.0,5002.0,,,De 45-49 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro13
5.0,5002.0,,,De 50-54 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro13
5.0,5002.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro13
5.0,5004.0,,05004 Abriaquí,Total,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2023,nacimientos,Cuadro13
5.0,5004.0,,,De 10-14 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro13
5.0,5004.0,,,De 15-19 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro13
5.0,5004.0,,,De 20-24 Años,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2023,nacimientos,Cuadro13
5.0,5004.0,,,De 25-29 Años,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro13
5.0,5004.0,,,De 30-34 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro13
5.0,5004.0,,,De 35-39 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro13
