columna,columna_1,"CUADRO 3 - Nacimientos por área y sexo, según departamento y municipio de residencia de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,año,tipo,hoja_origen
,,"Año Corrido 2023, preliminar - (Nacimientos ocurridos y reportados por la fuente hasta el 31 de enero de 2023)",,,,,,,,,,,,,,,,,,2023,nacimientos,Cuadro3
,,Volver al índice,,Departamento,,,,Municipio,,,,,,,,,,,,2023,nacimientos,Cuadro3
,,Departamento y municipio de residencia de la madre,,Total,Total,,,Cabecera municipal,,,Centro poblado,,,Rural disperso,,,Sin información,,,2023,nacimientos,Cuadro3
,,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2023,nacimientos,Cuadro3
3.0,3000.0,Total Nacional,,43744,22585,21155,4,16787,15744,3,1701,1566,0,3971,3704,1,126,141,0,2023,nacimientos,Cuadro3
5.0,5000.0,05 Antioquia,Total,5197,2647,2550,0,1881,1838,0,200,174,0,566,538,0,0,0,0,2023,nacimientos,Cuadro3
5.0,5001.0,,05001 Medellín,1677,832,845,0,814,830,0,7,7,0,11,8,0,0,0,0,2023,nacimientos,Cuadro3
5.0,5002.0,,05002 Abejorral,11,6,5,0,3,1,0,0,0,0,3,4,0,0,0,0,2023,nacimientos,Cuadro3
5.0,5004.0,,05004 Abriaquí,3,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,2023,nacimientos,Cuadro3
5.0,5021.0,,05021 Alejandría,5,4,1,0,2,0,0,0,0,0,2,1,0,0,0,0,2023,nacimientos,Cuadro3
5.0,5030.0,,05030 Amagá,16,10,6,0,2,4,0,1,1,0,7,1,0,0,0,0,2023,nacimientos,Cuadro3
5.0,5031.0,,05031 Amalfi,24,14,10,0,8,4,0,0,0,0,6,6,0,0,0,0,2023,nacimientos,Cuadro3
5.0,5034.0,,05034 Andes,35,15,20,0,7,6,0,4,2,0,4,12,0,0,0,0,2023,nacimientos,Cuadro3
5.0,5036.0,,05036 Angelópolis,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro3
5.0,5038.0,,05038 Angostura,5,4,1,0,1,0,0,0,0,0,3,1,0,0,0,0,2023,nacimientos,Cuadro3
5.0,5040.0,,05040 Anorí,16,7,9,0,1,4,0,0,0,0,6,5,0,0,0,0,2023,nacimientos,Cuadro3
5.0,5042.0,,05042 Santafé de Antioquia,33,11,22,0,4,9,0,0,0,0,7,13,0,0,0,0,2023,nacimientos,Cuadro3
5.0,5044.0,,05044 Anzá,6,3,3,0,1,0,0,0,1,0,2,2,0,0,0,0,2023,nacimientos,Cuadro3
5.0,5045.0,,05045 Apartadó,136,78,58,0,56,47,0,11,7,0,11,4,0,0,0,0,2023,nacimientos,Cuadro3
5.0,5051.0,,05051 Arboletes,41,22,19,0,8,7,0,1,3,0,13,9,0,0,0,0,2023,nacimientos,Cuadro3
5.0,5055.0,,05055 Argelia,4,2,2,0,1,0,0,0,0,0,1,2,0,0,0,0,2023,nacimientos,Cuadro3
5.0,5059.0,,05059 Armenia,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2023,nacimientos,Cuadro3
5.0,5079.0,,05079 Barbosa,24,10,14,0,6,7,0,0,0,0,4,7,0,0,0,0,2023,nacimientos,Cuadro3
5.0,5086.0,,05086 Belmira,4,2,2,0,1,0,0,0,0,0,1,2,0,0,0,0,2023,nacimientos,Cuadro3
5.0,5088.0,,05088 Bello,380,191,189,0,185,185,0,1,0,0,5,4,0,0,0,0,2023,nacimientos,Cuadro3
5.0,5091.0,,05091 Betania,4,0,4,0,0,2,0,0,0,0,0,2,0,0,0,0,2023,nacimientos,Cuadro3
5.0,5093.0,,05093 Betulia,10,5,5,0,0,0,0,1,0,0,4,5,0,0,0,0,2023,nacimientos,Cuadro3
5.0,5101.0,,05101 Ciudad Bolívar,18,11,7,0,5,3,0,1,1,0,5,3,0,0,0,0,2023,nacimientos,Cuadro3
5.0,5107.0,,05107 Briceño,9,6,3,0,0,0,0,0,1,0,6,2,0,0,0,0,2023,nacimientos,Cuadro3
5.0,5113.0,,05113 Buriticá,9,5,4,0,1,2,0,0,0,0,4,2,0,0,0,0,2023,nacimientos,Cuadro3
5.0,5120.0,,05120 Cáceres,38,22,16,0,2,8,0,10,6,0,10,2,0,0,0,0,2023,nacimientos,Cuadro3
5.0,5125.0,,05125 Caicedo,9,5,4,0,2,1,0,0,0,0,3,3,0,0,0,0,2023,nacimientos,Cuadro3
5.0,5129.0,,05129 Caldas,39,22,17,0,17,7,0,0,3,0,5,7,0,0,0,0,2023,nacimientos,Cuadro3
