columna,columna_1,"CUADRO 5 - Nacimientos por persona que atendió el parto según departamento, municipio de ocurrencia y sitio del parto",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,año,tipo,hoja_origen
5.0,5036.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5036.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5036.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5038.0,,05038 Angostura,Total,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5038.0,,,Institución de Salud,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5038.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5038.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5038.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5040.0,,05040 Anorí,Total,7,6,0,0,0,0,1,0,2023,nacimientos,Cuadro5
5.0,5040.0,,,Institución de Salud,6,6,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5040.0,,,Domicilio,1,0,0,0,0,0,1,0,2023,nacimientos,Cuadro5
5.0,5040.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5040.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5042.0,,05042 Santafé de Antioquia,Total,97,97,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5042.0,,,Institución de Salud,97,97,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5042.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5042.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5042.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5044.0,,05044 Anzá,Total,1,1,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5044.0,,,Institución de Salud,1,1,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5044.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5044.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5044.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5045.0,,05045 Apartadó,Total,288,288,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5045.0,,,Institución de Salud,288,288,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5045.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5045.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5045.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5051.0,,05051 Arboletes,Total,1,0,0,1,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5051.0,,,Institución de Salud,1,0,0,1,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5051.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5051.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5051.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5055.0,,05055 Argelia,Total,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5055.0,,,Institución de Salud,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5055.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
