columna,columna_1,"CUADRO 6A - Nacimientos por peso al nacer, según departamento, municipio y área de residencia de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,año,tipo,hoja_origen
5.0,5034.0,,,Centro poblado,6,0,0,0,2,1,3,0,0,0,2023,nacimientos,Cuadro6A
5.0,5034.0,,,Rural disperso,16,1,1,1,2,3,5,2,1,0,2023,nacimientos,Cuadro6A
5.0,5034.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5036.0,,05036 Angelópolis,Total,2,0,1,1,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5036.0,,,Cabecera municipal,1,0,1,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5036.0,,,Centro poblado,1,0,0,1,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5036.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5036.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5038.0,,05038 Angostura,Total,5,1,0,0,1,0,2,1,0,0,2023,nacimientos,Cuadro6A
5.0,5038.0,,,Cabecera municipal,1,1,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5038.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5038.0,,,Rural disperso,4,0,0,0,1,0,2,1,0,0,2023,nacimientos,Cuadro6A
5.0,5038.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5040.0,,05040 Anorí,Total,16,0,0,1,1,7,7,0,0,0,2023,nacimientos,Cuadro6A
5.0,5040.0,,,Cabecera municipal,5,0,0,0,0,2,3,0,0,0,2023,nacimientos,Cuadro6A
5.0,5040.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5040.0,,,Rural disperso,11,0,0,1,1,5,4,0,0,0,2023,nacimientos,Cuadro6A
5.0,5040.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5042.0,,05042 Santafé de Antioquia,Total,33,0,0,0,1,8,15,8,1,0,2023,nacimientos,Cuadro6A
5.0,5042.0,,,Cabecera municipal,13,0,0,0,1,4,4,3,1,0,2023,nacimientos,Cuadro6A
5.0,5042.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5042.0,,,Rural disperso,20,0,0,0,0,4,11,5,0,0,2023,nacimientos,Cuadro6A
5.0,5042.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5044.0,,05044 Anzá,Total,6,0,0,0,0,2,4,0,0,0,2023,nacimientos,Cuadro6A
5.0,5044.0,,,Cabecera municipal,1,0,0,0,0,0,1,0,0,0,2023,nacimientos,Cuadro6A
5.0,5044.0,,,Centro poblado,1,0,0,0,0,1,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5044.0,,,Rural disperso,4,0,0,0,0,1,3,0,0,0,2023,nacimientos,Cuadro6A
5.0,5044.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5045.0,,05045 Apartadó,Total,136,0,0,1,5,30,62,36,2,0,2023,nacimientos,Cuadro6A
5.0,5045.0,,,Cabecera municipal,103,0,0,1,5,23,46,26,2,0,2023,nacimientos,Cuadro6A
5.0,5045.0,,,Centro poblado,18,0,0,0,0,3,11,4,0,0,2023,nacimientos,Cuadro6A
5.0,5045.0,,,Rural disperso,15,0,0,0,0,4,5,6,0,0,2023,nacimientos,Cuadro6A
5.0,5045.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5051.0,,05051 Arboletes,Total,41,0,0,1,1,15,18,6,0,0,2023,nacimientos,Cuadro6A
5.0,5051.0,,,Cabecera municipal,15,0,0,1,0,4,6,4,0,0,2023,nacimientos,Cuadro6A
5.0,5051.0,,,Centro poblado,4,0,0,0,0,1,3,0,0,0,2023,nacimientos,Cuadro6A
5.0,5051.0,,,Rural disperso,22,0,0,0,1,10,9,2,0,0,2023,nacimientos,Cuadro6A
5.0,5051.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5055.0,,05055 Argelia,Total,4,0,0,1,1,1,0,1,0,0,2023,nacimientos,Cuadro6A
5.0,5055.0,,,Cabecera municipal,1,0,0,0,1,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5055.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5055.0,,,Rural disperso,3,0,0,1,0,1,0,1,0,0,2023,nacimientos,Cuadro6A
5.0,5055.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5059.0,,05059 Armenia,Total,2,0,0,0,0,1,0,0,1,0,2023,nacimientos,Cuadro6A
5.0,5059.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5059.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5059.0,,,Rural disperso,2,0,0,0,0,1,0,0,1,0,2023,nacimientos,Cuadro6A
5.0,5059.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5079.0,,05079 Barbosa,Total,24,0,0,0,2,10,11,1,0,0,2023,nacimientos,Cuadro6A
5.0,5079.0,,,Cabecera municipal,13,0,0,0,1,7,5,0,0,0,2023,nacimientos,Cuadro6A
5.0,5079.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5079.0,,,Rural disperso,11,0,0,0,1,3,6,1,0,0,2023,nacimientos,Cuadro6A
5.0,5079.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5086.0,,05086 Belmira,Total,4,0,0,0,0,2,2,0,0,0,2023,nacimientos,Cuadro6A
5.0,5086.0,,,Cabecera municipal,1,0,0,0,0,0,1,0,0,0,2023,nacimientos,Cuadro6A
5.0,5086.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5086.0,,,Rural disperso,3,0,0,0,0,2,1,0,0,0,2023,nacimientos,Cuadro6A
