"CUADRO 1 - Nacimientos por área de ocurrencia y sexo, según grupos de edad de la madre, total nacional",columna,columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,año,tipo,hoja_origen
Grupo de edad de la madre,Total,Total,,,Cabecera municipal,,,Centro poblado,,,Rural disperso,,,Sin información,,,2023,nacimientos,Cuadro1
,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2023,nacimientos,Cuadro1
Total Nacional,43744,22585,21155,4,22371,20927,4,89,104,0,125,124,0,0,0,0,2023,nacimientos,Cuadro1
De 10-14 Años,321,171,150,0,170,144,0,0,3,0,1,3,0,0,0,0,2023,nacimientos,Cuadro1
De 15-19 Años,6831,3590,3240,1,3546,3190,1,22,16,0,22,34,0,0,0,0,2023,nacimientos,Cuadro1
De 20-24 Años,11772,6025,5745,2,5968,5684,2,23,34,0,34,27,0,0,0,0,2023,nacimientos,Cuadro1
De 25-29 Años,11249,5787,5461,1,5746,5417,1,18,23,0,23,21,0,0,0,0,2023,nacimientos,Cuadro1
De 30-34 Años,8223,4239,3984,0,4197,3953,0,18,16,0,24,15,0,0,0,0,2023,nacimientos,Cuadro1
De 35-39 Años,4156,2158,1998,0,2141,1975,0,5,5,0,12,18,0,0,0,0,2023,nacimientos,Cuadro1
De 40-44 Años,1121,573,548,0,562,536,0,3,6,0,8,6,0,0,0,0,2023,nacimientos,Cuadro1
De 45-49 Años,69,42,27,0,41,26,0,0,1,0,1,0,0,0,0,0,2023,nacimientos,Cuadro1
De 50-54 Años,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro1
Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro1
Fecha de actualización: 24 de marzo de 2023,,,,,,,,,,,,,,,,,2023,nacimientos,Cuadro1
