columna,columna_1,"CUADRO 4  -  Defunciones por grupos de edad y sexo, según departamento, municipio y área de residencia",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,columna_27,columna_28,columna_29,columna_30,columna_31,columna_32,columna_33,columna_34,columna_35,columna_36,columna_37,columna_38,columna_39,columna_40,columna_41,columna_42,columna_43,columna_44,columna_45,columna_46,columna_47,columna_48,columna_49,columna_50,columna_51,columna_52,columna_53,columna_54,columna_55,columna_56,columna_57,columna_58,columna_59,columna_60,columna_61,columna_62,columna_63,columna_64,columna_65,columna_66,columna_67,columna_68,columna_69,columna_70,columna_71,columna_72,columna_73,columna_74,columna_75,columna_76,columna_77,columna_78,columna_79,columna_80,columna_81,columna_82,columna_83,columna_84,columna_85,columna_86,columna_87,columna_88,columna_89,columna_90,columna_91,columna_92,columna_93,columna_94,columna_95,columna_96,columna_97,año,tipo,hoja_origen
,,Año 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,defunciones,Cuadro4
,,Volver al índice,,Departamento,,,,Municipio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,defunciones,Cuadro4
,,"Departamento, municipio y área de residencia",,,Total,Total,,,Grupos de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,defunciones,Cuadro4
,,,,,,,,,Menor 1 hora,,,De 1 a 23 horas,,,De 1 a 6 días,,,De 7 a 27 dias,,,De 28 a 29 días,,,De 1 a 5 meses,,,De 6 a 11 meses,,,De 1 año,,,De 2 a 4 años,,,De 5 a 9 años,,,De 10 a 14 años,,,De 15 a 19 años,,,De 20 a 24 años,,,De 25 a 29 años,,,De 30 a 34 años,,,De 35 a 39 años,,,De 40 a 44 años,,,De 45 a 49 años,,,De 50 a 54 años,,,De 55 a 59 años,,,De 60 a 64 años,,,De 65 a 69 años,,,De 70 a 74 años,,,De 75 a 79 años,,,De 80 a 84 años,,,De 85 a 89 años,,,De 90 a 94 años,,,De 95 a 99 años,,,De 100 años y más,,,Edad desconocida,,,2022,defunciones,Cuadro4
,,,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2022,defunciones,Cuadro4
3.0,3000.0,Total Nacional,,TOTAL,287251,159171,128030,50,173,137,2,418,355,1,958,719,2,772,639,1,36,18,0,944,761,1,434,318,0,396,325,0,536,414,0,472,364,0,713,499,0,2820,872,0,5277,1206,1,5512,1333,1,5008,1564,2,4534,1914,2,4634,2495,3,4607,3005,0,5812,4132,1,8232,5832,0,11076,7693,5,13603,9661,0,15942,11609,2,17092,13633,1,18618,17408,6,15656,18500,1,10343,14397,2,3716,6403,0,824,1822,3,13,2,13,2022,defunciones,Cuadro4
3.0,3000.0,,,Cabecera municipal,228613,123424,105183,6,115,97,2,297,242,1,683,528,0,565,463,1,31,11,0,602,489,0,268,171,0,214,176,0,340,272,0,320,247,0,478,360,0,2054,635,0,3940,930,0,4175,1030,0,3804,1226,0,3407,1499,0,3560,2006,0,3477,2412,0,4510,3377,0,6498,4809,0,8788,6442,1,10835,8072,0,12580,9674,0,13391,11301,1,14460,14278,0,12289,15312,0,8166,12150,0,2940,5439,0,637,1535,0,0,0,0,2022,defunciones,Cuadro4
3.0,3000.0,,,Centro poblado,14162,8274,5888,0,7,3,0,29,29,0,59,44,0,50,33,0,0,0,0,76,58,0,24,24,0,35,25,0,45,22,0,33,22,0,58,38,0,115,43,0,247,47,0,269,67,0,233,69,0,236,93,0,230,128,0,246,135,0,278,186,0,397,279,0,556,336,0,641,429,0,791,537,0,871,595,0,1040,807,0,820,843,0,592,613,0,246,297,0,50,86,0,0,0,0,2022,defunciones,Cuadro4
3.0,3000.0,,,Rural disperso,39856,23945,15910,1,47,34,0,87,80,0,199,137,1,145,136,0,5,7,0,240,193,0,121,107,0,133,108,0,132,97,0,103,86,0,152,89,0,457,152,0,764,180,0,701,192,0,650,231,0,611,279,0,634,326,0,709,411,0,849,527,0,1157,682,0,1541,847,0,1940,1105,0,2375,1328,0,2681,1681,0,2966,2246,0,2423,2258,0,1498,1570,0,497,631,0,128,190,0,0,0,0,2022,defunciones,Cuadro4
3.0,3000.0,,,Sin información,4620,3528,1049,43,4,3,0,5,4,0,17,10,1,12,7,0,0,0,0,26,21,1,21,16,0,14,16,0,19,23,0,16,9,0,25,12,0,194,42,0,326,49,1,367,44,1,321,38,2,280,43,2,210,35,3,175,47,0,175,42,1,180,62,0,191,68,4,187,55,0,196,70,2,149,56,0,152,77,6,124,87,1,87,64,2,33,36,0,9,11,3,13,2,13,2022,defunciones,Cuadro4
