columna,"CUADRO 10 - Defunciones por probable manera de muerte y sexo, según departamento de ocurrencia",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_25,año,tipo,hoja_origen
,Año 2022,,,,,,,,,,,,,,,2022,defunciones,Cuadro10
,Volver al índice,,,,Departamento,,,,,,,,,,,2022,defunciones,Cuadro10
,Departamento de ocurrencia,Total,Total,,,Natural,,,No natural,,,En estudio,,,,2022,defunciones,Cuadro10
,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,,2022,defunciones,Cuadro10
3.0,Total Nacional,287251,159171,128030,50,129278,122084,6,28961,5555,25,932,391,19,,2022,defunciones,Cuadro10
5.0,05 Antioquia,40914,22323,18588,3,17911,17718,1,4232,790,2,180,80,0,,2022,defunciones,Cuadro10
8.0,08 Atlántico,16532,8881,7650,1,7592,7407,0,1274,232,0,15,11,1,,2022,defunciones,Cuadro10
11.0,11 Bogotá,43966,22846,21113,7,19957,20350,1,2614,641,3,275,122,3,,2022,defunciones,Cuadro10
13.0,13 Bolívar,10582,5963,4619,0,4799,4425,0,1146,191,0,18,3,0,,2022,defunciones,Cuadro10
15.0,15 Boyacá,7397,4068,3327,2,3476,3179,1,583,144,1,9,4,0,,2022,defunciones,Cuadro10
17.0,17 Caldas,7329,3940,3382,7,3427,3248,0,510,133,6,3,1,1,,2022,defunciones,Cuadro10
18.0,18 Caquetá,1823,1097,722,4,800,672,0,294,50,0,3,0,4,,2022,defunciones,Cuadro10
19.0,19 Cauca,7106,4252,2854,0,2989,2651,0,1258,201,0,5,2,0,,2022,defunciones,Cuadro10
20.0,20 Cesar,6185,3655,2524,6,2775,2349,2,840,166,3,40,9,1,,2022,defunciones,Cuadro10
23.0,23 Córdoba,9419,5322,4097,0,4299,3935,0,1000,154,0,23,8,0,,2022,defunciones,Cuadro10
25.0,25 Cundinamarca,13686,7729,5952,5,6379,5614,0,1270,319,0,80,19,5,,2022,defunciones,Cuadro10
27.0,27 Chocó,1768,1070,697,1,586,639,0,472,48,1,12,10,0,,2022,defunciones,Cuadro10
41.0,41 Huila,7345,4169,3174,2,3347,3025,0,784,142,1,38,7,1,,2022,defunciones,Cuadro10
44.0,44 La Guajira,2750,1595,1154,1,1218,1084,0,363,60,1,14,10,0,,2022,defunciones,Cuadro10
47.0,47 Magdalena,6593,3836,2756,1,2973,2620,1,844,129,0,19,7,0,,2022,defunciones,Cuadro10
50.0,50 Meta,5852,3489,2362,1,2753,2225,0,719,133,1,17,4,0,,2022,defunciones,Cuadro10
52.0,52 Nariño,9081,4939,4139,3,3758,3868,0,1165,260,3,16,11,0,,2022,defunciones,Cuadro10
54.0,54 Norte de Santander,9233,5238,3995,0,4229,3819,0,990,162,0,19,14,0,,2022,defunciones,Cuadro10
63.0,63 Quindío,4733,2680,2052,1,2262,1945,0,401,103,0,17,4,1,,2022,defunciones,Cuadro10
66.0,66 Risaralda,8165,4432,3732,1,3822,3576,0,599,153,1,11,3,0,,2022,defunciones,Cuadro10
68.0,68 Santander,14020,7773,6247,0,6567,5967,0,1156,248,0,50,32,0,,2022,defunciones,Cuadro10
70.0,70 Sucre,4657,2549,2108,0,2107,2030,0,442,78,0,0,0,0,,2022,defunciones,Cuadro10
73.0,73 Tolima,9553,5440,4113,0,4501,3922,0,911,182,0,28,9,0,,2022,defunciones,Cuadro10
76.0,76 Valle del Cauca,32819,18144,14673,2,14461,14038,0,3677,626,2,6,9,0,,2022,defunciones,Cuadro10
81.0,81 Arauca,1388,964,424,0,497,376,0,466,48,0,1,0,0,,2022,defunciones,Cuadro10
85.0,85 Casanare,1758,1077,681,0,803,613,0,272,65,0,2,3,0,,2022,defunciones,Cuadro10
86.0,86 Putumayo,1345,896,447,2,457,396,0,417,46,0,22,5,2,,2022,defunciones,Cuadro10
88.0,88 Archipiélago de San Andrés y Providencia,277,148,129,0,107,117,0,41,12,0,0,0,0,,2022,defunciones,Cuadro10
91.0,91 Amazonas,217,150,67,0,95,56,0,53,9,0,2,2,0,,2022,defunciones,Cuadro10
94.0,94 Guainía,150,88,62,0,63,61,0,24,0,0,1,1,0,,2022,defunciones,Cuadro10
95.0,95 Guaviare,278,203,75,0,129,63,0,70,11,0,4,1,0,,2022,defunciones,Cuadro10
97.0,97 Vaupés,122,77,45,0,46,34,0,31,11,0,0,0,0,,2022,defunciones,Cuadro10
99.0,99 Vichada,208,138,70,0,93,62,0,43,8,0,2,0,0,,2022,defunciones,Cuadro10
,Fuente: DANE - Estadísticas Vitales,,,,,,,,,,,,,,0.0,2022,defunciones,Cuadro10
,Fecha de actualización: 21 de diciembre de 2023,,,,,,,,,,,,,,,2022,defunciones,Cuadro10
