columna,columna_1,"CUADRO 3 - Defunciones por grupos de edad y sexo, según departamento, municipio y área donde ocurrió la defunción",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,columna_27,columna_28,columna_29,columna_30,columna_31,columna_32,columna_33,columna_34,año,tipo,hoja_origen
,,Año 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,defunciones,Cuadro3
,,Volver al índice,,Departamento,,,,Municipio,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,defunciones,Cuadro3
,,"Departamento, municipio y área de ocurrencia",,,Total,Total,,,Grupo de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,defunciones,Cuadro3
,,,,,,,,,Menor 1 año,,,De 1-4 años,,,De 5-14 años,,,De 15-44 años,,,De 45-64 años,,,De 65-84 años,,,De 85-99 años,,,De 100 y más,,,Edad desconocida,,,2022,defunciones,Cuadro3
,,,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2022,defunciones,Cuadro3
3.0,3000.0,Total Nacional,,TOTAL,287251,159171,128030,50,3735,2947,7,932,739,0,1185,863,0,27785,9384,9,29727,20662,6,65255,52311,9,29715,39300,3,824,1822,3,13,2,13,2022,defunciones,Cuadro3
3.0,3000.0,,,Cabecera municipal,257751,139563,118160,28,3569,2817,6,801,632,0,985,736,0,21761,8313,4,26329,19483,3,59157,48810,7,26262,35741,2,694,1627,0,5,1,6,2022,defunciones,Cuadro3
3.0,3000.0,,,Centro poblado,7166,4524,2642,0,38,21,0,28,22,0,27,23,0,997,211,0,765,290,0,1650,948,0,982,1068,0,36,59,0,1,0,0,2022,defunciones,Cuadro3
3.0,3000.0,,,Rural disperso,21029,14240,6775,14,114,94,1,99,79,0,161,100,0,4809,819,5,2511,813,3,4183,2404,1,2276,2337,1,85,129,1,2,0,2,2022,defunciones,Cuadro3
3.0,3000.0,,,Sin información,1305,844,453,8,14,15,0,4,6,0,12,4,0,218,41,0,122,76,0,265,149,1,195,154,0,9,7,2,5,1,5,2022,defunciones,Cuadro3
5.0,5000.0,05 Antioquia,Total Dpto,TOTAL,40914,22323,18588,3,315,271,0,91,71,0,130,94,0,4088,1233,1,4238,2861,1,9169,7903,1,4157,5859,0,133,295,0,2,1,0,2022,defunciones,Cuadro3
5.0,5000.0,,,Cabecera municipal,36017,18946,17070,1,297,253,0,70,53,0,105,78,0,2833,1045,0,3647,2633,1,8165,7328,0,3708,5413,0,121,266,0,0,1,0,2022,defunciones,Cuadro3
5.0,5000.0,,,Centro poblado,915,620,295,0,4,2,0,4,4,0,0,4,0,211,32,0,102,41,0,194,104,0,103,101,0,2,7,0,0,0,0,2022,defunciones,Cuadro3
5.0,5000.0,,,Rural disperso,3736,2579,1156,1,13,12,0,17,13,0,22,11,0,962,147,1,463,177,0,770,455,0,321,321,0,10,20,0,1,0,0,2022,defunciones,Cuadro3
5.0,5000.0,,,Sin información,246,178,67,1,1,4,0,0,1,0,3,1,0,82,9,0,26,10,0,40,16,1,25,24,0,0,2,0,1,0,0,2022,defunciones,Cuadro3
5.0,5001.0,,05001 Medellín,TOTAL,21133,10855,10278,0,179,171,0,45,33,0,69,52,0,1476,632,0,2170,1655,0,4863,4416,0,1999,3150,0,53,169,0,1,0,0,2022,defunciones,Cuadro3
