columna,"CUADRO 13 - Defunciones de menores de un año por grupos de edad y sexo, según departamento de residencia de la madre y grupos de causas de defunción (Lista Colombia 105 para la tabulación de mortalidad)",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,año,tipo,hoja_origen
,Año 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,defunciones,Cuadro13
,Volver al índice,Departamento,,,,,,,,,,,,,,,,,,,,,,,,,,2022,defunciones,Cuadro13
,Grupos de causas de defunción (lista Colombia 105 para la tabulación de mortalidad),,Total,Total,,,Menor 1 hora,,,De 1 a 23 horas,,,De 1 a 6 días,,,De 7 a 27 dias,,,De 28 a 29 días,,,De 1 a 5 meses,,,De 6 a 11 meses,,,2022,defunciones,Cuadro13
,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2022,defunciones,Cuadro13
3.0,Total Nacional,TOTAL,6689,3735,2947,7,173,137,2,418,355,1,958,719,2,772,639,1,36,18,0,944,761,1,434,318,0,2022,defunciones,Cuadro13
3.0,,001 Enfermedades infecciosas intestinales,127,65,62,0,0,0,0,0,0,0,3,5,0,9,9,0,0,0,0,32,26,0,21,22,0,2022,defunciones,Cuadro13
3.0,,002 Tuberculosis y secuelas,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,2022,defunciones,Cuadro13
3.0,,003 Ciertas enfermedades transmitidas por vectores y rabia,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,2022,defunciones,Cuadro13
3.0,,004 Ciertas enfermedades inmunoprevenibles,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,2022,defunciones,Cuadro13
3.0,,"005 Septicemia, excepto neonatal",28,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,3,1,0,2022,defunciones,Cuadro13
3.0,,006 Todas las demás enfermedades bacterianas,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,1,0,2022,defunciones,Cuadro13
3.0,,007 Sífilis y otras enfermedades venéreas,27,13,14,0,0,0,0,4,4,0,4,4,0,2,1,0,0,0,0,1,4,0,2,1,0,2022,defunciones,Cuadro13
3.0,,009 Enfermedad por el VIH (SIDA),3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2022,defunciones,Cuadro13
3.0,,010 Todas las demás enfermedades infecciosas y parasitarias,105,50,55,0,0,0,0,1,0,0,1,1,0,1,3,0,0,0,0,25,37,0,22,14,0,2022,defunciones,Cuadro13
3.0,,015 Tumor maligno del hígado,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2022,defunciones,Cuadro13
3.0,,"020 Tumor maligno de la tráquea, los bronquios y el pulmón",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro13
3.0,,"031 Tumor maligno del encéfalo, del ojo y de otras partes del sistema nervioso central",4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2022,defunciones,Cuadro13
3.0,,032 Tumor maligno del tiroides y de otras glándulas endocrinas,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2022,defunciones,Cuadro13
3.0,,035 Leucemia,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2022,defunciones,Cuadro13
3.0,,"037 Tumores: in situ, benignos y de comportamiento incierto o desconocido y los no especificados",10,9,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,5,0,0,2022,defunciones,Cuadro13
3.0,,038 Todos los demás tumores malignos de otras localizaciones,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2022,defunciones,Cuadro13
3.0,,"039 Anemias: nutricionales, hemolíticas, aplásticas y otras",7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,0,2022,defunciones,Cuadro13
