columna,"CUADRO 14 - Defunciones de menores de un año por grupos de edad y sexo, según departamento de residencia y grupo de edad de la madre",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,año,tipo,hoja_origen
,Año 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,defunciones,Cuadro14
,Volver al índice,,,Departamento,,,,,,,,,,,,,,,,,,,,,,,,2022,defunciones,Cuadro14
,Departamento de residencia y grupo de edad de la madre,,Total,Total,,,Menor 1 hora,,,De 1 a 23 horas,,,De 1 a 6 días,,,De 7 a 27 dias,,,De 28 a 29 días,,,De 1 a 5 meses,,,De 6 a 11 meses,,,2022,defunciones,Cuadro14
,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2022,defunciones,Cuadro14
3.0,Total Nacional,TOTAL,6689,3735,2947,7,173,137,2,418,355,1,958,719,2,772,639,1,36,18,0,944,761,1,434,318,0,2022,defunciones,Cuadro14
3.0,,10 - 14 años,85,54,31,0,1,3,0,7,5,0,15,8,0,12,5,0,1,0,0,11,10,0,7,0,0,2022,defunciones,Cuadro14
3.0,,15 - 19 años,1173,658,514,1,29,27,0,98,67,0,181,118,1,129,109,0,8,4,0,154,148,0,59,41,0,2022,defunciones,Cuadro14
3.0,,20 - 24 años,1621,904,717,0,40,34,0,107,101,0,234,167,0,181,163,0,13,3,0,225,176,0,104,73,0,2022,defunciones,Cuadro14
3.0,,25 - 29 años,1354,759,593,2,39,29,1,94,70,0,208,168,0,171,139,1,2,4,0,176,136,0,69,47,0,2022,defunciones,Cuadro14
3.0,,30 - 34 años,1020,567,453,0,37,23,0,49,62,0,141,122,0,135,106,0,7,2,0,132,94,0,66,44,0,2022,defunciones,Cuadro14
3.0,,35 - 39 años,626,359,267,0,17,13,0,45,31,0,96,66,0,87,68,0,5,3,0,75,50,0,34,36,0,2022,defunciones,Cuadro14
3.0,,40 - 44 años,257,120,135,2,6,5,1,16,18,1,33,37,0,26,26,0,0,2,0,29,36,0,10,11,0,2022,defunciones,Cuadro14
3.0,,45 - 49 años,22,13,9,0,1,0,0,1,1,0,5,3,0,4,0,0,0,0,0,1,4,0,1,1,0,2022,defunciones,Cuadro14
3.0,,50 - 54 años,5,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,2022,defunciones,Cuadro14
3.0,,Edad desconocida,526,299,225,2,3,3,0,1,0,0,45,30,1,27,22,0,0,0,0,140,106,1,83,64,0,2022,defunciones,Cuadro14
5.0,05 Antioquia,TOTAL,597,321,276,0,26,16,0,39,33,0,61,61,0,70,64,0,4,3,0,87,71,0,34,28,0,2022,defunciones,Cuadro14
5.0,,10 - 14 años,9,4,5,0,0,1,0,1,1,0,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0,2022,defunciones,Cuadro14
5.0,,15 - 19 años,108,53,55,0,4,3,0,8,7,0,9,15,0,12,11,0,1,1,0,14,14,0,5,4,0,2022,defunciones,Cuadro14
5.0,,20 - 24 años,151,87,64,0,7,2,0,14,10,0,18,14,0,19,20,0,1,1,0,21,13,0,7,4,0,2022,defunciones,Cuadro14
5.0,,25 - 29 años,126,69,57,0,6,4,0,8,5,0,15,16,0,19,16,0,0,0,0,19,11,0,2,5,0,2022,defunciones,Cuadro14
5.0,,30 - 34 años,79,43,36,0,5,2,0,3,5,0,7,5,0,9,8,0,1,1,0,10,9,0,8,6,0,2022,defunciones,Cuadro14
5.0,,35 - 39 años,58,35,23,0,3,4,0,4,3,0,6,6,0,7,3,0,1,0,0,11,7,0,3,0,0,2022,defunciones,Cuadro14
5.0,,40 - 44 años,25,10,15,0,1,0,0,1,2,0,4,4,0,1,4,0,0,0,0,2,3,0,1,2,0,2022,defunciones,Cuadro14
5.0,,45 - 49 años,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2022,defunciones,Cuadro14
5.0,,50 - 54 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro14
5.0,,Edad desconocida,39,20,19,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,10,10,0,8,7,0,2022,defunciones,Cuadro14
8.0,08 Atlántico,TOTAL,524,288,235,1,9,7,0,26,18,1,97,73,0,58,69,0,5,1,0,69,50,0,24,17,0,2022,defunciones,Cuadro14
8.0,,10 - 14 años,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2022,defunciones,Cuadro14
8.0,,15 - 19 años,101,56,45,0,1,4,0,10,5,0,23,14,0,10,12,0,1,0,0,7,6,0,4,4,0,2022,defunciones,Cuadro14
8.0,,20 - 24 años,150,77,73,0,2,3,0,8,5,0,22,22,0,16,24,0,3,0,0,20,13,0,6,6,0,2022,defunciones,Cuadro14
8.0,,25 - 29 años,116,65,51,0,2,0,0,1,3,0,20,18,0,16,14,0,0,0,0,18,14,0,8,2,0,2022,defunciones,Cuadro14
8.0,,30 - 34 años,74,46,28,0,2,0,0,4,1,0,18,6,0,10,12,0,1,1,0,9,7,0,2,1,0,2022,defunciones,Cuadro14
8.0,,35 - 39 años,52,33,19,0,1,0,0,2,3,0,9,11,0,6,2,0,0,0,0,12,1,0,3,2,0,2022,defunciones,Cuadro14
8.0,,40 - 44 años,18,4,13,1,0,0,0,1,1,1,2,2,0,0,5,0,0,0,0,1,4,0,0,1,0,2022,defunciones,Cuadro14
8.0,,45 - 49 años,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro14
8.0,,50 - 54 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro14
8.0,,Edad desconocida,8,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,1,1,0,2022,defunciones,Cuadro14
11.0,11 Bogotá,TOTAL,590,329,260,1,16,16,1,29,20,0,64,67,0,81,64,0,2,3,0,87,60,0,50,30,0,2022,defunciones,Cuadro14
11.0,,10 - 14 años,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro14
11.0,,15 - 19 años,53,31,22,0,1,0,0,4,0,0,4,6,0,11,8,0,2,0,0,5,7,0,4,1,0,2022,defunciones,Cuadro14
11.0,,20 - 24 años,112,68,44,0,6,3,0,4,6,0,16,8,0,14,7,0,0,0,0,21,13,0,7,7,0,2022,defunciones,Cuadro14
11.0,,25 - 29 años,137,73,63,1,4,5,1,11,7,0,20,19,0,14,17,0,0,2,0,16,9,0,8,4,0,2022,defunciones,Cuadro14
11.0,,30 - 34 años,122,65,57,0,3,4,0,4,5,0,13,18,0,16,17,0,0,0,0,21,11,0,8,2,0,2022,defunciones,Cuadro14
11.0,,35 - 39 años,64,37,27,0,2,3,0,4,1,0,4,6,0,15,7,0,0,1,0,5,5,0,7,4,0,2022,defunciones,Cuadro14
11.0,,40 - 44 años,18,10,8,0,0,1,0,2,1,0,2,5,0,4,1,0,0,0,0,2,0,0,0,0,0,2022,defunciones,Cuadro14
11.0,,45 - 49 años,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022,defunciones,Cuadro14
11.0,,50 - 54 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro14
11.0,,Edad desconocida,82,44,38,0,0,0,0,0,0,0,5,5,0,6,7,0,0,0,0,17,15,0,16,11,0,2022,defunciones,Cuadro14
