columna,"CUADRO 2 - Defunciones por persona que certifica la defunción, según departamento, área y sitio donde ocurrió la defunción",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,año,tipo,hoja_origen
,Año 2022,,,,,,,,,,2022,defunciones,Cuadro2
,Volver al índice,,,,Departamento,,,,,,2022,defunciones,Cuadro2
,"Departamento, área y sitio donde ocurrió la defunción",,,Total,Certificado de defunción expedido por,,,,,,2022,defunciones,Cuadro2
,,,,,Médico tratante,Médico no tratante,Médico legista,Personal de salud autorizado,Funcionario del registro civil,Sin información,2022,defunciones,Cuadro2
3.0,Total Nacional,Total,Total,287251,83976,164990,35966,1067,112,1140,2022,defunciones,Cuadro2
3.0,,,Hospital/clínica,182703,76685,93882,12095,40,1,0,2022,defunciones,Cuadro2
3.0,,,Centro/puesto de salud,1459,300,593,562,4,0,0,2022,defunciones,Cuadro2
3.0,,,Casa/domicilio,80660,6514,67268,5832,947,96,3,2022,defunciones,Cuadro2
3.0,,,Lugar de trabajo,871,13,217,638,3,0,0,2022,defunciones,Cuadro2
3.0,,,Vía pública,11978,108,1330,10521,17,2,0,2022,defunciones,Cuadro2
3.0,,,Otro sitio,7581,348,1594,5612,26,1,0,2022,defunciones,Cuadro2
3.0,,,Sin información,1999,8,106,706,30,12,1137,2022,defunciones,Cuadro2
3.0,,Cabecera municipal,Total,257751,82383,147914,27222,224,8,0,2022,defunciones,Cuadro2
3.0,,,Hospital/clínica,180601,76314,92237,12014,35,1,0,2022,defunciones,Cuadro2
3.0,,,Centro/puesto de salud,1185,231,477,475,2,0,0,2022,defunciones,Cuadro2
3.0,,,Casa/domicilio,63367,5475,53136,4581,170,5,0,2022,defunciones,Cuadro2
3.0,,,Lugar de trabajo,405,11,120,274,0,0,0,2022,defunciones,Cuadro2
3.0,,,Vía pública,7327,68,755,6499,5,0,0,2022,defunciones,Cuadro2
3.0,,,Otro sitio,4411,278,1141,2985,7,0,0,2022,defunciones,Cuadro2
3.0,,,Sin información,455,6,48,394,5,2,0,2022,defunciones,Cuadro2
3.0,,Centro poblado,Total,7166,538,5093,1298,184,17,36,2022,defunciones,Cuadro2
3.0,,,Hospital/clínica,975,183,762,27,3,0,0,2022,defunciones,Cuadro2
3.0,,,Centro/puesto de salud,167,54,85,26,2,0,0,2022,defunciones,Cuadro2
3.0,,,Casa/domicilio,4648,271,3983,210,168,13,3,2022,defunciones,Cuadro2
3.0,,,Lugar de trabajo,67,2,18,47,0,0,0,2022,defunciones,Cuadro2
3.0,,,Vía pública,786,7,138,640,1,0,0,2022,defunciones,Cuadro2
3.0,,,Otro sitio,441,21,92,322,6,0,0,2022,defunciones,Cuadro2
3.0,,,Sin información,82,0,15,26,4,4,33,2022,defunciones,Cuadro2
3.0,,Rural disperso,Total,21029,1055,11983,7245,659,87,0,2022,defunciones,Cuadro2
3.0,,,Hospital/clínica,1125,188,883,52,2,0,0,2022,defunciones,Cuadro2
3.0,,,Centro/puesto de salud,101,15,31,55,0,0,0,2022,defunciones,Cuadro2
3.0,,,Casa/domicilio,12636,768,10149,1032,609,78,0,2022,defunciones,Cuadro2
3.0,,,Lugar de trabajo,397,0,79,315,3,0,0,2022,defunciones,Cuadro2
3.0,,,Vía pública,3813,33,437,3330,11,2,0,2022,defunciones,Cuadro2
3.0,,,Otro sitio,2701,49,361,2277,13,1,0,2022,defunciones,Cuadro2
3.0,,,Sin información,256,2,43,184,21,6,0,2022,defunciones,Cuadro2
3.0,,Sin información,Total,1305,0,0,201,0,0,1104,2022,defunciones,Cuadro2
3.0,,,Hospital/clínica,2,0,0,2,0,0,0,2022,defunciones,Cuadro2
3.0,,,Centro/puesto de salud,6,0,0,6,0,0,0,2022,defunciones,Cuadro2
3.0,,,Casa/domicilio,9,0,0,9,0,0,0,2022,defunciones,Cuadro2
3.0,,,Lugar de trabajo,2,0,0,2,0,0,0,2022,defunciones,Cuadro2
3.0,,,Vía pública,52,0,0,52,0,0,0,2022,defunciones,Cuadro2
3.0,,,Otro sitio,28,0,0,28,0,0,0,2022,defunciones,Cuadro2
3.0,,,Sin información,1206,0,0,102,0,0,1104,2022,defunciones,Cuadro2
5.0,05 Antioquia,Total,Total,40914,9142,26511,5048,52,9,152,2022,defunciones,Cuadro2
5.0,,,Hospital/clínica,23560,8229,14005,1304,21,1,0,2022,defunciones,Cuadro2
5.0,,,Centro/puesto de salud,133,8,59,66,0,0,0,2022,defunciones,Cuadro2
5.0,,,Casa/domicilio,13678,856,11792,999,24,7,0,2022,defunciones,Cuadro2
5.0,,,Lugar de trabajo,138,1,37,99,1,0,0,2022,defunciones,Cuadro2
