columna,"CUADRO 9 - Defunciones por pertenencia étnico-racial del fallecido y sexo, según departamento de residencia",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,año,tipo,hoja_origen
76.0,76 Valle del Cauca,32037,17648,14389,0,45,63,0,1,3,0,3,1,0,2,3,0,1414,1369,0,16183,12950,0,0,0,0,2022,defunciones,Cuadro9
81.0,81 Arauca,1482,989,493,0,31,18,0,0,0,0,0,0,0,0,0,0,12,5,0,946,470,0,0,0,0,2022,defunciones,Cuadro9
85.0,85 Casanare,1906,1148,758,0,18,11,0,0,1,0,0,0,0,0,0,0,5,7,0,1124,739,0,1,0,0,2022,defunciones,Cuadro9
86.0,86 Putumayo,1557,972,585,0,85,63,0,0,1,0,0,0,0,1,0,0,24,13,0,862,508,0,0,0,0,2022,defunciones,Cuadro9
88.0,88 Archipiélago de San Andrés y Providencia,330,174,156,0,0,0,0,0,0,0,80,71,0,0,0,0,18,13,0,76,72,0,0,0,0,2022,defunciones,Cuadro9
91.0,91 Amazonas,270,177,93,0,60,47,0,0,0,0,0,0,0,0,0,0,1,0,0,116,46,0,0,0,0,2022,defunciones,Cuadro9
94.0,94 Guainía,155,93,62,0,56,48,0,0,0,0,0,0,0,0,0,0,1,0,0,36,14,0,0,0,0,2022,defunciones,Cuadro9
95.0,95 Guaviare,364,253,111,0,21,11,0,0,0,0,0,0,0,0,0,0,4,2,0,228,98,0,0,0,0,2022,defunciones,Cuadro9
97.0,97 Vaupés,150,94,56,0,83,51,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,2022,defunciones,Cuadro9
99.0,99 Vichada,256,155,101,0,63,54,0,0,0,0,0,0,0,0,0,0,1,0,0,91,47,0,0,0,0,2022,defunciones,Cuadro9
75.0,Extranjero,745,463,282,0,28,23,0,0,0,0,0,0,0,0,0,0,13,5,0,422,254,0,0,0,0,2022,defunciones,Cuadro9
1.0,Sin Información,3555,2796,716,43,11,5,0,0,0,0,0,0,0,0,0,0,14,5,0,2079,260,43,692,446,0,2022,defunciones,Cuadro9
,Fuente: DANE - Estadísticas Vitales,,,,,,,,,,,,,,,,,,,,,,,,,,2022,defunciones,Cuadro9
,Fecha de actualización: 21 de diciembre de 2023,,,,,,,,,,,,,,,,,,,,,,,,,,2022,defunciones,Cuadro9
