columna,"CUADRO 9 - Defunciones por pertenencia étnico-racial del fallecido y sexo, según departamento de residencia",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,año,tipo,hoja_origen
,Año 2022,,,,,,,,,,,,,,,,,,,,,,,,,,2022,defunciones,Cuadro9
,Volver al índice,,,Departamento,,,,,,,,,,,,,,,,,,,,,,,2022,defunciones,Cuadro9
,Departamento de residencia,Total,Total,,,Indígena,,,Rom (Gitano),,,Raizal del archipielago de San Andres y Providencia,,,Palenquero de San Basilio,,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",,,Ninguno de las anteriores,,,Sin información,,,2022,defunciones,Cuadro9
,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2022,defunciones,Cuadro9
3.0,Total Nacional,287251,159171,128030,50,2900,2352,0,26,20,0,100,91,0,14,14,0,5056,4327,0,150381,120778,50,694,448,0,2022,defunciones,Cuadro9
5.0,05 Antioquia,40141,21679,18461,1,62,58,0,5,1,0,7,2,0,0,1,0,440,421,0,21165,17978,1,0,0,0,2022,defunciones,Cuadro9
8.0,08 Atlántico,14963,8089,6873,1,14,4,0,3,1,0,0,2,0,2,2,0,226,186,0,7844,6677,1,0,1,0,2022,defunciones,Cuadro9
11.0,11 Bogotá,38422,19823,18598,1,20,19,0,1,1,0,1,3,0,0,0,0,98,85,0,19703,18490,1,0,0,0,2022,defunciones,Cuadro9
13.0,13 Bolívar,10893,6102,4790,1,5,3,0,0,1,0,3,1,0,5,5,0,404,338,0,5685,4442,1,0,0,0,2022,defunciones,Cuadro9
15.0,15 Boyacá,7906,4354,3551,1,5,6,0,0,0,0,0,0,0,0,0,0,4,9,0,4345,3536,1,0,0,0,2022,defunciones,Cuadro9
17.0,17 Caldas,7423,3990,3433,0,148,159,0,0,0,0,0,0,0,0,0,0,22,14,0,3820,3260,0,0,0,0,2022,defunciones,Cuadro9
18.0,18 Caquetá,2022,1203,819,0,9,9,0,0,0,0,0,0,0,0,0,0,6,6,0,1188,804,0,0,0,0,2022,defunciones,Cuadro9
19.0,19 Cauca,7736,4537,3199,0,653,452,0,1,0,0,3,0,0,0,0,0,480,394,0,3400,2353,0,0,0,0,2022,defunciones,Cuadro9
20.0,20 Cesar,5806,3400,2405,1,76,63,0,1,1,0,0,0,0,0,0,0,57,48,0,3266,2293,1,0,0,0,2022,defunciones,Cuadro9
23.0,23 Córdoba,8530,4773,3757,0,50,59,0,0,0,0,0,0,0,0,0,0,56,42,0,4667,3656,0,0,0,0,2022,defunciones,Cuadro9
25.0,25 Cundinamarca,16883,9372,7511,0,5,9,0,9,8,0,0,1,0,1,0,0,41,16,0,9316,7477,0,0,0,0,2022,defunciones,Cuadro9
27.0,27 Chocó,2081,1206,875,0,119,104,0,0,0,0,1,1,0,0,1,0,777,615,0,309,154,0,0,0,0,2022,defunciones,Cuadro9
41.0,41 Huila,6972,3949,3023,0,18,19,0,0,0,0,0,1,0,0,0,0,7,6,0,3924,2997,0,0,0,0,2022,defunciones,Cuadro9
44.0,44 La Guajira,3396,1899,1497,0,510,436,0,0,1,0,0,0,0,1,0,0,36,31,0,1351,1029,0,1,0,0,2022,defunciones,Cuadro9
47.0,47 Magdalena,7058,4062,2995,1,21,18,0,0,0,0,1,1,0,1,0,0,60,41,0,3979,2935,1,0,0,0,2022,defunciones,Cuadro9
50.0,50 Meta,5882,3471,2411,0,47,36,0,0,0,0,1,0,0,0,0,0,20,15,0,3403,2360,0,0,0,0,2022,defunciones,Cuadro9
52.0,52 Nariño,8763,4755,4008,0,405,312,0,0,0,0,0,4,0,0,0,0,603,479,0,3747,3213,0,0,0,0,2022,defunciones,Cuadro9
54.0,54 Norte de Santander,9119,5145,3974,0,18,3,0,0,0,0,0,1,0,0,0,0,20,17,0,5107,3953,0,0,0,0,2022,defunciones,Cuadro9
63.0,63 Quindío,4667,2635,2032,0,10,5,0,0,0,0,0,0,0,0,0,0,11,12,0,2614,2015,0,0,0,0,2022,defunciones,Cuadro9
66.0,66 Risaralda,7589,4108,3481,0,64,62,0,1,0,0,0,1,0,0,0,0,53,34,0,3990,3384,0,0,0,0,2022,defunciones,Cuadro9
68.0,68 Santander,13496,7447,6049,0,4,5,0,1,0,0,0,0,0,1,0,0,20,16,0,7421,6027,0,0,1,0,2022,defunciones,Cuadro9
70.0,70 Sucre,4811,2633,2178,0,42,35,0,0,0,0,0,0,0,0,1,0,90,66,0,2501,2076,0,0,0,0,2022,defunciones,Cuadro9
73.0,73 Tolima,9885,5577,4308,0,94,82,0,3,1,0,0,1,0,0,1,0,18,17,0,5462,4206,0,0,0,0,2022,defunciones,Cuadro9
