,Departamento de residencia | Grupos de causas de defunción (Lista Colombia 105 para la tabulación de mortalidad),,TOTAL,Total,,,Menor 1 hora,,,De 1 a 23 horas,,,De 1 a 6 días,,,De 7 a 27 dias,,,De 28 a 29 días,,,De 1 a 5 meses,,,De 6 a 11 meses,,,De 1 año,,,De 2 a 4 años,,,De 5 a 9 años,,,De 10 a 14 años,,,De 15 a 19 años,,,De 20 a 24 años,,,De 25 a 29 años,,,De 30 a 34 años,,,De 35 a 39 años,,,De 40 a 44 años,,,De 45 a 49 años,,,De 50 a 54 años,,,De 55 a 59 años,,,De 60 a 64 años,,,De 65 a 69 años,,,De 70 a 74 años,,,De 75 a 79 años,,,De 80 a 84 años,,,De 85 a 89 años,,,De 90 a 94 años,,,De 95 a 99 años,,,De 100 años y más,,,Edad desconocida,,,2025,defunciones,Cuadro12
,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2025,defunciones,Cuadro12
5.0,,071 Enfermedades de la piel y del tejido subcutáneo,175,80,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,2,3,0,2,0,0,3,5,0,3,3,0,6,5,0,6,6,0,15,10,0,14,18,0,10,13,0,10,16,0,3,11,0,0,4,0,0,0,0,2025,defunciones,Cuadro12
5.0,,072 Enfermedades del sistema osteomuscular y del tejido conjuntivo,190,70,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,4,0,3,0,0,1,3,0,3,0,0,2,5,0,3,5,0,3,5,0,7,11,0,8,11,0,2,13,0,9,8,0,8,11,0,9,24,0,6,8,0,3,6,0,0,3,0,0,0,0,2025,defunciones,Cuadro12
5.0,,073 Enfermedades glomerulares y tubulointersticiales,32,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,2,0,1,2,0,0,5,0,0,4,0,2,3,0,3,2,0,0,1,0,0,1,0,0,0,0,2025,defunciones,Cuadro12
5.0,,074 Insuficiencia renal,233,130,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,3,1,0,2,3,0,4,1,0,1,5,0,0,4,0,6,3,0,9,6,0,15,3,0,14,13,0,19,7,0,22,14,0,20,16,0,9,14,0,2,8,0,2,2,0,0,0,0,2025,defunciones,Cuadro12
5.0,,075 Todas las demás enfermedades del sistema urinario,412,183,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,3,0,1,1,0,0,2,0,3,3,0,3,3,0,6,7,0,20,8,0,12,15,0,30,33,0,30,32,0,27,39,0,31,49,0,16,24,0,3,6,0,0,0,0,2025,defunciones,Cuadro12
5.0,,076 Hiperplasia de la próstata,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,6,0,0,3,0,0,4,0,0,6,0,0,5,0,0,2,0,0,1,0,0,0,0,0,2025,defunciones,Cuadro12
5.0,,077 Trastornos de los órganos genitales,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
5.0,,"078 Embarazo, parto y puerperio",18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,2,0,0,5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
5.0,,079 Feto y recién nacido afectados por ciertas afecciones maternas,7,4,3,0,2,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
5.0,,080 Feto y recién nacido afectados por complicaciones obstétricas y traumatismo del nacimiento,9,4,5,0,2,2,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
5.0,,"081 Retardo del crecimiento fetal, desnutrición fetal, gestación corta y bajo peso al nacer",12,9,3,0,2,1,0,4,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
5.0,,082 Trastornos respiratorios específicos del período perinatal,63,37,26,0,2,1,0,6,4,0,12,8,0,10,8,0,0,0,0,5,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
5.0,,083 Trastornos hemorrágicos y hematológicos del feto y del recién nacido,14,9,5,0,0,0,0,0,0,0,4,3,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
5.0,,084 Infecciones específicas del período perinatal,26,16,10,0,1,0,0,1,0,0,5,4,0,8,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
5.0,,085 Enterocolitis necrotizante del feto y del recién nacido,10,8,2,0,0,0,0,0,0,0,1,0,0,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
5.0,,086 Todas las demás afecciones originadas en el período perinatal,15,10,5,0,0,1,0,1,0,0,3,0,0,4,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
5.0,,087 Malformaciones congénitas del sistema circulatorio,51,29,22,0,1,0,0,0,3,0,2,0,0,6,9,0,0,0,0,4,1,0,1,2,0,3,2,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
5.0,,"088 Las demás malformaciones congénitas, deformidades y anomalías congénitas",56,26,30,0,1,1,0,6,1,0,1,4,0,2,4,0,0,0,0,1,5,0,1,0,0,0,2,0,0,1,0,2,3,0,3,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
5.0,,"089 Signos, síntomas y afecciones mal definidas",449,293,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,1,0,2,2,0,1,1,0,0,1,0,1,1,0,8,3,0,11,2,0,13,6,0,19,10,0,12,6,0,17,7,0,19,3,0,15,9,0,26,6,0,23,6,0,19,6,0,19,14,0,25,7,0,9,9,0,21,16,0,9,19,0,13,13,0,6,6,0,0,0,0,2025,defunciones,Cuadro12
5.0,,090 Accidentes de transporte de motor y secuelas,559,454,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,3,0,3,0,0,34,13,0,65,12,0,52,7,0,48,9,0,41,5,0,41,8,0,22,10,0,20,1,0,32,6,0,24,7,0,16,4,0,16,9,0,18,3,0,15,2,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
5.0,,091 Otros accidentes de transporte terrestre,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
5.0,,092 Los demás accidentes de transporte y los no especificados y secuelas,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
5.0,,093 Caídas,175,132,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,3,0,0,7,0,0,5,0,0,3,0,0,3,0,0,10,0,0,9,0,0,12,1,0,21,5,0,12,2,0,16,3,0,7,8,0,12,8,0,6,4,0,3,8,0,0,3,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
5.0,,094 Accidentes por disparo de arma de fuego,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
5.0,,095 Ahogamiento y sumersión accidentales,40,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,3,0,0,3,0,0,5,0,0,2,0,0,4,0,0,2,0,0,0,0,0,2,0,0,1,0,0,2,0,0,2,0,0,0,1,0,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
5.0,,096 Otros accidentes que obstruyen la respiración,54,33,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,2,0,0,2,1,0,0,0,0,1,1,0,4,1,0,1,0,0,1,2,0,3,0,0,5,5,0,4,4,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
5.0,,"097 Exposición a la corriente eléctrica, radiación y temperatura y presión del aire ambientales extremas",18,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,1,0,0,4,0,0,1,0,0,0,0,0,1,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
5.0,,"098 Exposición al humo, fuego y llamas",10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
5.0,,"099 Envenenamiento accidental por, y exposición a sustancias nocivas",15,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
5.0,,100 Lesiones autoinfligidas intencionalmente (suicidios) y secuelas,257,204,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,18,10,0,30,7,0,37,7,0,25,4,0,21,3,0,12,2,0,15,5,0,11,3,0,6,0,0,4,3,0,10,2,0,3,0,0,6,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
5.0,,101 Agresiones (homicidios) y secuelas,916,839,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,78,5,0,144,10,0,179,10,0,134,10,0,88,9,0,79,6,1,36,6,0,31,5,0,19,3,0,20,2,0,10,2,0,8,1,0,6,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
5.0,,102 Eventos de intención no determinada y secuelas,162,120,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,5,1,0,8,0,0,9,0,0,10,0,0,6,2,0,9,0,0,4,0,0,6,3,0,9,1,0,9,3,0,12,3,0,12,5,0,9,3,0,4,5,0,5,10,0,0,3,0,0,2,0,0,0,0,2025,defunciones,Cuadro12
5.0,,103 Intervención legal y operaciones de guerra y secuelas,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
5.0,,104 Contratiempos de la atención médico quirúrgica y secuelas,26,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,2,0,1,2,0,1,2,0,1,2,0,3,2,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
5.0,,105 Otros accidentes y secuelas,187,105,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,2,0,1,2,0,4,1,0,6,5,0,4,0,0,5,4,0,5,2,0,7,4,0,8,0,0,5,1,0,5,1,0,6,0,0,8,2,0,4,3,0,8,5,0,6,17,0,6,10,0,8,16,0,4,5,0,1,1,0,0,0,0,2025,defunciones,Cuadro12
8.0,08 Atlántico,TOTAL,8591,4638,3951,2,2,0,0,8,6,0,36,14,0,19,16,0,0,0,0,13,24,0,4,3,0,3,4,0,13,2,0,12,15,0,22,10,0,105,18,1,175,40,0,156,32,0,130,37,1,147,63,0,156,77,0,154,96,0,172,133,0,259,203,0,322,244,0,431,330,0,501,366,0,531,463,0,459,515,0,410,555,0,269,423,0,100,210,0,29,52,0,0,0,0,2025,defunciones,Cuadro12
8.0,,001 Enfermedades infecciosas intestinales,33,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,2,0,1,1,0,0,0,0,1,4,0,5,3,0,2,4,0,1,2,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
8.0,,002 Tuberculosis y secuelas,92,63,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,3,1,0,4,2,0,2,1,0,4,0,0,3,1,0,2,2,0,3,2,0,7,2,0,7,4,0,7,3,0,11,3,0,6,4,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
8.0,,003 Ciertas enfermedades transmitidas por vectores y rabia,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
8.0,,004 Ciertas enfermedades inmunoprevenibles,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
8.0,,"005 Septicemia, excepto neonatal",37,16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,3,1,0,1,1,0,2,4,0,1,0,0,2,1,0,0,5,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
8.0,,006 Todas las demás enfermedades bacterianas,30,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,1,2,0,3,1,0,1,4,0,2,1,0,1,2,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
8.0,,007 Sífilis y otras enfermedades venéreas,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
8.0,,008 Hepatitis viral y secuelas,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
8.0,,009 Enfermedad por el VIH (SIDA),65,55,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,0,10,0,0,8,2,0,4,2,0,4,0,0,6,2,0,2,1,0,7,1,0,2,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
8.0,,010 Todas las demás enfermedades infecciosas y parasitarias,26,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,1,0,1,0,0,2,1,0,1,1,0,2,1,0,2,0,0,1,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
8.0,,"011 Tumores malignos del labio, de la cavidad bucal y de la faringe",30,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,0,0,4,3,0,2,2,0,3,0,0,3,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2025,defunciones,Cuadro12
8.0,,012 Tumor maligno del esófago,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
8.0,,013 Tumor maligno del estómago,76,45,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,2,0,2,2,0,2,4,0,3,3,0,9,5,0,5,2,0,3,3,0,3,2,0,7,2,0,4,3,0,1,2,0,1,0,0,1,1,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
8.0,,"014 Tumor maligno del colon, de la unión rectosigmoidea, recto y ano",150,71,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,2,0,1,4,0,7,2,0,3,1,0,7,10,0,8,9,0,16,12,0,5,7,0,7,9,0,5,11,0,6,5,0,3,3,0,0,1,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
8.0,,015 Tumor maligno del hígado,53,24,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,8,0,4,5,0,6,4,0,2,1,0,4,5,0,1,3,0,1,0,0,1,1,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
8.0,,016 Tumor maligno de la vesícula biliar y de las vías biliares,29,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3,3,0,3,5,0,2,4,0,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
8.0,,017 Tumor maligno del páncreas,59,25,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,3,0,2,3,0,2,4,0,4,4,0,6,7,0,5,2,0,3,2,0,1,4,0,0,1,0,0,1,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
8.0,,018 Todos los demás tumores malignos de los órganos digestivos y del peritoneo,20,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,1,0,2,1,0,2,0,0,3,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
8.0,,019 Tumor maligno de la laringe,18,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,4,0,0,4,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
8.0,,"020 Tumor maligno de la tráquea, los bronquios y el pulmón",129,66,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,1,0,2,4,0,0,4,0,8,9,0,7,5,0,14,11,0,15,13,0,7,9,0,5,5,0,1,1,0,1,1,0,0,0,0,0,0,0,2025,defunciones,Cuadro12
