,Departamento de ocurrencia | Grupos de causas de defunción (Lista Colombia 105 para la tabulación de mortalidad),,TOTAL,Total,,,Menor 1 hora,,,De 1 a 23 horas,,,De 1 a 6 días,,,De 7 a 27 días,,,De 28 a 29 días,,,De 1 a 5 meses,,,De 6 a 11 meses,,,De 1 año,,,De 2 a 4 años,,,De 5 a 9 años,,,De 10 a 14 años,,,De 15 a 19 años,,,De 20 a 24 años,,,De 25 a 29 años,,,De 30 a 34 años,,,De 35 a 39 años,,,De 40 a 44 años,,,De 45 a 49 años,,,De 50 a 54 años,,,De 55 a 59 años,,,De 60 a 64 años,,,De 65 a 69 años,,,De 70 a 74 años,,,De 75 a 79 años,,,De 80 a 84 años,,,De 85 a 89 años,,,De 90 a 94 años,,,De 95 a 99 años,,,De 100 años y más,,,Edad desconocida,,,2025,defunciones,Cuadro11
,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2025,defunciones,Cuadro11
11.0,,100 Lesiones autoinfligidas intencionalmente (suicidios) y secuelas,196,148,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,10,12,0,21,9,0,23,3,0,17,5,0,13,5,0,8,2,0,2,1,0,8,1,0,7,3,0,3,2,0,7,1,0,13,0,0,3,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro11
11.0,,101 Agresiones (homicidios) y secuelas,721,649,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,2,0,32,5,0,94,11,0,135,18,0,116,7,0,69,4,0,78,5,0,43,4,1,31,0,0,16,6,0,12,2,0,11,3,0,5,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro11
11.0,,102 Eventos de intención no determinada y secuelas,150,116,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,1,0,5,2,0,3,0,0,6,0,0,5,3,0,10,2,0,11,1,0,10,1,0,8,2,0,11,2,0,9,2,0,8,4,0,11,3,0,6,2,0,4,3,0,3,4,0,0,0,0,0,1,1,0,0,0,2025,defunciones,Cuadro11
11.0,,104 Contratiempos de la atención médico quirúrgica y secuelas,18,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,1,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2025,defunciones,Cuadro11
11.0,,105 Otros accidentes y secuelas,52,30,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,4,0,0,2,2,0,2,0,0,2,3,0,3,2,0,3,2,0,4,3,0,0,3,0,2,2,0,0,3,0,0,1,0,0,0,0,2025,defunciones,Cuadro11
13.0,13 Bolívar,TOTAL,6184,3452,2730,2,2,0,0,7,4,0,30,16,0,11,11,0,0,2,0,8,10,0,6,4,0,3,4,0,6,7,0,15,9,0,13,7,0,42,25,0,137,14,0,141,31,0,146,38,1,136,43,0,114,54,0,103,64,0,138,99,0,206,120,0,244,185,0,278,211,0,313,281,0,353,295,1,369,319,0,335,360,0,183,308,0,89,160,0,24,49,0,0,0,0,2025,defunciones,Cuadro11
13.0,,001 Enfermedades infecciosas intestinales,19,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,3,2,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2025,defunciones,Cuadro11
13.0,,002 Tuberculosis y secuelas,42,29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,3,0,0,2,0,0,2,0,0,4,2,0,3,0,0,4,3,0,1,1,0,1,0,0,2,3,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro11
13.0,,003 Ciertas enfermedades transmitidas por vectores y rabia,13,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro11
13.0,,004 Ciertas enfermedades inmunoprevenibles,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro11
