columna,"CUADRO 11 - Defunciones por grupo de edad y sexo, según departamento de ocurrencia y grupo de causas de defunción  (Lista Colombia 105 para la tabulación de mortalidad)",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,columna_27,columna_28,columna_29,columna_30,columna_31,columna_32,columna_33,columna_34,columna_35,columna_36,columna_37,columna_38,columna_39,columna_40,columna_41,columna_42,columna_43,columna_44,columna_45,columna_46,columna_47,columna_48,columna_49,columna_50,columna_51,columna_52,columna_53,columna_54,columna_55,columna_56,columna_57,columna_58,columna_59,columna_60,columna_61,columna_62,columna_63,columna_64,columna_65,columna_66,columna_67,columna_68,columna_69,columna_70,columna_71,columna_72,columna_73,columna_74,columna_75,columna_76,columna_77,columna_78,columna_79,columna_80,columna_81,columna_82,columna_83,columna_84,columna_85,columna_86,columna_87,columna_88,columna_89,columna_90,columna_91,columna_92,columna_93,columna_94,columna_95,año,tipo,hoja_origen
,Año corrido 2025 preliminar - (Defunciones no fetales ocurridas y reportadas entre el 1 de enero y el 31 de julio de 2025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,defunciones,Cuadro11
,Volver al índice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,defunciones,Cuadro11
,Departamento de ocurrencia | Grupos de causas de defunción (Lista Colombia 105 para la tabulación de mortalidad),,TOTAL,Total,,,Menor 1 hora,,,De 1 a 23 horas,,,De 1 a 6 días,,,De 7 a 27 días,,,De 28 a 29 días,,,De 1 a 5 meses,,,De 6 a 11 meses,,,De 1 año,,,De 2 a 4 años,,,De 5 a 9 años,,,De 10 a 14 años,,,De 15 a 19 años,,,De 20 a 24 años,,,De 25 a 29 años,,,De 30 a 34 años,,,De 35 a 39 años,,,De 40 a 44 años,,,De 45 a 49 años,,,De 50 a 54 años,,,De 55 a 59 años,,,De 60 a 64 años,,,De 65 a 69 años,,,De 70 a 74 años,,,De 75 a 79 años,,,De 80 a 84 años,,,De 85 a 89 años,,,De 90 a 94 años,,,De 95 a 99 años,,,De 100 años y más,,,Edad desconocida,,,2025,defunciones,Cuadro11
,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2025,defunciones,Cuadro11
3.0,Total Nacional,TOTAL,163711,90139,73543,29,67,46,2,133,113,0,393,297,0,310,249,0,15,13,0,335,287,1,125,108,0,126,113,0,184,160,0,214,186,0,335,245,0,1552,500,1,2698,630,0,3144,726,2,2913,887,3,2581,1118,0,2662,1471,5,2701,1756,2,3147,2244,1,4444,3267,0,6366,4374,3,8088,5845,0,9541,6900,0,10277,8332,2,10209,9557,3,9065,10500,0,5723,8420,0,2315,4102,2,476,1095,1,0,2,1,2025,defunciones,Cuadro11
3.0,,001 Enfermedades infecciosas intestinales,902,408,494,0,0,0,0,0,0,0,2,0,0,4,1,0,0,2,0,11,13,0,4,6,0,13,6,0,2,9,0,1,0,0,1,2,0,1,1,0,4,1,0,6,1,0,6,3,0,5,4,0,11,8,0,7,7,0,12,10,0,15,17,0,21,35,0,29,40,0,36,45,0,51,51,0,82,62,0,44,78,0,32,62,0,7,26,0,1,4,0,0,0,0,2025,defunciones,Cuadro11
3.0,,002 Tuberculosis y secuelas,1008,711,296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,2,0,2,1,0,1,0,0,8,6,0,25,9,0,46,18,0,42,17,0,50,10,0,44,16,0,36,16,0,42,18,0,47,18,0,69,27,1,64,32,0,65,22,0,72,28,0,48,25,0,32,18,0,13,10,0,2,0,0,0,1,0,0,0,0,2025,defunciones,Cuadro11
3.0,,003 Ciertas enfermedades transmitidas por vectores y rabia,272,166,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,5,1,0,2,9,0,4,6,0,7,1,0,8,4,0,3,2,0,4,5,0,6,5,0,8,1,0,9,2,0,6,2,0,8,3,0,20,7,0,16,10,0,24,12,0,12,13,0,14,11,0,5,5,0,3,4,0,0,1,0,0,0,0,0,0,0,2025,defunciones,Cuadro11
3.0,,004 Ciertas enfermedades inmunoprevenibles,28,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,2,0,2,1,0,0,2,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro11
3.0,,"005 Septicemia, excepto neonatal",495,234,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,1,0,2,0,0,5,2,0,4,0,0,1,2,0,3,3,0,7,0,0,8,4,0,5,6,0,5,5,0,9,9,0,17,10,0,16,15,0,18,26,0,28,28,0,28,30,0,33,34,0,27,41,0,13,22,0,3,14,0,0,5,0,0,0,0,2025,defunciones,Cuadro11
3.0,,006 Todas las demás enfermedades bacterianas,290,156,134,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,3,0,0,3,3,0,2,3,0,4,1,0,4,4,0,6,4,0,6,8,0,6,7,0,12,7,0,13,9,0,22,12,0,14,10,0,24,21,0,11,13,0,10,13,0,7,9,0,2,5,0,0,0,0,0,0,0,2025,defunciones,Cuadro11
3.0,,007 Sífilis y otras enfermedades venéreas,20,13,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,1,0,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro11
3.0,,008 Hepatitis viral y secuelas,69,38,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,1,0,2,4,0,4,2,0,3,1,0,0,3,0,4,0,0,3,2,0,4,2,0,4,4,0,4,8,0,1,2,0,2,0,0,1,0,0,1,2,0,0,0,0,0,0,0,2025,defunciones,Cuadro11
3.0,,009 Enfermedad por el VIH (SIDA),1250,959,290,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,2,0,42,15,0,108,23,0,147,33,0,136,38,0,117,45,1,86,32,0,82,32,0,78,24,0,60,18,0,45,15,0,31,7,0,21,2,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,defunciones,Cuadro11
3.0,,010 Todas las demás enfermedades infecciosas y parasitarias,494,274,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,1,5,0,1,2,0,6,2,0,3,5,0,3,3,0,3,3,0,3,2,0,9,7,0,3,2,0,10,6,0,16,6,0,9,5,0,14,9,0,14,9,0,27,20,0,18,20,0,22,23,0,31,25,0,40,26,0,19,13,0,9,15,0,5,2,0,2,3,0,0,0,0,2025,defunciones,Cuadro11
3.0,,"011 Tumores malignos del labio, de la cavidad bucal y de la faringe",558,323,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,1,4,0,1,1,0,4,2,0,13,8,0,14,7,0,28,12,0,30,18,0,43,27,0,47,23,0,37,28,0,39,36,0,21,33,0,26,17,0,10,11,0,5,4,0,1,2,0,0,0,0,2025,defunciones,Cuadro11
3.0,,012 Tumor maligno del esófago,400,269,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,3,1,0,6,1,0,8,6,0,23,6,0,33,13,0,38,14,0,43,28,0,44,16,0,38,20,0,21,9,0,6,11,0,3,3,0,0,0,0,0,0,0,2025,defunciones,Cuadro11
3.0,,013 Tumor maligno del estómago,3102,1824,1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,0,12,10,0,21,28,0,32,44,0,43,71,0,77,69,0,100,93,0,177,108,0,210,119,0,251,141,0,272,126,0,245,145,0,202,131,0,117,109,0,49,56,0,8,20,0,3,2,0,0,0,0,2025,defunciones,Cuadro11
3.0,,"014 Tumor maligno del colon, de la unión rectosigmoidea, recto y ano",3040,1504,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,8,6,0,18,15,0,26,26,0,34,38,0,70,58,0,80,65,0,125,121,0,156,149,0,215,201,0,216,196,0,198,219,0,161,188,0,127,153,0,53,76,0,12,18,0,1,4,0,0,0,0,2025,defunciones,Cuadro11
3.0,,015 Tumor maligno del hígado,1399,710,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,2,1,0,6,3,0,3,4,0,8,8,0,4,12,0,28,25,0,44,34,0,80,84,0,100,105,0,127,105,0,122,101,0,114,108,0,39,57,0,21,30,0,8,8,0,0,2,0,0,0,0,2025,defunciones,Cuadro11
3.0,,016 Tumor maligno de la vesícula biliar y de las vías biliares,786,282,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,3,0,1,7,0,4,11,0,16,35,0,24,41,0,27,68,0,40,84,0,63,71,0,43,73,0,25,48,0,19,38,0,8,17,0,3,6,0,2,2,0,0,0,0,2025,defunciones,Cuadro11
3.0,,017 Tumor maligno del páncreas,1531,736,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,10,5,0,12,9,0,15,21,0,35,41,0,60,62,0,101,87,0,132,121,0,130,124,0,110,102,0,63,105,0,45,68,0,19,36,0,1,10,0,1,1,0,0,0,0,2025,defunciones,Cuadro11
3.0,,018 Todos los demás tumores malignos de los órganos digestivos y del peritoneo,500,246,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,4,1,0,5,2,0,6,5,0,8,8,0,4,11,0,12,15,0,17,20,0,37,30,0,35,32,0,31,41,0,31,34,0,24,22,0,16,21,0,9,9,0,3,2,0,0,0,0,0,0,0,2025,defunciones,Cuadro11
3.0,,019 Tumor maligno de la laringe,204,168,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,2,0,3,1,0,6,3,0,22,2,0,26,6,0,34,6,0,21,3,0,24,4,0,19,3,0,4,1,0,4,1,0,0,2,0,0,0,0,2025,defunciones,Cuadro11
3.0,,"020 Tumor maligno de la tráquea, los bronquios y el pulmón",2842,1577,1265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,0,12,6,0,14,10,0,14,23,0,30,24,0,43,48,0,74,85,0,159,145,0,277,186,0,302,212,0,293,188,0,184,154,0,112,125,0,49,43,0,8,12,0,1,2,0,0,0,0,2025,defunciones,Cuadro11
3.0,,"021 Todos los demás tumores malignos de los órganos respiratorios e intratorácicos, excepto tráquea, bronquios y pulmón",169,83,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,0,1,2,0,2,3,0,4,0,0,2,0,0,3,2,0,4,1,0,5,2,0,8,9,0,4,4,0,15,9,0,12,9,0,7,13,0,6,9,0,4,9,0,1,5,0,0,7,0,0,0,0,0,0,0,2025,defunciones,Cuadro11
3.0,,022 Tumor maligno de los huesos y de los cartílagos articulares,240,146,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,4,4,0,11,1,0,14,7,0,6,2,0,7,2,0,5,1,0,10,8,0,5,4,0,5,2,0,11,7,0,15,5,0,9,8,0,9,12,0,13,6,0,8,4,0,5,9,0,5,4,0,1,1,0,2,2,0,0,0,0,2025,defunciones,Cuadro11
3.0,,023 Melanoma y otros tumores malignos de la piel,773,456,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,2,2,0,3,1,0,4,5,0,8,7,0,9,14,0,13,15,0,26,25,0,54,19,0,50,31,0,46,30,0,65,38,0,58,38,0,64,41,0,31,27,0,14,21,0,6,2,0,0,0,0,2025,defunciones,Cuadro11
3.0,,024 Tumor maligno de la mama de la mujer,2269,0,2269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,46,0,0,80,0,0,139,0,0,154,0,0,213,0,0,272,0,0,255,0,0,225,0,0,206,0,0,241,0,0,190,0,0,120,0,0,80,0,0,37,0,0,0,0,0,0,0,2025,defunciones,Cuadro11
3.0,,025 Tumor maligno del cuello del útero,1106,0,1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,52,0,0,76,0,0,101,0,0,109,0,0,98,0,0,117,0,0,112,0,0,113,0,0,88,0,0,85,0,0,67,0,0,48,0,0,17,0,0,6,0,0,1,0,0,0,0,2025,defunciones,Cuadro11
3.0,,026 Tumor maligno de otras partes del útero,542,0,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15,0,0,15,0,0,27,0,0,32,0,0,62,0,0,74,0,0,85,0,0,85,0,0,60,0,0,35,0,0,21,0,0,22,0,0,5,0,0,0,0,0,0,0,2025,defunciones,Cuadro11
3.0,,027 Tumor maligno del ovario,749,0,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,4,0,0,6,0,0,8,0,0,32,0,0,45,0,0,80,0,0,92,0,0,95,0,0,97,0,0,96,0,0,78,0,0,59,0,0,36,0,0,10,0,0,3,0,0,0,0,0,0,0,2025,defunciones,Cuadro11
3.0,,028 Tumor maligno de la próstata,2247,2247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,10,0,0,60,0,0,118,0,0,234,0,0,352,0,0,413,0,0,450,0,0,358,0,0,175,0,0,64,0,0,8,0,0,0,0,0,2025,defunciones,Cuadro11
3.0,,029 Tumor maligno de la vejiga urinaria,374,246,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,4,1,0,4,0,0,2,4,0,8,7,0,18,4,0,40,20,0,42,20,0,41,18,0,34,16,0,31,20,0,15,10,0,3,4,0,2,0,0,0,0,0,2025,defunciones,Cuadro11
3.0,,030 Todos los demás tumores malignos de los órganos urinarios,580,399,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,2,0,8,3,0,13,5,0,24,9,0,35,25,0,48,30,0,49,17,0,73,22,0,49,30,0,48,15,0,30,16,0,8,4,0,2,1,0,0,0,0,0,0,0,2025,defunciones,Cuadro11
3.0,,"031 Tumor maligno del encéfalo, del ojo y de otras partes del sistema nervioso central",1041,564,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,14,14,0,12,8,0,9,6,0,16,9,0,17,12,0,12,14,0,23,16,0,32,29,0,29,16,0,41,32,0,55,53,0,58,60,0,72,61,0,70,46,0,41,35,0,31,27,0,18,21,0,8,8,0,3,6,0,1,0,0,0,0,0,2025,defunciones,Cuadro11
3.0,,032 Tumor maligno del tiroides y de otras glándulas endocrinas,389,125,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,1,0,0,0,1,0,3,0,0,0,3,0,1,0,0,1,3,0,2,3,0,5,4,0,6,14,0,12,18,0,16,37,0,18,39,0,22,46,0,16,34,0,5,29,0,8,23,0,3,6,0,1,3,0,0,0,0,0,0,0,2025,defunciones,Cuadro11
3.0,,033 Tumores malignos de sitios mal definidos y secundarios,211,110,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,2,0,2,1,0,3,2,0,3,5,0,2,6,0,9,7,0,10,4,0,12,18,0,19,10,0,21,10,0,7,16,0,12,9,0,6,8,0,0,1,0,1,1,0,0,0,0,2025,defunciones,Cuadro11
3.0,,034 Tumor maligno de sitios no especificados,833,386,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,2,3,0,2,5,0,6,11,0,8,12,0,13,16,0,13,16,0,22,34,0,47,36,0,57,53,0,53,66,0,56,69,0,49,55,0,25,44,0,23,18,0,5,7,0,0,0,0,0,0,0,2025,defunciones,Cuadro11
3.0,,035 Leucemia,1204,671,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,2,4,0,20,9,0,22,16,0,21,18,0,31,22,0,31,15,0,28,16,0,21,15,0,31,17,0,27,21,0,27,27,0,26,19,0,31,31,0,52,38,0,55,52,0,58,53,0,80,53,0,47,47,0,44,34,0,11,16,0,2,7,0,0,1,0,0,0,0,2025,defunciones,Cuadro11
3.0,,"036 Todos los demás tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines",1618,902,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0,8,2,0,5,1,0,13,10,0,8,8,0,17,8,0,35,21,0,30,18,0,50,42,0,85,51,0,108,77,0,123,115,0,128,111,0,136,113,0,84,73,0,55,47,0,13,12,0,2,3,0,0,0,0,0,0,0,2025,defunciones,Cuadro11
3.0,,"037 Tumores: in situ, benignos y de comportamiento incierto o desconocido y los no especificados",2288,1176,1112,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,4,1,0,6,3,0,4,12,0,15,12,0,15,12,0,26,17,0,22,18,0,21,27,0,43,42,0,46,45,0,69,62,0,91,91,0,143,103,0,175,162,0,158,138,0,162,146,0,103,122,0,51,66,0,12,27,0,3,1,0,0,0,0,2025,defunciones,Cuadro11
3.0,,038 Todos los demás tumores malignos de otras localizaciones,686,389,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,3,0,5,3,0,25,2,0,29,3,0,25,8,0,18,8,0,15,17,0,19,10,0,24,8,0,28,18,0,43,36,0,37,40,0,30,38,0,30,33,0,27,30,0,23,24,0,6,11,0,3,2,0,0,0,0,0,0,0,2025,defunciones,Cuadro11
3.0,,"039 Anemias: nutricionales, hemolíticas, aplásticas y otras",407,205,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,2,1,0,6,3,0,1,4,0,4,2,0,8,5,0,4,4,0,4,10,0,3,3,0,7,0,0,4,7,0,5,9,0,10,7,0,10,9,0,15,16,0,14,16,0,21,18,0,29,26,0,29,27,0,17,19,0,8,12,0,0,2,0,0,0,0,2025,defunciones,Cuadro11
3.0,,"040 Defectos de coagulación, púrpura y otras afecciones hemorrágicas y de la sangre y los trastornos que afectan la inmunidad",384,169,215,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,3,2,0,0,3,0,4,4,0,1,3,0,0,3,0,4,3,0,5,5,0,6,9,0,11,8,0,10,9,0,5,9,0,7,12,0,6,8,0,15,11,0,14,10,0,15,16,0,15,17,0,16,23,0,12,22,0,13,16,0,3,10,0,3,5,0,0,1,0,0,0,0,2025,defunciones,Cuadro11
3.0,,041 Diabetes mellitus,5027,2408,2619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,4,0,5,7,0,7,14,0,13,15,0,12,17,0,28,27,0,36,29,0,77,51,0,99,98,0,158,135,0,233,178,0,315,301,0,345,319,0,345,346,0,300,391,0,246,340,0,134,244,0,45,86,0,8,14,0,0,0,0,2025,defunciones,Cuadro11
3.0,,042 Deficiencias nutricionales,1122,611,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,15,6,0,15,16,0,3,0,0,0,1,0,2,0,0,5,1,0,6,2,0,9,1,0,18,1,0,10,3,0,10,12,0,10,8,0,10,6,0,17,11,0,32,12,0,45,19,0,57,32,0,69,58,0,109,82,0,67,86,0,59,65,0,17,58,0,11,16,0,0,0,0,2025,defunciones,Cuadro11
3.0,,043 Todas las demás enfermedades endocrinas y nutricionales,1768,916,851,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,3,2,0,1,2,0,0,6,0,2,5,0,4,4,0,3,3,0,6,5,0,9,10,0,12,10,0,19,9,0,23,14,0,32,22,0,39,25,0,69,39,0,72,62,0,95,66,0,116,69,0,113,98,1,107,93,0,108,132,0,50,87,0,24,64,0,5,21,0,0,0,0,2025,defunciones,Cuadro11
3.0,,044 Trastornos mentales y del comportamiento,1302,566,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,6,0,0,9,2,0,7,5,0,7,2,0,11,8,0,6,7,0,19,5,0,21,8,0,30,27,0,52,31,0,59,45,0,85,99,0,113,159,0,80,168,0,52,130,0,8,38,0,0,0,0,2025,defunciones,Cuadro11
3.0,,045 Meningitis y otras enfermedades inflamatorias del sistema nervioso central,317,201,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,1,0,1,0,0,1,1,0,3,2,0,5,3,0,5,5,0,12,4,0,11,5,0,9,6,0,6,4,0,16,8,0,13,4,0,13,14,0,19,8,0,16,10,0,19,12,0,12,9,0,15,5,0,10,8,0,8,2,0,0,1,0,0,2,0,0,0,0,0,0,0,2025,defunciones,Cuadro11
3.0,,046 Epilepsia y otros trastornos episódicos y paroxísticos,717,418,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,2,2,0,3,1,0,1,4,0,8,3,0,3,4,0,17,7,0,25,12,0,28,13,0,24,18,0,34,19,0,24,17,0,26,17,0,33,12,0,27,23,0,27,18,0,37,21,0,25,21,0,25,17,0,17,22,0,17,28,0,8,9,0,3,4,0,2,2,0,0,0,0,2025,defunciones,Cuadro11
3.0,,047 Todas las demás enfermedades del sistema nervioso,4745,2064,2681,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,4,6,0,10,8,0,23,12,0,36,13,0,45,27,0,45,23,0,31,14,0,33,13,0,25,24,0,33,25,0,45,30,0,39,36,0,60,56,0,91,78,0,122,134,0,204,184,0,286,304,0,306,399,0,311,502,0,223,495,0,71,250,0,15,44,0,0,0,0,2025,defunciones,Cuadro11
3.0,,"048 Enfermedades del ojo y sus anexos, del oído y de la apófisis mastoides",29,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,2,0,1,2,0,1,0,0,0,0,0,1,2,0,1,2,0,1,1,0,1,2,0,0,0,0,0,1,0,0,0,0,2025,defunciones,Cuadro11
3.0,,049 Fiebre reumática aguda y enfermedades cardíacas reumáticas crónicas,65,25,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,3,0,2,0,0,0,3,0,6,4,0,1,2,0,3,8,0,4,4,0,3,5,0,2,3,0,1,4,0,0,2,0,0,0,0,0,0,0,2025,defunciones,Cuadro11
3.0,,050 Enfermedades hipertensivas,5412,2589,2823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,3,0,5,2,0,8,4,0,6,6,0,14,10,0,22,22,0,36,33,0,57,30,0,83,60,0,150,106,0,198,142,0,273,204,0,371,326,0,428,444,0,431,569,0,317,509,0,161,283,0,25,69,0,0,0,0,2025,defunciones,Cuadro11
3.0,,051 Enfermedades isquémicas del corazón,28084,15293,12790,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,22,9,0,35,12,0,40,17,0,80,31,0,169,66,0,280,123,0,425,195,0,708,352,0,1225,535,0,1616,804,0,1971,1118,0,2150,1512,1,2158,1950,0,2130,2362,0,1468,2235,0,650,1098,0,163,369,0,0,0,0,2025,defunciones,Cuadro11
