columna,"CUADRO 10 - Defunciones por probable manera de muerte y sexo, según departamento de ocurrencia",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_25,año,tipo,hoja_origen
,Año corrido 2025 preliminar - (Defunciones no fetales ocurridas y reportadas entre el 1 de enero y el 31 de julio de 2025),,,,,,,,,,,,,,,2025,defunciones,Cuadro10
,Volver al índice,,,,,,,,,,,,,,,2025,defunciones,Cuadro10
,DEPARTAMENTO DE OCURRENCIA,TOTAL,Total,,,Natural,,,No natural,,,En estudio,,,,2025,defunciones,Cuadro10
,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,,2025,defunciones,Cuadro10
3.0,Total Nacional,163711,90139,73543,29,72859,69963,6,16423,3284,16,857,296,7,,2025,defunciones,Cuadro10
5.0,05 Antioquia,23905,13022,10878,5,10544,10336,2,2283,478,2,195,64,1,,2025,defunciones,Cuadro10
8.0,08 Atlántico,9393,5065,4325,3,4141,4175,0,859,132,3,65,18,0,,2025,defunciones,Cuadro10
11.0,11 Bogotá,25024,12688,12330,6,11054,11888,0,1425,376,2,209,66,4,,2025,defunciones,Cuadro10
13.0,13 Bolívar,6184,3452,2730,2,2710,2609,1,716,116,1,26,5,0,,2025,defunciones,Cuadro10
15.0,15 Boyacá,4225,2289,1936,0,1976,1863,0,306,72,0,7,1,0,,2025,defunciones,Cuadro10
17.0,17 Caldas,4236,2337,1898,1,1976,1809,0,339,84,1,22,5,0,,2025,defunciones,Cuadro10
18.0,18 Caquetá,1093,661,432,0,499,401,0,158,26,0,4,5,0,,2025,defunciones,Cuadro10
19.0,19 Cauca,3525,2066,1459,0,1418,1355,0,646,104,0,2,0,0,,2025,defunciones,Cuadro10
20.0,20 Cesar,3758,2229,1528,1,1710,1430,0,491,89,1,28,9,0,,2025,defunciones,Cuadro10
23.0,23 Córdoba,5425,2966,2459,0,2525,2339,0,415,112,0,26,8,0,,2025,defunciones,Cuadro10
25.0,25 Cundinamarca,7917,4407,3508,2,3599,3321,0,776,174,1,32,13,1,,2025,defunciones,Cuadro10
27.0,27 Chocó,860,518,342,0,338,315,0,171,25,0,9,2,0,,2025,defunciones,Cuadro10
41.0,41 Huila,4277,2440,1837,0,1933,1715,0,490,119,0,17,3,0,,2025,defunciones,Cuadro10
44.0,44 La Guajira,1526,877,649,0,645,604,0,230,45,0,2,0,0,,2025,defunciones,Cuadro10
47.0,47 Magdalena,3593,2083,1510,0,1543,1430,0,529,73,0,11,7,0,,2025,defunciones,Cuadro10
50.0,50 Meta,3326,1993,1332,1,1525,1238,1,449,87,0,19,7,0,,2025,defunciones,Cuadro10
52.0,52 Nariño,4949,2631,2317,1,2088,2190,1,535,127,0,8,0,0,,2025,defunciones,Cuadro10
54.0,54 Norte de Santander,5323,3079,2244,0,2333,2119,0,721,117,0,25,8,0,,2025,defunciones,Cuadro10
63.0,63 Quindío,2763,1543,1218,2,1274,1151,1,254,56,0,15,11,1,,2025,defunciones,Cuadro10
66.0,66 Risaralda,4545,2544,2001,0,2132,1893,0,391,99,0,21,9,0,,2025,defunciones,Cuadro10
68.0,68 Santander,7709,4312,3397,0,3566,3236,0,708,143,0,38,18,0,,2025,defunciones,Cuadro10
70.0,70 Sucre,2660,1532,1125,3,1274,1080,0,258,43,3,0,2,0,,2025,defunciones,Cuadro10
73.0,73 Tolima,5278,3041,2237,0,2553,2132,0,461,96,0,27,9,0,,2025,defunciones,Cuadro10
76.0,76 Valle del Cauca,19092,10431,8660,1,8221,8295,0,2191,355,1,19,10,0,,2025,defunciones,Cuadro10
81.0,81 Arauca,637,406,231,0,263,208,0,141,22,0,2,1,0,,2025,defunciones,Cuadro10
85.0,85 Casanare,1041,638,402,1,450,351,0,182,46,1,6,5,0,,2025,defunciones,Cuadro10
86.0,86 Putumayo,649,376,273,0,237,239,0,127,29,0,12,5,0,,2025,defunciones,Cuadro10
88.0,88 Archipiélago de San Andrés y Providencia,151,93,58,0,60,53,0,30,4,0,3,1,0,,2025,defunciones,Cuadro10
91.0,91 Amazonas,151,99,52,0,68,44,0,28,7,0,3,1,0,,2025,defunciones,Cuadro10
94.0,94 Guainía,85,48,37,0,37,32,0,11,5,0,0,0,0,,2025,defunciones,Cuadro10
95.0,95 Guaviare,240,166,74,0,95,59,0,70,14,0,1,1,0,,2025,defunciones,Cuadro10
97.0,97 Vaupés,71,46,25,0,29,19,0,17,6,0,0,0,0,,2025,defunciones,Cuadro10
99.0,99 Vichada,100,61,39,0,43,34,0,15,3,0,3,2,0,,2025,defunciones,Cuadro10
,Fuente: DANE - Estadísticas Vitales,,,,,,,,,,,,,,0.0,2025,defunciones,Cuadro10
,Fecha de actualización: 25 de septiembre de 2025,,,,,,,,,,,,,,,2025,defunciones,Cuadro10
