columna,columna_1,"CUADRO 6A - Nacimientos por peso al nacer, según departamento, municipio y área de residencia de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,año,tipo,hoja_origen
,,"Año corrido 2025, preliminar - (Nacimientos ocurridos y reportados por la fuente entre el 1 de enero y el 31 de julio de 2025)",,,,,,,,,,,,,2025,nacimientos,Cuadro6A
,,Volver al índice,,,,,,,,,,,,,2025,nacimientos,Cuadro6A
,,"Departamento, municipio y área de residencia de la madre",,,Total,Peso en gramos,,,,,,,,,2025,nacimientos,Cuadro6A
,,,,,,Menos de 1.000,1.000 - 1.499,1.500 - 1.999,2.000 - 2.499,2.500 - 2.999,3.000 - 3.499,3.500 - 3.999,4.000 y más,Sin información,2025,nacimientos,Cuadro6A
3.0,3000.0,Total Nacional,,Total,243870,1034,1942,4848,19270,72703,101665,37024,4663,721,2025,nacimientos,Cuadro6A
3.0,3000.0,,,Cabecera municipal,183040,808,1473,3683,14757,54530,76450,27923,3393,23,2025,nacimientos,Cuadro6A
3.0,3000.0,,,Centro poblado,15230,56,87,256,1065,4463,6464,2394,378,67,2025,nacimientos,Cuadro6A
3.0,3000.0,,,Rural disperso,44285,159,361,874,3346,13338,18215,6502,860,630,2025,nacimientos,Cuadro6A
3.0,3000.0,,,Sin información,1315,11,21,35,102,372,536,205,32,1,2025,nacimientos,Cuadro6A
5.0,5000.0,05 Antioquia,Total Dpto,Total,28836,141,223,550,2282,8884,12130,4170,444,12,2025,nacimientos,Cuadro6A
5.0,5000.0,,,Cabecera municipal,21447,101,160,411,1705,6680,9006,3080,302,2,2025,nacimientos,Cuadro6A
5.0,5000.0,,,Centro poblado,1555,10,11,22,97,465,675,238,37,0,2025,nacimientos,Cuadro6A
5.0,5000.0,,,Rural disperso,5834,30,52,117,480,1739,2449,852,105,10,2025,nacimientos,Cuadro6A
5.0,5000.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro6A
5.0,5001.0,,05001 Medellín,Total,9750,45,66,202,831,3127,4061,1307,110,1,2025,nacimientos,Cuadro6A
5.0,5001.0,,,Cabecera municipal,9557,44,66,199,815,3073,3966,1287,106,1,2025,nacimientos,Cuadro6A
5.0,5001.0,,,Centro poblado,94,1,0,0,8,34,42,6,3,0,2025,nacimientos,Cuadro6A
5.0,5001.0,,,Rural disperso,99,0,0,3,8,20,53,14,1,0,2025,nacimientos,Cuadro6A
5.0,5001.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro6A
5.0,5002.0,,05002 Abejorral,Total,64,1,0,1,4,27,23,7,1,0,2025,nacimientos,Cuadro6A
5.0,5002.0,,,Cabecera municipal,27,0,0,0,4,10,11,2,0,0,2025,nacimientos,Cuadro6A
5.0,5002.0,,,Centro poblado,3,0,0,0,0,1,2,0,0,0,2025,nacimientos,Cuadro6A
5.0,5002.0,,,Rural disperso,34,1,0,1,0,16,10,5,1,0,2025,nacimientos,Cuadro6A
5.0,5002.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro6A
5.0,5004.0,,05004 Abriaquí,Total,7,0,0,0,4,0,3,0,0,0,2025,nacimientos,Cuadro6A
5.0,5004.0,,,Cabecera municipal,2,0,0,0,2,0,0,0,0,0,2025,nacimientos,Cuadro6A
5.0,5004.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro6A
5.0,5004.0,,,Rural disperso,5,0,0,0,2,0,3,0,0,0,2025,nacimientos,Cuadro6A
5.0,5004.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro6A
5.0,5021.0,,05021 Alejandría,Total,22,0,0,0,1,9,8,4,0,0,2025,nacimientos,Cuadro6A
5.0,5021.0,,,Cabecera municipal,10,0,0,0,1,6,2,1,0,0,2025,nacimientos,Cuadro6A
5.0,5021.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro6A
5.0,5021.0,,,Rural disperso,12,0,0,0,0,3,6,3,0,0,2025,nacimientos,Cuadro6A
5.0,5021.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro6A
5.0,5030.0,,05030 Amagá,Total,89,0,0,2,6,28,38,15,0,0,2025,nacimientos,Cuadro6A
5.0,5030.0,,,Cabecera municipal,43,0,0,0,3,11,19,10,0,0,2025,nacimientos,Cuadro6A
5.0,5030.0,,,Centro poblado,7,0,0,0,0,3,4,0,0,0,2025,nacimientos,Cuadro6A
5.0,5030.0,,,Rural disperso,39,0,0,2,3,14,15,5,0,0,2025,nacimientos,Cuadro6A
5.0,5030.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro6A
5.0,5031.0,,05031 Amalfi,Total,101,0,0,2,7,26,52,14,0,0,2025,nacimientos,Cuadro6A
5.0,5031.0,,,Cabecera municipal,59,0,0,1,5,9,34,10,0,0,2025,nacimientos,Cuadro6A
5.0,5031.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro6A
5.0,5031.0,,,Rural disperso,42,0,0,1,2,17,18,4,0,0,2025,nacimientos,Cuadro6A
5.0,5031.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro6A
5.0,5034.0,,05034 Andes,Total,165,0,2,2,16,65,64,12,4,0,2025,nacimientos,Cuadro6A
5.0,5034.0,,,Cabecera municipal,70,0,0,1,6,29,24,6,4,0,2025,nacimientos,Cuadro6A
5.0,5034.0,,,Centro poblado,21,0,1,0,1,8,10,1,0,0,2025,nacimientos,Cuadro6A
5.0,5034.0,,,Rural disperso,74,0,1,1,9,28,30,5,0,0,2025,nacimientos,Cuadro6A
5.0,5034.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro6A
5.0,5036.0,,05036 Angelópolis,Total,27,0,0,1,9,8,6,3,0,0,2025,nacimientos,Cuadro6A
5.0,5036.0,,,Cabecera municipal,6,0,0,1,1,0,3,1,0,0,2025,nacimientos,Cuadro6A
5.0,5036.0,,,Centro poblado,5,0,0,0,2,2,1,0,0,0,2025,nacimientos,Cuadro6A
5.0,5036.0,,,Rural disperso,16,0,0,0,6,6,2,2,0,0,2025,nacimientos,Cuadro6A
5.0,5036.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro6A
5.0,5038.0,,05038 Angostura,Total,30,0,0,0,1,10,17,2,0,0,2025,nacimientos,Cuadro6A
5.0,5038.0,,,Cabecera municipal,7,0,0,0,1,4,2,0,0,0,2025,nacimientos,Cuadro6A
5.0,5038.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro6A
5.0,5038.0,,,Rural disperso,23,0,0,0,0,6,15,2,0,0,2025,nacimientos,Cuadro6A
5.0,5038.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro6A
5.0,5040.0,,05040 Anorí,Total,102,0,1,4,7,34,47,9,0,0,2025,nacimientos,Cuadro6A
5.0,5040.0,,,Cabecera municipal,51,0,0,1,3,19,24,4,0,0,2025,nacimientos,Cuadro6A
5.0,5040.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro6A
5.0,5040.0,,,Rural disperso,51,0,1,3,4,15,23,5,0,0,2025,nacimientos,Cuadro6A
5.0,5040.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro6A
5.0,5042.0,,05042 Santa Fé de Antioquia,Total,141,1,2,2,10,42,64,19,1,0,2025,nacimientos,Cuadro6A
5.0,5042.0,,,Cabecera municipal,89,1,0,0,8,28,40,12,0,0,2025,nacimientos,Cuadro6A
5.0,5042.0,,,Centro poblado,1,0,0,0,0,0,1,0,0,0,2025,nacimientos,Cuadro6A
5.0,5042.0,,,Rural disperso,51,0,2,2,2,14,23,7,1,0,2025,nacimientos,Cuadro6A
5.0,5042.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro6A
5.0,5044.0,,05044 Anzá,Total,32,0,0,0,1,10,19,2,0,0,2025,nacimientos,Cuadro6A
5.0,5044.0,,,Cabecera municipal,6,0,0,0,0,2,3,1,0,0,2025,nacimientos,Cuadro6A
5.0,5044.0,,,Centro poblado,2,0,0,0,0,0,2,0,0,0,2025,nacimientos,Cuadro6A
5.0,5044.0,,,Rural disperso,24,0,0,0,1,8,14,1,0,0,2025,nacimientos,Cuadro6A
5.0,5044.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro6A
