columna,columna_1,"CUADRO 13 - Nacimientos por nivel educativo de la madre según departamento, municipio de residencia y grupo de edad de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,año,tipo,hoja_origen
11.0,11999.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13000.0,13 Bolívar,Total Dpto,Total,13102,9,912,2744,4271,335,10,1466,1016,1580,163,46,2,48,500,2025,nacimientos,Cuadro13
13.0,13000.0,,,De 10-14 Años,106,0,34,62,2,0,0,0,0,0,0,0,0,0,8,2025,nacimientos,Cuadro13
13.0,13000.0,,,De 15-19 Años,2219,0,269,900,789,37,0,43,18,13,0,0,0,10,140,2025,nacimientos,Cuadro13
13.0,13000.0,,,De 20-24 Años,3569,2,218,786,1496,93,2,423,239,150,1,0,0,10,149,2025,nacimientos,Cuadro13
13.0,13000.0,,,De 25-29 Años,3410,2,158,547,1097,109,2,475,358,522,34,3,0,9,94,2025,nacimientos,Cuadro13
13.0,13000.0,,,De 30-34 Años,2425,0,116,282,576,57,4,359,278,587,73,18,1,9,65,2025,nacimientos,Cuadro13
13.0,13000.0,,,De 35-39 Años,1085,3,83,127,253,33,2,143,101,236,43,24,0,5,32,2025,nacimientos,Cuadro13
13.0,13000.0,,,De 40-44 Años,272,1,33,39,55,6,0,21,21,67,12,1,0,5,11,2025,nacimientos,Cuadro13
13.0,13000.0,,,De 45-49 Años,16,1,1,1,3,0,0,2,1,5,0,0,1,0,1,2025,nacimientos,Cuadro13
13.0,13000.0,,,De 50-54 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13000.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13001.0,,13001 Cartagena de Indias,Total,6527,2,151,846,2197,230,7,927,763,1174,145,40,2,9,34,2025,nacimientos,Cuadro13
13.0,13001.0,,,De 10-14 Años,25,0,7,15,1,0,0,0,0,0,0,0,0,0,2,2025,nacimientos,Cuadro13
13.0,13001.0,,,De 15-19 Años,715,0,41,256,339,23,0,25,13,11,0,0,0,3,4,2025,nacimientos,Cuadro13
13.0,13001.0,,,De 20-24 Años,1680,0,36,244,777,57,2,269,175,108,1,0,0,2,9,2025,nacimientos,Cuadro13
13.0,13001.0,,,De 25-29 Años,1891,0,27,193,593,76,2,305,272,377,30,3,0,2,11,2025,nacimientos,Cuadro13
13.0,13001.0,,,De 30-34 Años,1420,0,13,81,317,43,2,219,219,442,64,15,1,0,4,2025,nacimientos,Cuadro13
13.0,13001.0,,,De 35-39 Años,630,1,21,44,137,26,1,91,67,179,38,22,0,1,2,2025,nacimientos,Cuadro13
13.0,13001.0,,,De 40-44 Años,157,1,6,13,31,5,0,16,16,54,12,0,0,1,2,2025,nacimientos,Cuadro13
13.0,13001.0,,,De 45-49 Años,9,0,0,0,2,0,0,2,1,3,0,0,1,0,0,2025,nacimientos,Cuadro13
13.0,13001.0,,,De 50-54 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13001.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13006.0,,13006 Achí,Total,174,0,24,53,68,0,0,7,0,9,0,0,0,1,12,2025,nacimientos,Cuadro13
13.0,13006.0,,,De 10-14 Años,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13006.0,,,De 15-19 Años,49,0,8,22,17,0,0,0,0,0,0,0,0,0,2,2025,nacimientos,Cuadro13
13.0,13006.0,,,De 20-24 Años,45,0,3,14,20,0,0,1,0,3,0,0,0,0,4,2025,nacimientos,Cuadro13
13.0,13006.0,,,De 25-29 Años,40,0,7,8,18,0,0,1,0,3,0,0,0,0,3,2025,nacimientos,Cuadro13
13.0,13006.0,,,De 30-34 Años,20,0,2,4,7,0,0,3,0,0,0,0,0,1,3,2025,nacimientos,Cuadro13
13.0,13006.0,,,De 35-39 Años,12,0,2,0,5,0,0,2,0,3,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13006.0,,,De 40-44 Años,6,0,1,4,1,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13006.0,,,De 45-49 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13006.0,,,De 50-54 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13006.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13030.0,,13030 Altos del Rosario,Total,99,0,15,35,39,3,0,0,2,1,0,0,0,1,3,2025,nacimientos,Cuadro13
13.0,13030.0,,,De 10-14 Años,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13030.0,,,De 15-19 Años,36,0,6,17,10,0,0,0,0,0,0,0,0,1,2,2025,nacimientos,Cuadro13
13.0,13030.0,,,De 20-24 Años,29,0,4,10,13,2,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13030.0,,,De 25-29 Años,16,0,3,1,10,1,0,0,1,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13030.0,,,De 30-34 Años,11,0,2,4,3,0,0,0,0,1,0,0,0,0,1,2025,nacimientos,Cuadro13
13.0,13030.0,,,De 35-39 Años,5,0,0,1,3,0,0,0,1,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13030.0,,,De 40-44 Años,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13030.0,,,De 45-49 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13030.0,,,De 50-54 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13030.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13042.0,,13042 Arenal,Total,87,0,11,27,26,5,0,3,6,1,1,0,0,2,5,2025,nacimientos,Cuadro13
13.0,13042.0,,,De 10-14 Años,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13042.0,,,De 15-19 Años,22,0,3,9,6,1,0,0,0,0,0,0,0,1,2,2025,nacimientos,Cuadro13
13.0,13042.0,,,De 20-24 Años,28,0,3,11,9,2,0,0,1,0,0,0,0,0,2,2025,nacimientos,Cuadro13
13.0,13042.0,,,De 25-29 Años,18,0,2,3,6,1,0,1,2,1,0,0,0,1,1,2025,nacimientos,Cuadro13
13.0,13042.0,,,De 30-34 Años,9,0,0,2,2,1,0,2,1,0,1,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13042.0,,,De 35-39 Años,7,0,1,1,3,0,0,0,2,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13042.0,,,De 40-44 Años,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13042.0,,,De 45-49 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13042.0,,,De 50-54 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13042.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13052.0,,13052 Arjona,Total,427,1,21,98,167,6,0,64,27,31,1,0,0,2,9,2025,nacimientos,Cuadro13
13.0,13052.0,,,De 10-14 Años,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13052.0,,,De 15-19 Años,77,0,5,38,30,1,0,2,0,0,0,0,0,0,1,2025,nacimientos,Cuadro13
13.0,13052.0,,,De 20-24 Años,125,0,4,26,63,2,0,15,9,1,0,0,0,0,5,2025,nacimientos,Cuadro13
13.0,13052.0,,,De 25-29 Años,111,0,3,17,40,2,0,26,10,12,0,0,0,0,1,2025,nacimientos,Cuadro13
