columna,"CUADRO 11 - Nacimientos por área y sexo, según departamento de residencia de la madre y pertenencia étnico-racial del nacido vivo",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,año,tipo,hoja_origen
13.0,,Indígena,6,3,3,0,2,1,0,1,0,0,0,2,0,0,0,0,2025,nacimientos,Cuadro11
13.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
13.0,,Raizal del archipiélago de San Andrés y Providencia,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
13.0,,Palenquero de San Basilio,8,4,4,0,1,1,0,3,3,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
13.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",246,114,132,0,85,98,0,20,21,0,9,13,0,0,0,0,2025,nacimientos,Cuadro11
13.0,,Ninguno de las anteriores,12841,6549,6292,0,5185,4939,0,816,829,0,548,524,0,0,0,0,2025,nacimientos,Cuadro11
13.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
15.0,15 Boyacá,Total,5528,2740,2788,0,1749,1763,0,42,46,0,949,979,0,0,0,0,2025,nacimientos,Cuadro11
15.0,,Indígena,50,17,33,0,1,2,0,0,1,0,16,30,0,0,0,0,2025,nacimientos,Cuadro11
15.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
15.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
15.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
15.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",5,3,2,0,2,2,0,0,0,0,1,0,0,0,0,0,2025,nacimientos,Cuadro11
15.0,,Ninguno de las anteriores,5473,2720,2753,0,1746,1759,0,42,45,0,932,949,0,0,0,0,2025,nacimientos,Cuadro11
15.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
17.0,17 Caldas,Total,3091,1597,1494,0,1093,985,0,76,81,0,428,428,0,0,0,0,2025,nacimientos,Cuadro11
17.0,,Indígena,186,81,105,0,15,9,0,8,11,0,58,85,0,0,0,0,2025,nacimientos,Cuadro11
17.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
17.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
17.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
17.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",9,8,1,0,4,0,0,2,0,0,2,1,0,0,0,0,2025,nacimientos,Cuadro11
17.0,,Ninguno de las anteriores,2896,1508,1388,0,1074,976,0,66,70,0,368,342,0,0,0,0,2025,nacimientos,Cuadro11
17.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
18.0,18 Caquetá,Total,2716,1418,1298,0,911,856,0,59,47,0,448,395,0,0,0,0,2025,nacimientos,Cuadro11
18.0,,Indígena,34,22,12,0,4,3,0,3,3,0,15,6,0,0,0,0,2025,nacimientos,Cuadro11
18.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
18.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
18.0,,Palenquero de San Basilio,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
18.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
18.0,,Ninguno de las anteriores,2679,1394,1285,0,905,852,0,56,44,0,433,389,0,0,0,0,2025,nacimientos,Cuadro11
18.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
