columna,"CUADRO 11 - Nacimientos por área y sexo, según departamento de residencia de la madre y pertenencia étnica del nacido vivo",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,año,tipo,hoja_origen,cuadro,"CUADRO 11 - Nacimientos por área y sexo, según departamento de residencia de la madre y pertenencia étnico-racial del nacido vivo"
13.0,,Rom (Gitano),1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
13.0,,Raizal del archipiélago de San Andrés y Providencia,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
13.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
13.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",81,37,44,0,30,37,0,5,5,0,2,2,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
13.0,,Ninguno de las anteriores,2746,1420,1326,0,1189,1144,0,147,110,0,84,72,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
13.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
15.0,15 Boyacá,Total,981,491,490,0,272,288,0,28,16,0,191,186,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
15.0,,Indígena,3,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
15.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
15.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
15.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
15.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
15.0,,Ninguno de las anteriores,976,488,488,0,271,287,0,28,16,0,189,185,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
15.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
17.0,17 Caldas,Total,668,366,302,0,232,203,0,26,15,0,108,84,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
17.0,,Indígena,41,21,20,0,0,1,0,4,5,0,17,14,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
17.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
17.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
17.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
17.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
17.0,,Ninguno de las anteriores,627,345,282,0,232,202,0,22,10,0,91,70,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
17.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
18.0,18 Caquetá,Total,488,241,247,0,167,159,0,12,18,0,62,70,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
18.0,,Indígena,7,4,3,0,1,1,0,0,0,0,3,2,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
18.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
18.0,,Raizal del archipiélago de San Andrés y Providencia,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
18.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
18.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",5,2,3,0,2,3,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
18.0,,Ninguno de las anteriores,475,235,240,0,164,154,0,12,18,0,59,68,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
18.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
19.0,19 Cauca,Total,1332,674,658,0,226,245,0,82,62,0,366,351,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
19.0,,Indígena,255,125,130,0,8,9,0,10,5,0,107,116,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
19.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
19.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
19.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
19.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",118,58,60,0,27,27,0,8,7,0,23,26,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
19.0,,Ninguno de las anteriores,959,491,468,0,191,209,0,64,50,0,236,209,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
19.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
20.0,20 Cesar,Total,1785,886,899,0,699,698,0,112,122,0,75,79,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
20.0,,Indígena,28,11,17,0,3,9,0,6,3,0,2,5,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
20.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
20.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
20.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro11,cuadro11,
