columna,columna_1,"CUADRO 3 - Defunciones por grupos de edad y sexo, según departamento, municipio y área donde ocurrió la defunción",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,columna_27,columna_28,columna_29,columna_30,columna_31,columna_32,columna_33,columna_34,año,tipo,hoja_origen,cuadro
,,Año 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,defunciones,Cuadro3,cuadro3
,,Volver al índice,,Departamento,,,,Municipio,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,defunciones,Cuadro3,cuadro3
,,"Departamento, municipio y área de ocurrencia",,,Total,Total,,,Grupo de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,defunciones,Cuadro3,cuadro3
,,,,,,,,,Menor 1 año,,,De 1-4 años,,,De 5-14 años,,,De 15-44 años,,,De 45-64 años,,,De 65-84 años,,,De 85-99 años,,,De 100 y más,,,Edad desconocida,,,2022,defunciones,Cuadro3,cuadro3
,,,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2022,defunciones,Cuadro3,cuadro3
3.0,3000.0,Total Nacional,,TOTAL,287251,159171,128030,50,3735,2947,7,932,739,0,1185,863,0,27785,9384,9,29727,20662,6,65255,52311,9,29715,39300,3,824,1822,3,13,2,13,2022,defunciones,Cuadro3,cuadro3
3.0,3000.0,,,Cabecera municipal,257751,139563,118160,28,3569,2817,6,801,632,0,985,736,0,21761,8313,4,26329,19483,3,59157,48810,7,26262,35741,2,694,1627,0,5,1,6,2022,defunciones,Cuadro3,cuadro3
3.0,3000.0,,,Centro poblado,7166,4524,2642,0,38,21,0,28,22,0,27,23,0,997,211,0,765,290,0,1650,948,0,982,1068,0,36,59,0,1,0,0,2022,defunciones,Cuadro3,cuadro3
3.0,3000.0,,,Rural disperso,21029,14240,6775,14,114,94,1,99,79,0,161,100,0,4809,819,5,2511,813,3,4183,2404,1,2276,2337,1,85,129,1,2,0,2,2022,defunciones,Cuadro3,cuadro3
3.0,3000.0,,,Sin información,1305,844,453,8,14,15,0,4,6,0,12,4,0,218,41,0,122,76,0,265,149,1,195,154,0,9,7,2,5,1,5,2022,defunciones,Cuadro3,cuadro3
5.0,5000.0,05 Antioquia,Total Dpto,TOTAL,40914,22323,18588,3,315,271,0,91,71,0,130,94,0,4088,1233,1,4238,2861,1,9169,7903,1,4157,5859,0,133,295,0,2,1,0,2022,defunciones,Cuadro3,cuadro3
5.0,5000.0,,,Cabecera municipal,36017,18946,17070,1,297,253,0,70,53,0,105,78,0,2833,1045,0,3647,2633,1,8165,7328,0,3708,5413,0,121,266,0,0,1,0,2022,defunciones,Cuadro3,cuadro3
5.0,5000.0,,,Centro poblado,915,620,295,0,4,2,0,4,4,0,0,4,0,211,32,0,102,41,0,194,104,0,103,101,0,2,7,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5000.0,,,Rural disperso,3736,2579,1156,1,13,12,0,17,13,0,22,11,0,962,147,1,463,177,0,770,455,0,321,321,0,10,20,0,1,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5000.0,,,Sin información,246,178,67,1,1,4,0,0,1,0,3,1,0,82,9,0,26,10,0,40,16,1,25,24,0,0,2,0,1,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5001.0,,05001 Medellín,TOTAL,21133,10855,10278,0,179,171,0,45,33,0,69,52,0,1476,632,0,2170,1655,0,4863,4416,0,1999,3150,0,53,169,0,1,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5001.0,,,Cabecera municipal,20897,10695,10202,0,178,168,0,43,33,0,69,51,0,1405,616,0,2139,1647,0,4820,4392,0,1988,3128,0,53,167,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5001.0,,,Centro poblado,79,57,22,0,1,2,0,1,0,0,0,1,0,23,6,0,16,3,0,15,5,0,1,5,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5001.0,,,Rural disperso,129,87,42,0,0,1,0,1,0,0,0,0,0,41,8,0,12,4,0,24,15,0,9,12,0,0,2,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5001.0,,,Sin información,28,16,12,0,0,0,0,0,0,0,0,0,0,7,2,0,3,1,0,4,4,0,1,5,0,0,0,0,1,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5002.0,,05002 Abejorral,TOTAL,88,47,41,0,0,0,0,0,0,0,0,1,0,10,0,0,7,2,0,20,22,0,9,16,0,1,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5002.0,,,Cabecera municipal,58,28,30,0,0,0,0,0,0,0,0,1,0,4,0,0,5,1,0,16,17,0,2,11,0,1,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5002.0,,,Centro poblado,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5002.0,,,Rural disperso,29,18,11,0,0,0,0,0,0,0,0,0,0,6,0,0,2,1,0,3,5,0,7,5,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5002.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5004.0,,05004 Abriaquí,TOTAL,21,16,5,0,1,0,0,0,0,0,0,0,0,8,1,0,3,0,0,3,2,0,1,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5004.0,,,Cabecera municipal,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5004.0,,,Centro poblado,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5004.0,,,Rural disperso,16,15,1,0,1,0,0,0,0,0,0,0,0,8,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5004.0,,,Sin información,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5021.0,,05021 Alejandría,TOTAL,19,12,7,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,6,2,0,3,5,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5021.0,,,Cabecera municipal,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,5,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5021.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5021.0,,,Rural disperso,7,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5021.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5030.0,,05030 Amagá,TOTAL,111,71,40,0,0,0,0,0,0,0,0,0,0,11,1,0,17,5,0,26,18,0,17,16,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5030.0,,,Cabecera municipal,74,46,28,0,0,0,0,0,0,0,0,0,0,6,1,0,11,3,0,18,13,0,11,11,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5030.0,,,Centro poblado,19,14,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,3,0,4,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5030.0,,,Rural disperso,16,9,7,0,0,0,0,0,0,0,0,0,0,3,0,0,4,2,0,0,2,0,2,3,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5030.0,,,Sin información,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5031.0,,05031 Amalfi,TOTAL,95,64,31,0,1,0,0,0,0,0,1,1,0,20,3,0,10,2,0,19,16,0,12,9,0,1,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5031.0,,,Cabecera municipal,63,40,23,0,1,0,0,0,0,0,0,0,0,6,2,0,5,2,0,17,12,0,10,7,0,1,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5031.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5031.0,,,Rural disperso,28,21,7,0,0,0,0,0,0,0,1,1,0,11,0,0,5,0,0,2,4,0,2,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5031.0,,,Sin información,4,3,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5034.0,,05034 Andes,TOTAL,210,131,79,0,1,0,0,2,0,0,1,3,0,32,6,0,24,8,0,46,38,0,25,24,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5034.0,,,Cabecera municipal,112,66,46,0,0,0,0,2,0,0,0,0,0,13,4,0,12,6,0,24,22,0,15,14,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5034.0,,,Centro poblado,35,23,12,0,0,0,0,0,0,0,0,1,0,12,2,0,1,0,0,8,4,0,2,5,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5034.0,,,Rural disperso,61,42,19,0,1,0,0,0,0,0,1,2,0,7,0,0,11,1,0,14,12,0,8,4,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5034.0,,,Sin información,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5036.0,,05036 Angelópolis,TOTAL,28,16,12,0,0,0,0,0,0,0,0,0,0,3,1,0,3,1,0,3,5,0,7,5,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5036.0,,,Cabecera municipal,11,6,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,4,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5036.0,,,Centro poblado,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5036.0,,,Rural disperso,11,5,6,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,3,0,1,3,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5036.0,,,Sin información,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5038.0,,05038 Angostura,TOTAL,47,30,17,0,0,0,0,0,0,0,0,1,0,14,1,0,1,3,0,12,6,0,3,4,0,0,2,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5038.0,,,Cabecera municipal,20,12,8,0,0,0,0,0,0,0,0,1,0,4,0,0,0,2,0,7,1,0,1,2,0,0,2,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5038.0,,,Centro poblado,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5038.0,,,Rural disperso,23,15,8,0,0,0,0,0,0,0,0,0,0,8,1,0,1,1,0,4,5,0,2,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5038.0,,,Sin información,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5040.0,,05040 Anorí,TOTAL,66,56,10,0,1,0,0,0,0,0,0,0,0,27,2,0,10,1,0,10,5,0,8,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5040.0,,,Cabecera municipal,34,27,7,0,1,0,0,0,0,0,0,0,0,14,2,0,4,0,0,5,4,0,3,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5040.0,,,Centro poblado,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5040.0,,,Rural disperso,29,26,3,0,0,0,0,0,0,0,0,0,0,12,0,0,4,1,0,5,1,0,5,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5040.0,,,Sin información,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5042.0,,05042 Santa Fé de Antioquia,TOTAL,211,136,75,0,3,0,0,1,1,0,0,0,0,32,7,0,24,4,0,49,34,0,26,27,0,1,2,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5042.0,,,Cabecera municipal,169,106,63,0,2,0,0,0,1,0,0,0,0,27,2,0,17,3,0,41,31,0,18,24,0,1,2,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5042.0,,,Centro poblado,7,5,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5042.0,,,Rural disperso,30,20,10,0,1,0,0,1,0,0,0,0,0,4,3,0,4,1,0,4,3,0,6,3,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5042.0,,,Sin información,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5044.0,,05044 Anzá,TOTAL,34,20,14,0,0,0,0,1,0,0,0,0,0,5,1,0,3,1,0,7,4,0,4,7,0,0,1,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5044.0,,,Cabecera municipal,10,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,2,3,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5044.0,,,Centro poblado,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5044.0,,,Rural disperso,19,13,6,0,0,0,0,1,0,0,0,0,0,4,1,0,2,1,0,4,1,0,2,3,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5044.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5045.0,,05045 Apartadó,TOTAL,932,521,411,0,12,13,0,5,4,0,4,2,0,138,48,0,107,98,0,186,172,0,68,72,0,1,1,0,0,1,0,2022,defunciones,Cuadro3,cuadro3
5.0,5045.0,,,Cabecera municipal,864,469,395,0,12,11,0,5,1,0,4,2,0,110,46,0,100,93,0,175,169,0,62,71,0,1,1,0,0,1,0,2022,defunciones,Cuadro3,cuadro3
5.0,5045.0,,,Centro poblado,23,19,4,0,0,0,0,0,0,0,0,0,0,10,0,0,2,3,0,3,1,0,4,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5045.0,,,Rural disperso,32,23,9,0,0,1,0,0,2,0,0,0,0,11,1,0,3,2,0,7,2,0,2,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5045.0,,,Sin información,13,10,3,0,0,1,0,0,1,0,0,0,0,7,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5051.0,,05051 Arboletes,TOTAL,76,53,23,0,1,0,0,0,0,0,1,0,0,11,2,0,9,3,0,18,8,0,13,9,0,0,1,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5051.0,,,Cabecera municipal,49,36,13,0,1,0,0,0,0,0,0,0,0,9,2,0,8,2,0,12,5,0,6,3,0,0,1,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5051.0,,,Centro poblado,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5051.0,,,Rural disperso,15,10,5,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,3,2,0,4,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5051.0,,,Sin información,11,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,3,3,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5055.0,,05055 Argelia,TOTAL,35,26,9,0,0,0,0,0,0,0,0,0,0,11,1,0,2,0,0,11,2,0,2,4,0,0,2,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5055.0,,,Cabecera municipal,23,16,7,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,7,2,0,2,3,0,0,1,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5055.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5055.0,,,Rural disperso,12,10,2,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,4,0,0,0,1,0,0,1,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5055.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5059.0,,05059 Armenia,TOTAL,19,15,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,7,1,0,5,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5059.0,,,Cabecera municipal,11,8,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,5,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5059.0,,,Centro poblado,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5059.0,,,Rural disperso,7,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5059.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5079.0,,05079 Barbosa,TOTAL,199,141,58,0,0,0,0,0,1,0,1,1,0,45,3,0,36,7,0,35,22,0,24,22,0,0,2,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5079.0,,,Cabecera municipal,89,59,30,0,0,0,0,0,0,0,1,0,0,7,1,0,19,4,0,18,12,0,14,13,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5079.0,,,Centro poblado,16,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,1,0,4,3,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5079.0,,,Rural disperso,74,53,21,0,0,0,0,0,1,0,0,1,0,20,1,0,14,1,0,13,9,0,6,6,0,0,2,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5079.0,,,Sin información,20,19,1,0,0,0,0,0,0,0,0,0,0,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5086.0,,05086 Belmira,TOTAL,23,17,6,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,11,4,0,0,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5086.0,,,Cabecera municipal,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,3,0,0,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5086.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5086.0,,,Rural disperso,11,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,6,1,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5086.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5088.0,,05088 Bello,TOTAL,2271,1209,1062,0,3,1,0,4,0,0,2,3,0,223,76,0,223,174,0,512,465,0,234,331,0,8,12,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5088.0,,,Cabecera municipal,2191,1151,1040,0,2,0,0,3,0,0,2,3,0,196,73,0,214,170,0,496,458,0,230,325,0,8,11,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5088.0,,,Centro poblado,15,11,4,0,1,0,0,1,0,0,0,0,0,5,0,0,2,0,0,2,3,0,0,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5088.0,,,Rural disperso,46,31,15,0,0,0,0,0,0,0,0,0,0,12,2,0,4,4,0,11,4,0,4,4,0,0,1,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5088.0,,,Sin información,19,16,3,0,0,1,0,0,0,0,0,0,0,10,1,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5091.0,,05091 Betania,TOTAL,42,26,16,0,0,0,0,0,0,0,0,0,0,5,2,0,4,3,0,9,3,0,8,8,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5091.0,,,Cabecera municipal,24,11,13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,4,2,0,6,8,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5091.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5091.0,,,Rural disperso,18,15,3,0,0,0,0,0,0,0,0,0,0,5,1,0,3,1,0,5,1,0,2,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5091.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5093.0,,05093 Betulia,TOTAL,64,47,17,0,2,0,0,0,0,0,1,0,0,8,1,0,12,1,0,15,9,0,9,6,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5093.0,,,Cabecera municipal,24,15,9,0,1,0,0,0,0,0,0,0,0,2,0,0,5,1,0,5,5,0,2,3,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5093.0,,,Centro poblado,8,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5093.0,,,Rural disperso,31,23,8,0,0,0,0,0,0,0,1,0,0,4,1,0,6,0,0,7,4,0,5,3,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5093.0,,,Sin información,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5101.0,,05101 Ciudad Bolívar,TOTAL,181,111,70,0,2,0,0,0,0,0,1,0,0,22,6,0,19,8,0,49,33,0,18,22,0,0,1,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5101.0,,,Cabecera municipal,145,83,62,0,2,0,0,0,0,0,0,0,0,16,5,0,13,6,0,36,30,0,16,20,0,0,1,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5101.0,,,Centro poblado,7,4,3,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5101.0,,,Rural disperso,26,22,4,0,0,0,0,0,0,0,1,0,0,4,0,0,4,2,0,12,2,0,1,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5101.0,,,Sin información,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5107.0,,05107 Briceño,TOTAL,32,25,7,0,0,0,0,0,0,0,0,0,0,10,1,0,3,2,0,8,1,0,3,3,0,1,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5107.0,,,Cabecera municipal,16,13,3,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,5,0,0,3,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5107.0,,,Centro poblado,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5107.0,,,Rural disperso,14,10,4,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,3,1,0,0,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5107.0,,,Sin información,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5113.0,,05113 Buriticá,TOTAL,47,38,9,0,1,0,0,0,0,0,0,0,0,17,2,0,3,0,0,11,4,0,5,3,0,1,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5113.0,,,Cabecera municipal,16,14,2,0,1,0,0,0,0,0,0,0,0,7,0,0,1,0,0,3,2,0,2,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
5.0,5113.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro3,cuadro3
