columna,columna_1,"CUADRO 6A - Nacimientos por peso al nacer, según departamento, municipio y área de residencia de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,año,tipo,hoja_origen,cuadro
5.0,5034.0,,,Rural disperso,14,0,0,1,1,5,3,4,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5034.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5036.0,,05036 Ángelópolis,Total,8,0,1,0,0,4,2,1,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5036.0,,,Cabecera municipal,4,0,0,0,0,4,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5036.0,,,Centro poblado,1,0,0,0,0,0,1,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5036.0,,,Rural disperso,3,0,1,0,0,0,1,1,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5036.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5038.0,,05038 Angostura,Total,11,0,0,0,1,4,5,1,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5038.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5038.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5038.0,,,Rural disperso,11,0,0,0,1,4,5,1,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5038.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5040.0,,05040 Anorí,Total,27,0,0,0,1,7,13,6,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5040.0,,,Cabecera municipal,12,0,0,0,0,3,5,4,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5040.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5040.0,,,Rural disperso,15,0,0,0,1,4,8,2,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5040.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5042.0,,05042 Santafé de Antioquia,Total,30,0,0,0,1,9,14,5,1,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5042.0,,,Cabecera municipal,17,0,0,0,0,5,7,4,1,0,2022,nacimientos,Cuadro6A,cuadro6a
