columna,columna_1,"CUADRO 3 - Nacimientos por área y sexo, según departamento y municipio de residencia de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,año,tipo,hoja_origen,cuadro
5.0,5142.0,,05142 Caracolí,6,4,2,0,3,2,0,0,0,0,1,0,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
5.0,5145.0,,05145 Caramanta,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
5.0,5147.0,,05147 Carepa,77,42,35,0,29,26,0,4,4,0,9,5,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
5.0,5148.0,,05148 El Carmen de Viboral,53,25,28,0,15,13,0,0,0,0,10,15,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
5.0,5150.0,,05150 Carolina,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
5.0,5154.0,,05154 Caucasia,146,64,82,0,54,76,0,1,2,0,9,4,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
5.0,5172.0,,05172 Chigorodó,89,50,39,0,44,34,0,1,0,0,5,5,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
5.0,5190.0,,05190 Cisneros,6,3,3,0,3,2,0,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
5.0,5197.0,,05197 Cocorná,19,12,7,0,6,1,0,0,2,0,6,4,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
5.0,5206.0,,05206 Concepción,3,1,2,0,1,0,0,0,0,0,0,2,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
5.0,5209.0,,05209 Concordia,10,3,7,0,0,2,0,0,0,0,3,5,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
5.0,5212.0,,05212 Copacabana,55,30,25,0,25,18,0,0,0,0,5,7,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
5.0,5234.0,,05234 Dabeiba,21,10,11,0,6,7,0,0,0,0,4,4,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
5.0,5237.0,,05237 Don Matías,17,9,8,0,6,3,0,0,0,0,3,5,0,0,0,0,2022,nacimientos,Cuadro3,cuadro3
