columna,columna_1,"CUADRO 13 - Nacimientos por nivel educativo de la madre según departamento, municipio de residencia y grupo de edad de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,año,tipo,hoja_origen
,,"Año Corrido 2022, preliminar - (Nacimientos ocurridos y reportados por la fuente, entre el 1 de enero y el 31 de enero de 2022)",,,,,,,,,,,,,,,,,,2022,nacimientos,Cuadro13
,,Volver al índice,Departamento,,,,Municipio,,,,,,,,,,,,,2022,nacimientos,Cuadro13
,,"Departamento, municipio y grupo de edad de la madre",,,Total,Nivel educativo de la madre,,,,,,,,,,,,,,2022,nacimientos,Cuadro13
,,,,,,Preescolar,Básica primaria,Básica secundaria,Media académica o clásica,Media técnica,Normalista,Técnica profesional,Tecnológica,Profesional,Especialización,Maestría,Doctorado,Ninguno,Sin información,2022,nacimientos,Cuadro13
3.0,3000.0,Total Nacional,,Total,46942,111,5336,10243,16128,1317,60,3992,2159,5112,542,194,9,450,1289,2022,nacimientos,Cuadro13
3.0,3000.0,,,De 10-14 Años,371,3,162,166,9,0,0,0,0,0,0,0,0,8,23,2022,nacimientos,Cuadro13
3.0,3000.0,,,De 15-19 Años,8147,18,1436,3369,2664,155,5,83,30,22,0,0,0,65,300,2022,nacimientos,Cuadro13
3.0,3000.0,,,De 20-24 Años,12932,25,1164,2958,5656,432,24,1073,565,563,4,1,0,96,371,2022,nacimientos,Cuadro13
3.0,3000.0,,,De 25-29 Años,11840,17,895,1995,4156,357,14,1418,784,1695,86,17,0,95,311,2022,nacimientos,Cuadro13
3.0,3000.0,,,De 30-34 Años,8070,25,856,1075,2251,227,11,898,477,1710,208,72,0,80,180,2022,nacimientos,Cuadro13
3.0,3000.0,,,De 35-39 Años,4322,17,584,530,1088,116,5,420,252,889,190,88,7,67,69,2022,nacimientos,Cuadro13
3.0,3000.0,,,De 40-44 Años,1188,5,221,144,281,28,1,94,48,222,53,15,2,39,35,2022,nacimientos,Cuadro13
3.0,3000.0,,,De 45-49 Años,59,1,17,5,17,2,0,6,2,8,1,0,0,0,0,2022,nacimientos,Cuadro13
3.0,3000.0,,,De 50-54 Años,13,0,1,1,6,0,0,0,1,3,0,1,0,0,0,2022,nacimientos,Cuadro13
3.0,3000.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro13
5.0,5000.0,05 Antioquia,Total Dpto,Total,5482,14,552,1166,2020,94,5,552,235,641,40,17,0,45,101,2022,nacimientos,Cuadro13
5.0,5000.0,,,De 10-14 Años,48,0,15,26,2,0,0,0,0,0,0,0,0,3,2,2022,nacimientos,Cuadro13
5.0,5000.0,,,De 15-19 Años,949,1,133,426,333,12,0,5,3,1,0,0,0,8,27,2022,nacimientos,Cuadro13
5.0,5000.0,,,De 20-24 Años,1530,3,126,337,737,27,2,167,51,56,0,0,0,4,20,2022,nacimientos,Cuadro13
5.0,5000.0,,,De 25-29 Años,1339,6,80,204,522,27,2,176,90,183,7,3,0,9,30,2022,nacimientos,Cuadro13
5.0,5000.0,,,De 30-34 Años,976,2,98,100,276,21,0,141,63,224,18,7,0,10,16,2022,nacimientos,Cuadro13
5.0,5000.0,,,De 35-39 Años,500,1,73,57,112,6,1,52,22,147,13,6,0,7,3,2022,nacimientos,Cuadro13
5.0,5000.0,,,De 40-44 Años,130,0,25,15,34,1,0,11,6,28,2,1,0,4,3,2022,nacimientos,Cuadro13
5.0,5000.0,,,De 45-49 Años,8,1,2,1,2,0,0,0,0,2,0,0,0,0,0,2022,nacimientos,Cuadro13
5.0,5000.0,,,De 50-54 Años,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro13
5.0,5000.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro13
5.0,5001.0,,05001 Medellín,Total,1844,2,94,297,722,30,1,250,98,311,14,10,0,5,10,2022,nacimientos,Cuadro13
5.0,5001.0,,,De 10-14 Años,8,0,2,4,2,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro13
