columna,columna_1,"CUADRO 6A - Nacimientos por peso al nacer, según departamento, municipio y área de residencia de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,año,tipo,hoja_origen
,,"Año Corrido 2022, preliminar - (Nacimientos ocurridos y reportados por la fuente, entre el 1 de enero y el 31 de enero de 2022)",,,,,,,,,,,,,2022,nacimientos,Cuadro6A
,,Volver al índice,Departamento,,,,Municipio,,,,,,,,2022,nacimientos,Cuadro6A
,,"Departamento, municipio y área de residencia de la madre",,,Total,Peso en gramos,,,,,,,,,2022,nacimientos,Cuadro6A
,,,,,,Menos de 1.000,1.000 - 1.499,1.500 - 1.999,2.000 - 2.499,2.500 - 2.999,3.000 - 3.499,3.500 - 3.999,4.000 y más,Sin información,2022,nacimientos,Cuadro6A
3.0,3000.0,Total Nacional,,Total,46942,179,355,869,3393,13901,19815,7402,1014,14,2022,nacimientos,Cuadro6A
3.0,3000.0,,,Cabecera municipal,35410,132,263,658,2602,10478,14965,5561,750,1,2022,nacimientos,Cuadro6A
3.0,3000.0,,,Centro poblado,3256,12,20,66,236,927,1392,544,58,1,2022,nacimientos,Cuadro6A
3.0,3000.0,,,Rural disperso,7724,31,67,136,519,2348,3216,1207,188,12,2022,nacimientos,Cuadro6A
3.0,3000.0,,,Sin información,552,4,5,9,36,148,242,90,18,0,2022,nacimientos,Cuadro6A
5.0,5000.0,05 Antioquia,Total Dpto,Total,5482,16,40,98,438,1663,2320,798,109,0,2022,nacimientos,Cuadro6A
5.0,5000.0,,,Cabecera municipal,4097,14,32,62,315,1250,1736,602,86,0,2022,nacimientos,Cuadro6A
5.0,5000.0,,,Centro poblado,391,0,2,11,34,113,163,62,6,0,2022,nacimientos,Cuadro6A
5.0,5000.0,,,Rural disperso,994,2,6,25,89,300,421,134,17,0,2022,nacimientos,Cuadro6A
5.0,5000.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5001.0,,05001 Medellín,Total,1844,6,13,27,149,586,777,256,30,0,2022,nacimientos,Cuadro6A
5.0,5001.0,,,Cabecera municipal,1802,6,13,27,144,572,759,251,30,0,2022,nacimientos,Cuadro6A
5.0,5001.0,,,Centro poblado,18,0,0,0,2,8,5,3,0,0,2022,nacimientos,Cuadro6A
5.0,5001.0,,,Rural disperso,24,0,0,0,3,6,13,2,0,0,2022,nacimientos,Cuadro6A
5.0,5001.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5002.0,,05002 Abejorral,Total,16,0,0,1,0,5,10,0,0,0,2022,nacimientos,Cuadro6A
5.0,5002.0,,,Cabecera municipal,5,0,0,0,0,1,4,0,0,0,2022,nacimientos,Cuadro6A
5.0,5002.0,,,Centro poblado,3,0,0,1,0,1,1,0,0,0,2022,nacimientos,Cuadro6A
5.0,5002.0,,,Rural disperso,8,0,0,0,0,3,5,0,0,0,2022,nacimientos,Cuadro6A
5.0,5002.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5004.0,,05004 Abriaquí,Total,1,0,0,0,0,0,1,0,0,0,2022,nacimientos,Cuadro6A
5.0,5004.0,,,Cabecera municipal,1,0,0,0,0,0,1,0,0,0,2022,nacimientos,Cuadro6A
5.0,5004.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5004.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5004.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5021.0,,05021 Alejandría,Total,2,0,0,0,0,0,0,2,0,0,2022,nacimientos,Cuadro6A
5.0,5021.0,,,Cabecera municipal,2,0,0,0,0,0,0,2,0,0,2022,nacimientos,Cuadro6A
5.0,5021.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5021.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5021.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5030.0,,05030 Amagá,Total,22,0,0,0,0,6,11,4,1,0,2022,nacimientos,Cuadro6A
5.0,5030.0,,,Cabecera municipal,8,0,0,0,0,3,2,2,1,0,2022,nacimientos,Cuadro6A
5.0,5030.0,,,Centro poblado,3,0,0,0,0,0,2,1,0,0,2022,nacimientos,Cuadro6A
5.0,5030.0,,,Rural disperso,11,0,0,0,0,3,7,1,0,0,2022,nacimientos,Cuadro6A
5.0,5030.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5031.0,,05031 Amalfi,Total,28,0,1,2,2,7,12,4,0,0,2022,nacimientos,Cuadro6A
5.0,5031.0,,,Cabecera municipal,14,0,1,0,1,3,7,2,0,0,2022,nacimientos,Cuadro6A
5.0,5031.0,,,Centro poblado,2,0,0,1,0,0,1,0,0,0,2022,nacimientos,Cuadro6A
5.0,5031.0,,,Rural disperso,12,0,0,1,1,4,4,2,0,0,2022,nacimientos,Cuadro6A
5.0,5031.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5034.0,,05034 Andes,Total,30,0,1,1,1,9,13,5,0,0,2022,nacimientos,Cuadro6A
5.0,5034.0,,,Cabecera municipal,10,0,1,0,0,3,6,0,0,0,2022,nacimientos,Cuadro6A
5.0,5034.0,,,Centro poblado,6,0,0,0,0,1,4,1,0,0,2022,nacimientos,Cuadro6A
5.0,5034.0,,,Rural disperso,14,0,0,1,1,5,3,4,0,0,2022,nacimientos,Cuadro6A
5.0,5034.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5036.0,,05036 Ángelópolis,Total,8,0,1,0,0,4,2,1,0,0,2022,nacimientos,Cuadro6A
5.0,5036.0,,,Cabecera municipal,4,0,0,0,0,4,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5036.0,,,Centro poblado,1,0,0,0,0,0,1,0,0,0,2022,nacimientos,Cuadro6A
5.0,5036.0,,,Rural disperso,3,0,1,0,0,0,1,1,0,0,2022,nacimientos,Cuadro6A
5.0,5036.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5038.0,,05038 Angostura,Total,11,0,0,0,1,4,5,1,0,0,2022,nacimientos,Cuadro6A
5.0,5038.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5038.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5038.0,,,Rural disperso,11,0,0,0,1,4,5,1,0,0,2022,nacimientos,Cuadro6A
5.0,5038.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5040.0,,05040 Anorí,Total,27,0,0,0,1,7,13,6,0,0,2022,nacimientos,Cuadro6A
5.0,5040.0,,,Cabecera municipal,12,0,0,0,0,3,5,4,0,0,2022,nacimientos,Cuadro6A
5.0,5040.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5040.0,,,Rural disperso,15,0,0,0,1,4,8,2,0,0,2022,nacimientos,Cuadro6A
5.0,5040.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5042.0,,05042 Santafé de Antioquia,Total,30,0,0,0,1,9,14,5,1,0,2022,nacimientos,Cuadro6A
5.0,5042.0,,,Cabecera municipal,17,0,0,0,0,5,7,4,1,0,2022,nacimientos,Cuadro6A
5.0,5042.0,,,Centro poblado,1,0,0,0,0,0,1,0,0,0,2022,nacimientos,Cuadro6A
5.0,5042.0,,,Rural disperso,12,0,0,0,1,4,6,1,0,0,2022,nacimientos,Cuadro6A
5.0,5042.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5044.0,,05044 Anzá,Total,8,0,0,0,1,4,3,0,0,0,2022,nacimientos,Cuadro6A
5.0,5044.0,,,Cabecera municipal,2,0,0,0,1,0,1,0,0,0,2022,nacimientos,Cuadro6A
5.0,5044.0,,,Centro poblado,2,0,0,0,0,2,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5044.0,,,Rural disperso,4,0,0,0,0,2,2,0,0,0,2022,nacimientos,Cuadro6A
5.0,5044.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5045.0,,05045 Apartadó,Total,139,0,2,0,12,32,59,29,5,0,2022,nacimientos,Cuadro6A
5.0,5045.0,,,Cabecera municipal,105,0,2,0,8,25,42,23,5,0,2022,nacimientos,Cuadro6A
5.0,5045.0,,,Centro poblado,23,0,0,0,3,6,11,3,0,0,2022,nacimientos,Cuadro6A
5.0,5045.0,,,Rural disperso,11,0,0,0,1,1,6,3,0,0,2022,nacimientos,Cuadro6A
5.0,5045.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5051.0,,05051 Arboletes,Total,43,0,0,1,2,10,18,11,1,0,2022,nacimientos,Cuadro6A
5.0,5051.0,,,Cabecera municipal,20,0,0,1,1,6,6,5,1,0,2022,nacimientos,Cuadro6A
5.0,5051.0,,,Centro poblado,2,0,0,0,0,0,1,1,0,0,2022,nacimientos,Cuadro6A
5.0,5051.0,,,Rural disperso,21,0,0,0,1,4,11,5,0,0,2022,nacimientos,Cuadro6A
5.0,5051.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5055.0,,05055 Argelia,Total,5,0,0,0,0,2,1,2,0,0,2022,nacimientos,Cuadro6A
5.0,5055.0,,,Cabecera municipal,3,0,0,0,0,1,1,1,0,0,2022,nacimientos,Cuadro6A
5.0,5055.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5055.0,,,Rural disperso,2,0,0,0,0,1,0,1,0,0,2022,nacimientos,Cuadro6A
5.0,5055.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5059.0,,05059 Armenia,Total,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5059.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5059.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5059.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5059.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5079.0,,05079 Barbosa,Total,29,0,0,2,3,8,7,9,0,0,2022,nacimientos,Cuadro6A
5.0,5079.0,,,Cabecera municipal,13,0,0,1,1,4,4,3,0,0,2022,nacimientos,Cuadro6A
5.0,5079.0,,,Centro poblado,3,0,0,1,0,2,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5079.0,,,Rural disperso,13,0,0,0,2,2,3,6,0,0,2022,nacimientos,Cuadro6A
5.0,5079.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5086.0,,05086 Belmira,Total,6,0,0,0,2,1,3,0,0,0,2022,nacimientos,Cuadro6A
5.0,5086.0,,,Cabecera municipal,3,0,0,0,1,1,1,0,0,0,2022,nacimientos,Cuadro6A
5.0,5086.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5086.0,,,Rural disperso,3,0,0,0,1,0,2,0,0,0,2022,nacimientos,Cuadro6A
5.0,5086.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5088.0,,05088 Bello,Total,376,1,4,9,27,117,162,49,7,0,2022,nacimientos,Cuadro6A
5.0,5088.0,,,Cabecera municipal,361,1,4,6,26,112,157,48,7,0,2022,nacimientos,Cuadro6A
5.0,5088.0,,,Centro poblado,7,0,0,1,1,0,4,1,0,0,2022,nacimientos,Cuadro6A
5.0,5088.0,,,Rural disperso,8,0,0,2,0,5,1,0,0,0,2022,nacimientos,Cuadro6A
5.0,5088.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5091.0,,05091 Betania,Total,8,0,0,0,0,2,5,1,0,0,2022,nacimientos,Cuadro6A
5.0,5091.0,,,Cabecera municipal,4,0,0,0,0,1,2,1,0,0,2022,nacimientos,Cuadro6A
5.0,5091.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5091.0,,,Rural disperso,4,0,0,0,0,1,3,0,0,0,2022,nacimientos,Cuadro6A
5.0,5091.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5093.0,,05093 Betulia,Total,18,0,0,0,4,8,6,0,0,0,2022,nacimientos,Cuadro6A
5.0,5093.0,,,Cabecera municipal,2,0,0,0,0,2,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5093.0,,,Centro poblado,1,0,0,0,0,0,1,0,0,0,2022,nacimientos,Cuadro6A
5.0,5093.0,,,Rural disperso,15,0,0,0,4,6,5,0,0,0,2022,nacimientos,Cuadro6A
5.0,5093.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5101.0,,05101 Ciudad Bolívar,Total,19,0,0,0,1,7,9,2,0,0,2022,nacimientos,Cuadro6A
5.0,5101.0,,,Cabecera municipal,11,0,0,0,1,3,7,0,0,0,2022,nacimientos,Cuadro6A
5.0,5101.0,,,Centro poblado,1,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5101.0,,,Rural disperso,7,0,0,0,0,3,2,2,0,0,2022,nacimientos,Cuadro6A
5.0,5101.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5107.0,,05107 Briceño,Total,5,0,0,1,0,2,1,1,0,0,2022,nacimientos,Cuadro6A
5.0,5107.0,,,Cabecera municipal,1,0,0,0,0,0,1,0,0,0,2022,nacimientos,Cuadro6A
5.0,5107.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5107.0,,,Rural disperso,4,0,0,1,0,2,0,1,0,0,2022,nacimientos,Cuadro6A
5.0,5107.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5113.0,,05113 Buriticá,Total,6,0,0,0,0,2,3,0,1,0,2022,nacimientos,Cuadro6A
5.0,5113.0,,,Cabecera municipal,3,0,0,0,0,1,1,0,1,0,2022,nacimientos,Cuadro6A
5.0,5113.0,,,Centro poblado,1,0,0,0,0,0,1,0,0,0,2022,nacimientos,Cuadro6A
5.0,5113.0,,,Rural disperso,2,0,0,0,0,1,1,0,0,0,2022,nacimientos,Cuadro6A
5.0,5113.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5120.0,,05120 Cáceres,Total,21,0,0,0,2,7,9,3,0,0,2022,nacimientos,Cuadro6A
5.0,5120.0,,,Cabecera municipal,11,0,0,0,0,3,6,2,0,0,2022,nacimientos,Cuadro6A
5.0,5120.0,,,Centro poblado,1,0,0,0,1,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5120.0,,,Rural disperso,9,0,0,0,1,4,3,1,0,0,2022,nacimientos,Cuadro6A
5.0,5120.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5125.0,,05125 Caicedo,Total,3,0,0,0,1,1,0,1,0,0,2022,nacimientos,Cuadro6A
5.0,5125.0,,,Cabecera municipal,1,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5125.0,,,Centro poblado,1,0,0,0,0,0,0,1,0,0,2022,nacimientos,Cuadro6A
5.0,5125.0,,,Rural disperso,1,0,0,0,1,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5125.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5129.0,,05129 Caldas,Total,58,0,0,0,4,18,27,7,2,0,2022,nacimientos,Cuadro6A
5.0,5129.0,,,Cabecera municipal,47,0,0,0,3,15,23,5,1,0,2022,nacimientos,Cuadro6A
5.0,5129.0,,,Centro poblado,3,0,0,0,0,1,2,0,0,0,2022,nacimientos,Cuadro6A
5.0,5129.0,,,Rural disperso,8,0,0,0,1,2,2,2,1,0,2022,nacimientos,Cuadro6A
5.0,5129.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5134.0,,05134 Campamento,Total,9,1,0,1,0,2,2,3,0,0,2022,nacimientos,Cuadro6A
5.0,5134.0,,,Cabecera municipal,1,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5134.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5134.0,,,Rural disperso,8,1,0,1,0,1,2,3,0,0,2022,nacimientos,Cuadro6A
5.0,5134.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5138.0,,05138 Cañasgordas,Total,12,0,0,0,0,4,6,1,1,0,2022,nacimientos,Cuadro6A
5.0,5138.0,,,Cabecera municipal,7,0,0,0,0,1,4,1,1,0,2022,nacimientos,Cuadro6A
5.0,5138.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5138.0,,,Rural disperso,5,0,0,0,0,3,2,0,0,0,2022,nacimientos,Cuadro6A
5.0,5138.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5142.0,,05142 Caracolí,Total,6,0,0,0,1,3,2,0,0,0,2022,nacimientos,Cuadro6A
5.0,5142.0,,,Cabecera municipal,5,0,0,0,0,3,2,0,0,0,2022,nacimientos,Cuadro6A
5.0,5142.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5142.0,,,Rural disperso,1,0,0,0,1,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5142.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5145.0,,05145 Caramanta,Total,1,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5145.0,,,Cabecera municipal,1,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5145.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5145.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5145.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5147.0,,05147 Carepa,Total,77,0,1,2,9,19,32,12,2,0,2022,nacimientos,Cuadro6A
5.0,5147.0,,,Cabecera municipal,55,0,1,2,6,15,19,10,2,0,2022,nacimientos,Cuadro6A
5.0,5147.0,,,Centro poblado,8,0,0,0,2,2,3,1,0,0,2022,nacimientos,Cuadro6A
5.0,5147.0,,,Rural disperso,14,0,0,0,1,2,10,1,0,0,2022,nacimientos,Cuadro6A
5.0,5147.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5148.0,,05148 El Carmen de Viboral,Total,53,0,0,0,5,21,23,4,0,0,2022,nacimientos,Cuadro6A
5.0,5148.0,,,Cabecera municipal,28,0,0,0,3,9,14,2,0,0,2022,nacimientos,Cuadro6A
5.0,5148.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5148.0,,,Rural disperso,25,0,0,0,2,12,9,2,0,0,2022,nacimientos,Cuadro6A
5.0,5148.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5150.0,,05150 Carolina,Total,1,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5150.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5150.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5150.0,,,Rural disperso,1,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5150.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5154.0,,05154 Caucasia,Total,146,0,0,5,7,43,57,30,4,0,2022,nacimientos,Cuadro6A
5.0,5154.0,,,Cabecera municipal,130,0,0,4,7,40,49,26,4,0,2022,nacimientos,Cuadro6A
5.0,5154.0,,,Centro poblado,3,0,0,0,0,0,3,0,0,0,2022,nacimientos,Cuadro6A
5.0,5154.0,,,Rural disperso,13,0,0,1,0,3,5,4,0,0,2022,nacimientos,Cuadro6A
5.0,5154.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5172.0,,05172 Chigorodó,Total,89,1,2,2,4,25,41,11,3,0,2022,nacimientos,Cuadro6A
5.0,5172.0,,,Cabecera municipal,78,1,1,2,4,20,37,10,3,0,2022,nacimientos,Cuadro6A
5.0,5172.0,,,Centro poblado,1,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5172.0,,,Rural disperso,10,0,1,0,0,4,4,1,0,0,2022,nacimientos,Cuadro6A
5.0,5172.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5190.0,,05190 Cisneros,Total,6,0,1,0,0,1,2,1,1,0,2022,nacimientos,Cuadro6A
5.0,5190.0,,,Cabecera municipal,5,0,1,0,0,0,2,1,1,0,2022,nacimientos,Cuadro6A
5.0,5190.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5190.0,,,Rural disperso,1,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5190.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5197.0,,05197 Cocorná,Total,19,0,0,0,3,6,8,2,0,0,2022,nacimientos,Cuadro6A
5.0,5197.0,,,Cabecera municipal,7,0,0,0,2,3,2,0,0,0,2022,nacimientos,Cuadro6A
5.0,5197.0,,,Centro poblado,2,0,0,0,1,0,1,0,0,0,2022,nacimientos,Cuadro6A
5.0,5197.0,,,Rural disperso,10,0,0,0,0,3,5,2,0,0,2022,nacimientos,Cuadro6A
5.0,5197.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5206.0,,05206 Concepción,Total,3,0,0,0,0,2,1,0,0,0,2022,nacimientos,Cuadro6A
5.0,5206.0,,,Cabecera municipal,1,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5206.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5206.0,,,Rural disperso,2,0,0,0,0,1,1,0,0,0,2022,nacimientos,Cuadro6A
5.0,5206.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5209.0,,05209 Concordia,Total,10,0,0,0,0,3,4,3,0,0,2022,nacimientos,Cuadro6A
5.0,5209.0,,,Cabecera municipal,2,0,0,0,0,1,1,0,0,0,2022,nacimientos,Cuadro6A
5.0,5209.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5209.0,,,Rural disperso,8,0,0,0,0,2,3,3,0,0,2022,nacimientos,Cuadro6A
5.0,5209.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5212.0,,05212 Copacabana,Total,55,0,1,2,1,14,25,10,2,0,2022,nacimientos,Cuadro6A
5.0,5212.0,,,Cabecera municipal,43,0,0,2,1,14,15,9,2,0,2022,nacimientos,Cuadro6A
5.0,5212.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5212.0,,,Rural disperso,12,0,1,0,0,0,10,1,0,0,2022,nacimientos,Cuadro6A
5.0,5212.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
5.0,5234.0,,05234 Dabeiba,Total,21,0,0,0,2,7,8,4,0,0,2022,nacimientos,Cuadro6A
5.0,5234.0,,,Cabecera municipal,13,0,0,0,1,4,6,2,0,0,2022,nacimientos,Cuadro6A
5.0,5234.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A
