columna,columna_1,"CUADRO 13 - Nacimientos por nivel educativo de la madre según departamento, municipio de residencia y grupo de edad de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,año,tipo,hoja_origen
,,"Año corrido 2024, preliminar - (Nacimientos ocurridos y reportados por la fuente entre el 1 y el 31 de enero de 2024)",,,,,,,,,,,,,,,,,,2024,nacimientos,Cuadro13
,,Volver al índice,Departamento,,,,Municipio,,,,,,,,,,,,,2024,nacimientos,Cuadro13
,,"Departamento, municipio de residencia y grupo de edad de la madre",,,Total,Nivel educativo de la madre,,,,,,,,,,,,,,2024,nacimientos,Cuadro13
,,,,,,Preescolar,Básica primaria,Básica secundaria,Media académica o clásica,Media técnica,Normalista,Técnica profesional,Tecnológica,Profesional,Especialización,Maestría,Doctorado,Ninguno,Sin información,2024,nacimientos,Cuadro13
3.0,3000.0,Total Nacional,,Total,37740,34,3535,7746,12910,802,31,3551,2162,4902,620,211,6,330,900,2024,nacimientos,Cuadro13
3.0,3000.0,,,De 10-14 Años,253,0,92,133,8,0,0,0,0,0,0,0,0,4,16,2024,nacimientos,Cuadro13
3.0,3000.0,,,De 15-19 Años,5415,4,812,2259,1876,102,4,76,49,22,0,0,0,51,160,2024,nacimientos,Cuadro13
3.0,3000.0,,,De 20-24 Años,10134,6,837,2346,4412,271,10,928,471,489,7,1,0,84,272,2024,nacimientos,Cuadro13
3.0,3000.0,,,De 25-29 Años,9853,5,656,1564,3386,221,6,1235,801,1583,109,16,1,57,213,2024,nacimientos,Cuadro13
3.0,3000.0,,,De 30-34 Años,7193,8,507,866,2063,132,7,850,561,1677,262,69,1,56,134,2024,nacimientos,Cuadro13
3.0,3000.0,,,De 35-39 Años,3737,5,435,434,917,54,4,346,228,903,183,100,3,50,75,2024,nacimientos,Cuadro13
3.0,3000.0,,,De 40-44 Años,1079,6,177,132,235,21,0,112,50,216,56,23,1,22,28,2024,nacimientos,Cuadro13
3.0,3000.0,,,De 45-49 Años,74,0,19,12,13,1,0,4,2,10,3,2,0,6,2,2024,nacimientos,Cuadro13
3.0,3000.0,,,De 50-54 Años,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2024,nacimientos,Cuadro13
3.0,3000.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro13
5.0,5000.0,05 Antioquia,Total Dpto,Total,4500,2,330,911,1604,109,7,547,218,601,48,24,0,19,80,2024,nacimientos,Cuadro13
5.0,5000.0,,,De 10-14 Años,27,0,10,17,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro13
5.0,5000.0,,,De 15-19 Años,610,0,68,285,208,10,1,8,2,3,0,0,0,3,22,2024,nacimientos,Cuadro13
5.0,5000.0,,,De 20-24 Años,1263,0,83,302,574,36,1,150,47,43,1,1,0,4,21,2024,nacimientos,Cuadro13
5.0,5000.0,,,De 25-29 Años,1152,0,58,150,435,28,2,187,88,163,7,7,0,3,24,2024,nacimientos,Cuadro13
5.0,5000.0,,,De 30-34 Años,862,1,50,100,241,23,1,135,55,220,20,5,0,4,7,2024,nacimientos,Cuadro13
5.0,5000.0,,,De 35-39 Años,435,1,38,35,111,7,2,45,22,139,18,9,0,3,5,2024,nacimientos,Cuadro13
5.0,5000.0,,,De 40-44 Años,140,0,21,19,35,5,0,21,4,30,1,1,0,2,1,2024,nacimientos,Cuadro13
5.0,5000.0,,,De 45-49 Años,11,0,2,3,0,0,0,1,0,3,1,1,0,0,0,2024,nacimientos,Cuadro13
5.0,5000.0,,,De 50-54 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro13
5.0,5000.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro13
5.0,5001.0,,05001 Medellín,Total,1519,0,54,220,530,43,0,242,87,293,23,15,0,2,10,2024,nacimientos,Cuadro13
5.0,5001.0,,,De 10-14 Años,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro13
5.0,5001.0,,,De 15-19 Años,152,0,17,64,59,4,0,3,1,2,0,0,0,1,1,2024,nacimientos,Cuadro13
5.0,5001.0,,,De 20-24 Años,412,0,15,76,192,11,0,79,15,20,1,1,0,1,1,2024,nacimientos,Cuadro13
5.0,5001.0,,,De 25-29 Años,400,0,7,40,143,13,0,78,36,70,2,5,0,0,6,2024,nacimientos,Cuadro13
5.0,5001.0,,,De 30-34 Años,317,0,9,19,84,9,0,56,22,107,9,2,0,0,0,2024,nacimientos,Cuadro13
5.0,5001.0,,,De 35-39 Años,181,0,3,11,38,2,0,20,12,77,10,7,0,0,1,2024,nacimientos,Cuadro13
5.0,5001.0,,,De 40-44 Años,48,0,2,5,14,4,0,5,1,15,1,0,0,0,1,2024,nacimientos,Cuadro13
5.0,5001.0,,,De 45-49 Años,4,0,0,1,0,0,0,1,0,2,0,0,0,0,0,2024,nacimientos,Cuadro13
5.0,5001.0,,,De 50-54 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro13
