columna,columna_1,"CUADRO 6A - Nacimientos por peso al nacer, según departamento, municipio y área de residencia de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,año,tipo,hoja_origen
,,"Año corrido 2024, preliminar - (Nacimientos ocurridos y reportados por la fuente entre el 1 y el 31 de enero de 2024)",,,,,,,,,,,,,2024,nacimientos,Cuadro6A
,,Volver al índice,Departamento,,,,Municipio,,,,,,,,2024,nacimientos,Cuadro6A
,,"Departamento, municipio y área de residencia de la madre",,,Total,Peso en gramos,,,,,,,,,2024,nacimientos,Cuadro6A
,,,,,,Menos de 1.000,1.000 - 1.499,1.500 - 1.999,2.000 - 2.499,2.500 - 2.999,3.000 - 3.499,3.500 - 3.999,4.000 y más,Sin información,2024,nacimientos,Cuadro6A
3.0,3000.0,Total Nacional,,Total,37740,146,272,746,2978,11585,15668,5619,696,30,2024,nacimientos,Cuadro6A
3.0,3000.0,,,Cabecera municipal,28041,115,206,550,2271,8523,11648,4199,525,4,2024,nacimientos,Cuadro6A
3.0,3000.0,,,Centro poblado,2429,4,14,37,172,739,1028,392,42,1,2024,nacimientos,Cuadro6A
3.0,3000.0,,,Rural disperso,7054,26,52,154,519,2253,2909,990,126,25,2024,nacimientos,Cuadro6A
3.0,3000.0,,,Sin información,216,1,0,5,16,70,83,38,3,0,2024,nacimientos,Cuadro6A
5.0,5000.0,05 Antioquia,Total Dpto,Total,4500,14,30,91,380,1445,1875,601,63,1,2024,nacimientos,Cuadro6A
5.0,5000.0,,,Cabecera municipal,3207,11,20,65,284,1039,1317,420,50,1,2024,nacimientos,Cuadro6A
5.0,5000.0,,,Centro poblado,256,0,4,3,16,75,111,44,3,0,2024,nacimientos,Cuadro6A
5.0,5000.0,,,Rural disperso,1037,3,6,23,80,331,447,137,10,0,2024,nacimientos,Cuadro6A
5.0,5000.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro6A
5.0,5001.0,,05001 Medellín,Total,1519,6,13,37,151,482,616,193,21,0,2024,nacimientos,Cuadro6A
5.0,5001.0,,,Cabecera municipal,1475,6,13,36,147,468,599,185,21,0,2024,nacimientos,Cuadro6A
5.0,5001.0,,,Centro poblado,13,0,0,0,0,3,4,6,0,0,2024,nacimientos,Cuadro6A
5.0,5001.0,,,Rural disperso,31,0,0,1,4,11,13,2,0,0,2024,nacimientos,Cuadro6A
5.0,5001.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro6A
5.0,5002.0,,05002 Abejorral,Total,7,0,0,0,0,1,4,2,0,0,2024,nacimientos,Cuadro6A
5.0,5002.0,,,Cabecera municipal,3,0,0,0,0,0,2,1,0,0,2024,nacimientos,Cuadro6A
5.0,5002.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro6A
5.0,5002.0,,,Rural disperso,4,0,0,0,0,1,2,1,0,0,2024,nacimientos,Cuadro6A
5.0,5002.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro6A
5.0,5004.0,,05004 Abriaquí,Total,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro6A
5.0,5004.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro6A
5.0,5004.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro6A
5.0,5004.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro6A
5.0,5004.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro6A
5.0,5021.0,,05021 Alejandría,Total,3,0,0,0,1,2,0,0,0,0,2024,nacimientos,Cuadro6A
5.0,5021.0,,,Cabecera municipal,2,0,0,0,1,1,0,0,0,0,2024,nacimientos,Cuadro6A
5.0,5021.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro6A
5.0,5021.0,,,Rural disperso,1,0,0,0,0,1,0,0,0,0,2024,nacimientos,Cuadro6A
5.0,5021.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro6A
5.0,5030.0,,05030 Amagá,Total,15,0,0,0,1,3,7,4,0,0,2024,nacimientos,Cuadro6A
5.0,5030.0,,,Cabecera municipal,4,0,0,0,1,1,2,0,0,0,2024,nacimientos,Cuadro6A
5.0,5030.0,,,Centro poblado,1,0,0,0,0,0,1,0,0,0,2024,nacimientos,Cuadro6A
5.0,5030.0,,,Rural disperso,10,0,0,0,0,2,4,4,0,0,2024,nacimientos,Cuadro6A
5.0,5030.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro6A
5.0,5031.0,,05031 Amalfi,Total,14,0,0,3,1,3,4,3,0,0,2024,nacimientos,Cuadro6A
