columna,"CUADRO 11 - Nacimientos por área y sexo, según departamento de residencia de la madre y pertenencia étnico-racial del nacido vivo",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,año,tipo,hoja_origen
,"Año corrido 2024, preliminar - (Nacimientos ocurridos y reportados por la fuente entre el 1 y el 31 de enero de 2024)",,,,,,,,,,,,,,,,,,2024,nacimientos,Cuadro11
,Volver al índice,,,Departamento,,,,,,,,,,,,,,,2024,nacimientos,Cuadro11
,Departamento de residencia de la madre y pertenencia étnico-racial del nacido vivo,,Total,Total,,,Área de residencia de la madre,,,,,,,,,,,,2024,nacimientos,Cuadro11
,,,,,,,Cabecera municipal,,,Centro poblado,,,Rural disperso,,,Sin información,,,2024,nacimientos,Cuadro11
,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2024,nacimientos,Cuadro11
3.0,Total Nacional,Total,37740,19316,18421,3,14369,13669,3,1254,1175,0,3579,3475,0,114,102,0,2024,nacimientos,Cuadro11
3.0,,Indígena,1900,970,930,0,211,202,0,93,92,0,632,610,0,34,26,0,2024,nacimientos,Cuadro11
3.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro11
3.0,,Raizal del archipiélago de San Andrés y Providencia,23,12,11,0,6,4,0,5,3,0,1,4,0,0,0,0,2024,nacimientos,Cuadro11
3.0,,Palenquero de San Basilio,3,1,2,0,1,1,0,0,0,0,0,1,0,0,0,0,2024,nacimientos,Cuadro11
3.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",1366,667,699,0,498,510,0,60,66,0,108,123,0,1,0,0,2024,nacimientos,Cuadro11
3.0,,Ninguno de las anteriores,34448,17666,16779,3,13653,12952,3,1096,1014,0,2838,2737,0,79,76,0,2024,nacimientos,Cuadro11
3.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro11
5.0,05 Antioquia,Total,4500,2327,2173,0,1658,1549,0,132,124,0,537,500,0,0,0,0,2024,nacimientos,Cuadro11
5.0,,Indígena,18,8,10,0,2,2,0,1,0,0,5,8,0,0,0,0,2024,nacimientos,Cuadro11
5.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro11
5.0,,Raizal del archipiélago de San Andrés y Providencia,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2024,nacimientos,Cuadro11
5.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro11
5.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",122,56,66,0,40,48,0,6,5,0,10,13,0,0,0,0,2024,nacimientos,Cuadro11
5.0,,Ninguno de las anteriores,4359,2263,2096,0,1616,1499,0,125,118,0,522,479,0,0,0,0,2024,nacimientos,Cuadro11
5.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro11
8.0,08 Atlántico,Total,2175,1106,1069,0,1072,1039,0,27,24,0,7,6,0,0,0,0,2024,nacimientos,Cuadro11
8.0,,Indígena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro11
8.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro11
8.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro11
8.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro11
8.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",21,15,6,0,12,6,0,3,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro11
8.0,,Ninguno de las anteriores,2154,1091,1063,0,1060,1033,0,24,24,0,7,6,0,0,0,0,2024,nacimientos,Cuadro11
8.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro11
11.0,11 Bogotá,Total,4694,2420,2274,0,2417,2273,0,1,1,0,2,0,0,0,0,0,2024,nacimientos,Cuadro11
11.0,,Indígena,9,4,5,0,4,5,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro11
11.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro11
11.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro11
11.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro11
11.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",26,14,12,0,14,12,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro11
11.0,,Ninguno de las anteriores,4659,2402,2257,0,2399,2256,0,1,1,0,2,0,0,0,0,0,2024,nacimientos,Cuadro11
11.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro11
13.0,13 Bolívar,Total,2032,1063,968,1,818,800,1,163,105,0,82,63,0,0,0,0,2024,nacimientos,Cuadro11
13.0,,Indígena,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro11
13.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro11
13.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro11
13.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro11
