columna,columna_1,"CUADRO 3 - Nacimientos por área y sexo, según departamento y municipio de residencia de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,año,tipo,hoja_origen
,,"Año corrido 2024, preliminar - (Nacimientos ocurridos y reportados por la fuente entre el 1 y el 31 de enero de 2024)",,,,,,,,,,,,,,,,,,2024,nacimientos,Cuadro3
,,Volver al índice,,Departamento,,,,Municipio,,,,,,,,,,,,2024,nacimientos,Cuadro3
,,Departamento y municipio de residencia de la madre,,Total,Total,,,Cabecera municipal,,,Centro poblado,,,Rural disperso,,,Sin información,,,2024,nacimientos,Cuadro3
,,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2024,nacimientos,Cuadro3
3.0,3000.0,Total Nacional,,37740,19316,18421,3,14369,13669,3,1254,1175,0,3579,3475,0,114,102,0,2024,nacimientos,Cuadro3
5.0,5000.0,05 Antioquia,Total,4500,2327,2173,0,1658,1549,0,132,124,0,537,500,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5001.0,,05001 Medellín,1519,810,709,0,787,688,0,7,6,0,16,15,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5002.0,,05002 Abejorral,7,6,1,0,3,0,0,0,0,0,3,1,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5004.0,,05004 Abriaquí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5021.0,,05021 Alejandría,3,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5030.0,,05030 Amagá,15,9,6,0,1,3,0,1,0,0,7,3,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5031.0,,05031 Amalfi,14,7,7,0,4,5,0,0,0,0,3,2,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5034.0,,05034 Andes,22,9,13,0,4,2,0,3,2,0,2,9,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5036.0,,05036 Angelópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5038.0,,05038 Angostura,6,5,1,0,2,0,0,0,0,0,3,1,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5040.0,,05040 Anorí,19,10,9,0,5,2,0,0,0,0,5,7,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5042.0,,05042 Santa Fé de Antioquia,21,8,13,0,6,9,0,0,1,0,2,3,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5044.0,,05044 Anzá,7,4,3,0,0,0,0,1,0,0,3,3,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5045.0,,05045 Apartadó,103,56,47,0,43,34,0,7,7,0,6,6,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5051.0,,05051 Arboletes,26,16,10,0,7,3,0,1,4,0,8,3,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5055.0,,05055 Argelia,4,3,1,0,2,0,0,0,1,0,1,0,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5059.0,,05059 Armenia,3,1,2,0,0,0,0,0,1,0,1,1,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5079.0,,05079 Barbosa,28,15,13,0,7,6,0,0,0,0,8,7,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5086.0,,05086 Belmira,8,5,3,0,2,1,0,0,0,0,3,2,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5088.0,,05088 Bello,317,156,161,0,151,154,0,1,1,0,4,6,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5091.0,,05091 Betania,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5093.0,,05093 Betulia,11,9,2,0,2,0,0,2,0,0,5,2,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5101.0,,05101 Ciudad Bolívar,18,10,8,0,9,6,0,0,1,0,1,1,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5107.0,,05107 Briceño,6,2,4,0,1,3,0,0,0,0,1,1,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5113.0,,05113 Buriticá,9,2,7,0,0,5,0,0,0,0,2,2,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5120.0,,05120 Cáceres,32,16,16,0,8,5,0,4,7,0,4,4,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5125.0,,05125 Caicedo,9,6,3,0,3,0,0,0,0,0,3,3,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5129.0,,05129 Caldas,43,22,21,0,14,13,0,3,1,0,5,7,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5134.0,,05134 Campamento,5,3,2,0,1,0,0,0,0,0,2,2,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5138.0,,05138 Cañasgordas,12,8,4,0,2,1,0,1,0,0,5,3,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5142.0,,05142 Caracolí,3,2,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5145.0,,05145 Caramanta,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5147.0,,05147 Carepa,61,33,28,0,26,19,0,2,1,0,5,8,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5148.0,,05148 El Carmen de Viboral,50,22,28,0,13,9,0,0,1,0,9,18,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5150.0,,05150 Carolina,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5154.0,,05154 Caucasia,109,55,54,0,46,50,0,5,0,0,4,4,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5172.0,,05172 Chigorodó,64,33,31,0,25,22,0,1,1,0,7,8,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5190.0,,05190 Cisneros,8,6,2,0,4,2,0,0,0,0,2,0,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5197.0,,05197 Cocorná,13,12,1,0,6,1,0,0,0,0,6,0,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5206.0,,05206 Concepción,3,1,2,0,0,2,0,0,0,0,1,0,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5209.0,,05209 Concordia,18,5,13,0,1,5,0,0,0,0,4,8,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5212.0,,05212 Copacabana,46,26,20,0,19,14,0,0,0,0,7,6,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5234.0,,05234 Dabeiba,20,9,11,0,5,5,0,0,0,0,4,6,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5237.0,,05237 Donmatías,8,4,4,0,1,2,0,0,0,0,3,2,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5240.0,,05240 Ebéjico,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5250.0,,05250 El Bagre,72,32,40,0,15,25,0,8,6,0,9,9,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5264.0,,05264 Entrerríos,6,2,4,0,0,2,0,0,0,0,2,2,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5266.0,,05266 Envigado,90,36,54,0,36,49,0,0,1,0,0,4,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5282.0,,05282 Fredonia,10,3,7,0,2,2,0,0,0,0,1,5,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5284.0,,05284 Frontino,16,6,10,0,2,3,0,0,0,0,4,7,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5306.0,,05306 Giraldo,8,3,5,0,0,2,0,1,1,0,2,2,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5308.0,,05308 Girardota,23,10,13,0,3,1,0,0,0,0,7,12,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5310.0,,05310 Gómez Plata,4,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5313.0,,05313 Granada,4,2,2,0,1,0,0,0,0,0,1,2,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5315.0,,05315 Guadalupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5318.0,,05318 Guarne,31,14,17,0,1,6,0,0,0,0,13,11,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5321.0,,05321 Guatapé,7,3,4,0,2,4,0,0,0,0,1,0,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5347.0,,05347 Heliconia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5353.0,,05353 Hispania,4,3,1,0,1,1,0,0,0,0,2,0,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5360.0,,05360 Itagüí,189,86,103,0,68,79,0,7,12,0,11,12,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5361.0,,05361 Ituango,10,7,3,0,0,0,0,1,1,0,6,2,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5364.0,,05364 Jardín,7,5,2,0,1,1,0,1,0,0,3,1,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5368.0,,05368 Jericó,5,3,2,0,1,1,0,1,0,0,1,1,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5376.0,,05376 La Ceja,39,23,16,0,18,14,0,0,0,0,5,2,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5380.0,,05380 La Estrella,45,25,20,0,23,17,0,1,0,0,1,3,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5390.0,,05390 La Pintada,3,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5400.0,,05400 La Unión,11,6,5,0,4,2,0,1,1,0,1,2,0,0,0,0,2024,nacimientos,Cuadro3
5.0,5411.0,,05411 Liborina,5,2,3,0,0,1,0,0,1,0,2,1,0,0,0,0,2024,nacimientos,Cuadro3
