columna,"CUADRO 14 - Defunciones de menores de un año por grupos de edad y sexo, según departamento de residencia y grupo de edad de la madre",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,año,tipo,hoja_origen
,Año 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,defunciones,Cuadro14
,Volver al índice,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,defunciones,Cuadro14
,Departamento de residencia y grupo de edad de la madre,,Total,Total,,,Menor 1 hora,,,De 1 a 23 horas,,,De 1 a 6 días,,,De 7 a 27 días,,,De 28 a 29 días,,,De 1 a 5 meses,,,De 6 a 11 meses,,,2024,defunciones,Cuadro14
,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2024,defunciones,Cuadro14
3.0,Total Nacional,TOTAL,4759,2674,2076,9,137,91,5,276,234,2,763,492,0,549,434,0,25,24,0,639,541,2,285,260,0,2024,defunciones,Cuadro14
3.0,,10 - 14 años,55,33,22,0,1,0,0,3,3,0,14,9,0,7,8,0,0,0,0,4,1,0,4,1,0,2024,defunciones,Cuadro14
3.0,,15 - 19 años,757,437,320,0,23,20,0,49,48,0,122,73,0,100,52,0,1,2,0,97,93,0,45,32,0,2024,defunciones,Cuadro14
3.0,,20 - 24 años,1125,624,501,0,39,18,0,64,53,0,175,131,0,135,123,0,5,11,0,143,118,0,63,47,0,2024,defunciones,Cuadro14
3.0,,25 - 29 años,1028,597,430,1,25,20,0,82,47,1,174,97,0,128,93,0,8,3,0,126,107,0,54,63,0,2024,defunciones,Cuadro14
3.0,,30 - 34 años,736,436,300,0,20,16,0,45,42,0,148,88,0,86,74,0,3,2,0,91,56,0,43,22,0,2024,defunciones,Cuadro14
3.0,,35 - 39 años,463,242,220,1,21,11,1,24,24,0,61,51,0,55,45,0,2,4,0,54,54,0,25,31,0,2024,defunciones,Cuadro14
3.0,,40 - 44 años,183,85,97,1,5,2,0,8,16,1,25,22,0,12,19,0,0,1,0,25,24,0,10,13,0,2024,defunciones,Cuadro14
3.0,,45 - 49 años,21,12,9,0,0,2,0,1,1,0,0,0,0,5,2,0,0,0,0,4,2,0,2,2,0,2024,defunciones,Cuadro14
3.0,,50 - 54 años,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2024,defunciones,Cuadro14
3.0,,Edad desconocida,388,206,176,6,3,2,4,0,0,0,43,21,0,21,18,0,5,1,0,95,86,2,39,48,0,2024,defunciones,Cuadro14
5.0,05 Antioquia,TOTAL,451,240,211,0,21,13,0,32,27,0,62,41,0,47,49,0,1,3,0,54,47,0,23,31,0,2024,defunciones,Cuadro14
5.0,,10 - 14 años,8,4,4,0,0,0,0,1,0,0,1,0,0,1,4,0,0,0,0,1,0,0,0,0,0,2024,defunciones,Cuadro14
5.0,,15 - 19 años,78,44,34,0,3,3,0,5,7,0,14,7,0,11,2,0,0,0,0,10,11,0,1,4,0,2024,defunciones,Cuadro14
5.0,,20 - 24 años,106,61,45,0,7,3,0,8,8,0,11,11,0,14,10,0,1,1,0,13,5,0,7,7,0,2024,defunciones,Cuadro14
5.0,,25 - 29 años,94,52,42,0,3,2,0,11,4,0,16,6,0,11,10,0,0,1,0,6,10,0,5,9,0,2024,defunciones,Cuadro14
5.0,,30 - 34 años,58,32,26,0,2,2,0,3,5,0,11,7,0,6,7,0,0,0,0,7,5,0,3,0,0,2024,defunciones,Cuadro14
5.0,,35 - 39 años,49,22,27,0,5,3,0,3,0,0,5,6,0,3,14,0,0,1,0,4,2,0,2,1,0,2024,defunciones,Cuadro14
5.0,,40 - 44 años,20,5,15,0,1,0,0,0,3,0,2,2,0,0,1,0,0,0,0,2,6,0,0,3,0,2024,defunciones,Cuadro14
5.0,,45 - 49 años,3,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2024,defunciones,Cuadro14
5.0,,50 - 54 años,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2024,defunciones,Cuadro14
5.0,,Edad desconocida,34,17,17,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,11,8,0,4,6,0,2024,defunciones,Cuadro14
8.0,08 Atlántico,TOTAL,311,176,135,0,7,2,0,17,16,0,62,32,0,41,35,0,0,2,0,34,37,0,15,11,0,2024,defunciones,Cuadro14
8.0,,10 - 14 años,3,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro14
8.0,,15 - 19 años,45,29,16,0,2,0,0,3,3,0,12,5,0,7,4,0,0,0,0,5,3,0,0,1,0,2024,defunciones,Cuadro14
8.0,,20 - 24 años,81,49,32,0,1,0,0,2,3,0,20,10,0,10,9,0,0,1,0,11,8,0,5,1,0,2024,defunciones,Cuadro14
8.0,,25 - 29 años,75,41,34,0,2,1,0,4,7,0,13,7,0,14,9,0,0,1,0,5,5,0,3,4,0,2024,defunciones,Cuadro14
8.0,,30 - 34 años,60,36,24,0,1,0,0,7,1,0,11,3,0,7,10,0,0,0,0,5,8,0,5,2,0,2024,defunciones,Cuadro14
8.0,,35 - 39 años,32,13,19,0,0,1,0,1,2,0,4,3,0,2,2,0,0,0,0,4,8,0,2,3,0,2024,defunciones,Cuadro14
8.0,,40 - 44 años,5,1,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,2024,defunciones,Cuadro14
8.0,,45 - 49 años,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2024,defunciones,Cuadro14
8.0,,50 - 54 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro14
8.0,,Edad desconocida,8,3,5,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,3,0,0,0,0,2024,defunciones,Cuadro14
11.0,11 Bogotá,TOTAL,528,319,208,1,15,9,1,30,26,0,94,57,0,79,42,0,3,2,0,75,48,0,23,24,0,2024,defunciones,Cuadro14
11.0,,10 - 14 años,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2024,defunciones,Cuadro14
11.0,,15 - 19 años,33,24,9,0,2,1,0,1,2,0,4,1,0,11,1,0,0,0,0,3,3,0,3,1,0,2024,defunciones,Cuadro14
11.0,,20 - 24 años,106,60,46,0,9,1,0,6,5,0,19,17,0,13,9,0,1,2,0,10,9,0,2,3,0,2024,defunciones,Cuadro14
11.0,,25 - 29 años,136,85,51,0,1,2,0,13,8,0,25,13,0,18,10,0,0,0,0,23,14,0,5,4,0,2024,defunciones,Cuadro14
11.0,,30 - 34 años,101,65,36,0,0,2,0,5,4,0,27,17,0,15,8,0,0,0,0,16,5,0,2,0,0,2024,defunciones,Cuadro14
11.0,,35 - 39 años,75,39,35,1,3,3,1,3,6,0,8,6,0,12,8,0,2,0,0,8,8,0,3,4,0,2024,defunciones,Cuadro14
11.0,,40 - 44 años,17,13,4,0,0,0,0,2,1,0,5,1,0,2,1,0,0,0,0,3,0,0,1,1,0,2024,defunciones,Cuadro14
11.0,,45 - 49 años,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro14
11.0,,50 - 54 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro14
11.0,,Edad desconocida,55,28,27,0,0,0,0,0,0,0,4,2,0,6,5,0,0,0,0,12,9,0,6,11,0,2024,defunciones,Cuadro14
13.0,13 Bolívar,TOTAL,279,154,125,0,7,2,0,15,13,0,50,41,0,25,26,0,3,3,0,39,34,0,15,6,0,2024,defunciones,Cuadro14
13.0,,10 - 14 años,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro14
13.0,,15 - 19 años,50,27,23,0,0,0,0,4,4,0,7,7,0,2,3,0,0,0,0,7,7,0,7,2,0,2024,defunciones,Cuadro14
13.0,,20 - 24 años,79,41,38,0,1,0,0,2,0,0,11,13,0,8,8,0,1,2,0,16,13,0,2,2,0,2024,defunciones,Cuadro14
13.0,,25 - 29 años,72,40,32,0,3,1,0,7,7,0,13,9,0,6,5,0,2,1,0,7,8,0,2,1,0,2024,defunciones,Cuadro14
13.0,,30 - 34 años,41,20,21,0,1,1,0,1,2,0,9,8,0,2,6,0,0,0,0,5,3,0,2,1,0,2024,defunciones,Cuadro14
13.0,,35 - 39 años,26,17,9,0,2,0,0,1,0,0,5,4,0,5,3,0,0,0,0,3,2,0,1,0,0,2024,defunciones,Cuadro14
13.0,,40 - 44 años,7,6,1,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2024,defunciones,Cuadro14
13.0,,45 - 49 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro14
13.0,,50 - 54 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro14
13.0,,Edad desconocida,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2024,defunciones,Cuadro14
