columna,"CUADRO 16 - Diez primeras causas de defunción, según departamento de residencia",columna_1,columna_2,año,tipo,hoja_origen
,Año 2024,,,2024,defunciones,Cuadro16
,Volver al índice,,,2024,defunciones,Cuadro16
,Departamento de Residencia,Causas de defunción a 3 caracteres CIE-10,Total,2024,defunciones,Cuadro16
3.0,Total Nacional,Total defunciones,275778,2024,defunciones,Cuadro16
3.0,,I21 infarto agudo del miocardio,42142,2024,defunciones,Cuadro16
3.0,,J44 otras enfermedades pulmonares obstructivas crónicas,16004,2024,defunciones,Cuadro16
3.0,,"X95 agresión con disparo de otras armas de fuego, y las no especificadas",10591,2024,defunciones,Cuadro16
3.0,,"J18 neumonía, organismo no especificado",6419,2024,defunciones,Cuadro16
3.0,,E11 diabetes mellitus tipo 2,5326,2024,defunciones,Cuadro16
3.0,,C16 tumor maligno del estómago,5273,2024,defunciones,Cuadro16
3.0,,C34 tumor maligno de los bronquios y del pulmón,4917,2024,defunciones,Cuadro16
3.0,,G30 enfermedad de alzheimer,4342,2024,defunciones,Cuadro16
3.0,,C50 tumor maligno de la mama,3909,2024,defunciones,Cuadro16
3.0,,I63 infarto cerebral,3815,2024,defunciones,Cuadro16
5.0,05 Antioquia,Total defunciones,38415,2024,defunciones,Cuadro16
5.0,,I21 infarto agudo del miocardio,4975,2024,defunciones,Cuadro16
5.0,,J44 otras enfermedades pulmonares obstructivas crónicas,2658,2024,defunciones,Cuadro16
5.0,,C34 tumor maligno de los bronquios y del pulmón,1198,2024,defunciones,Cuadro16
5.0,,"J18 neumonía, organismo no especificado",1108,2024,defunciones,Cuadro16
5.0,,"X95 agresión con disparo de otras armas de fuego, y las no especificadas",1006,2024,defunciones,Cuadro16
5.0,,C16 tumor maligno del estómago,721,2024,defunciones,Cuadro16
5.0,,N39 otros trastornos del sistema urinario,619,2024,defunciones,Cuadro16
5.0,,G30 enfermedad de alzheimer,577,2024,defunciones,Cuadro16
5.0,,C18 tumor maligno del colon,556,2024,defunciones,Cuadro16
5.0,,C50 tumor maligno de la mama,516,2024,defunciones,Cuadro16
8.0,08 Atlántico,Total defunciones,15034,2024,defunciones,Cuadro16
8.0,,I21 infarto agudo del miocardio,2237,2024,defunciones,Cuadro16
8.0,,"X95 agresión con disparo de otras armas de fuego, y las no especificadas",849,2024,defunciones,Cuadro16
8.0,,"J18 neumonía, organismo no especificado",610,2024,defunciones,Cuadro16
8.0,,J44 otras enfermedades pulmonares obstructivas crónicas,570,2024,defunciones,Cuadro16
8.0,,E11 diabetes mellitus tipo 2,358,2024,defunciones,Cuadro16
8.0,,I69 secuelas de enfermedad cerebrovascular,345,2024,defunciones,Cuadro16
8.0,,G30 enfermedad de alzheimer,338,2024,defunciones,Cuadro16
8.0,,C50 tumor maligno de la mama,307,2024,defunciones,Cuadro16
