columna,"CUADRO 11 - Defunciones por grupo de edad y sexo, según departamentos de ocurrencia y grupos de causas de defunción  (Lista Colombia 105 para la tabulación de mortalidad)",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,columna_27,columna_28,columna_29,columna_30,columna_31,columna_32,columna_33,columna_34,columna_35,columna_36,columna_37,columna_38,columna_39,columna_40,columna_41,columna_42,columna_43,columna_44,columna_45,columna_46,columna_47,columna_48,columna_49,columna_50,columna_51,columna_52,columna_53,columna_54,columna_55,columna_56,columna_57,columna_58,columna_59,columna_60,columna_61,columna_62,columna_63,columna_64,columna_65,columna_66,columna_67,columna_68,columna_69,columna_70,columna_71,columna_72,columna_73,columna_74,columna_75,columna_76,columna_77,columna_78,columna_79,columna_80,columna_81,columna_82,columna_83,columna_84,columna_85,columna_86,columna_87,columna_88,columna_89,columna_90,columna_91,columna_92,columna_93,columna_94,columna_95,año,tipo,hoja_origen
3.0,,006 Todas las demás enfermedades bacterianas,502,271,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,1,2,0,1,0,0,2,1,0,1,1,0,8,1,0,9,2,0,4,1,0,3,5,0,6,7,0,9,6,0,8,6,0,10,8,0,13,5,0,19,18,0,16,16,0,28,16,0,34,29,0,34,34,0,25,31,0,21,25,0,10,12,0,3,2,0,1,0,0,0,0,0,2024,defunciones,Cuadro11
3.0,,007 Sífilis y otras enfermedades venéreas,50,31,19,0,0,0,0,2,2,0,3,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,2,3,0,3,0,0,4,1,0,5,0,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro11
3.0,,008 Hepatitis viral y secuelas,139,87,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,3,1,0,6,1,0,2,0,0,14,4,0,8,6,0,8,7,0,16,8,0,13,6,0,8,4,0,7,2,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,2024,defunciones,Cuadro11
3.0,,009 Enfermedad por el VIH (SIDA),2171,1660,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,72,21,0,192,52,0,249,60,0,222,76,0,193,77,0,187,72,0,142,42,0,122,40,0,105,32,0,78,15,0,43,10,0,21,4,0,12,4,0,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro11
3.0,,010 Todas las demás enfermedades infecciosas y parasitarias,1122,638,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,0,10,6,0,3,5,0,11,14,0,3,3,0,7,2,0,11,2,0,8,6,0,11,10,0,13,12,0,16,10,0,20,7,0,14,16,0,19,12,0,35,24,0,53,31,0,57,46,0,71,64,0,75,46,0,70,44,0,71,58,0,39,28,0,10,21,0,2,3,0,0,0,0,2024,defunciones,Cuadro11
3.0,,"011 Tumores malignos del labio, de la cavidad bucal y de la faringe",932,549,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,3,0,0,4,2,0,3,4,0,8,12,0,14,8,0,19,11,0,22,18,0,68,21,0,87,50,0,71,46,0,66,55,0,72,39,0,57,44,0,35,40,0,17,21,0,1,9,0,0,1,0,0,0,0,2024,defunciones,Cuadro11
3.0,,012 Tumor maligno del esófago,704,473,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,2,0,0,6,2,0,6,3,0,9,2,0,15,4,0,35,17,0,55,23,0,65,19,0,80,37,0,70,34,0,60,33,0,38,30,0,24,21,0,5,4,0,0,1,0,0,0,0,2024,defunciones,Cuadro11
3.0,,013 Tumor maligno del estómago,5273,3206,2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,9,9,0,12,21,0,46,42,0,75,79,0,106,100,0,159,125,0,200,123,0,300,174,0,383,205,0,468,216,0,437,225,0,403,237,0,320,222,0,202,165,0,64,98,0,19,21,0,2,3,0,0,0,0,2024,defunciones,Cuadro11
3.0,,"014 Tumor maligno del colon, de la unión rectosigmoidea, recto y ano",5170,2427,2743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,11,7,0,14,8,0,33,30,0,39,44,0,72,62,0,75,88,0,133,159,0,211,224,0,283,297,0,318,368,0,341,345,0,323,341,0,271,343,0,197,268,0,71,123,0,26,29,0,4,6,0,0,0,0,2024,defunciones,Cuadro11
3.0,,015 Tumor maligno del hígado,2246,1154,1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4,1,0,1,0,0,0,0,0,0,0,0,7,1,0,7,3,0,6,4,0,8,10,0,17,13,0,22,25,0,38,36,0,84,72,0,134,99,0,182,141,0,192,184,0,185,160,0,144,146,0,89,120,0,22,58,0,8,14,0,2,4,0,0,0,0,2024,defunciones,Cuadro11
3.0,,016 Tumor maligno de la vesícula biliar y de las vías biliares,1378,474,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,1,0,3,4,0,6,11,0,16,33,0,33,55,0,39,78,0,64,116,0,65,124,0,64,123,0,68,137,0,58,97,0,30,73,0,19,38,0,4,9,0,2,2,0,0,0,0,2024,defunciones,Cuadro11
3.0,,017 Tumor maligno del páncreas,2420,1162,1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,5,0,6,4,0,12,6,0,15,20,0,47,29,0,62,60,0,119,105,0,146,142,0,188,194,0,178,197,0,160,176,0,115,146,0,65,104,0,30,55,0,12,13,0,2,1,0,0,0,0,2024,defunciones,Cuadro11
3.0,,018 Todos los demás tumores malignos de los órganos digestivos y del peritoneo,842,418,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,7,4,0,6,6,0,9,15,0,14,19,0,23,16,0,39,34,0,46,58,0,80,56,0,67,61,0,44,53,0,43,53,0,29,39,0,9,6,0,1,1,0,0,0,0,0,0,0,2024,defunciones,Cuadro11
3.0,,019 Tumor maligno de la laringe,395,339,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,3,0,0,4,2,0,9,3,0,25,3,0,39,6,0,49,10,0,51,7,0,55,9,0,58,6,0,33,5,0,8,3,0,3,0,0,1,0,0,0,0,0,2024,defunciones,Cuadro11
3.0,,"020 Tumor maligno de la tráquea, los bronquios y el pulmón",4945,2751,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,3,0,0,11,6,0,11,4,0,16,12,0,28,25,0,31,46,0,87,80,0,160,137,0,284,258,0,452,330,0,510,347,0,483,326,0,360,282,0,214,218,0,70,95,0,26,26,0,1,2,0,0,0,0,2024,defunciones,Cuadro11
3.0,,"021 Todos los demás tumores malignos de los órganos respiratorios e intratorácicos, excepto tráquea, bronquios y pulmón",294,172,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,6,1,0,4,3,0,2,1,0,8,2,0,7,1,0,2,2,0,11,7,0,7,2,0,13,7,0,18,14,0,29,14,0,16,20,0,17,18,0,12,16,0,10,8,0,5,4,0,1,1,0,0,0,0,0,0,0,2024,defunciones,Cuadro11
3.0,,022 Tumor maligno de los huesos y de los cartílagos articulares,407,230,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,9,9,0,33,17,0,25,12,0,8,8,0,7,2,0,7,2,0,5,8,0,4,7,0,8,7,0,10,8,0,23,11,0,18,14,0,15,15,0,28,16,0,14,14,0,4,11,0,8,11,0,1,0,0,1,0,0,0,0,0,2024,defunciones,Cuadro11
3.0,,023 Melanoma y otros tumores malignos de la piel,1434,804,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,4,1,0,5,4,0,10,7,0,9,12,0,22,18,0,36,27,0,51,35,0,87,51,0,89,42,0,105,53,0,83,67,0,105,82,0,105,96,0,56,75,0,27,49,0,5,10,0,0,0,0,2024,defunciones,Cuadro11
3.0,,024 Tumor maligno de la mama de la mujer,3891,0,3891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,0,0,65,0,0,140,0,0,224,0,0,286,0,0,356,0,0,455,0,0,474,0,0,464,0,0,365,0,0,348,0,0,298,0,0,194,0,0,128,0,0,59,0,0,7,0,0,0,0,2024,defunciones,Cuadro11
3.0,,025 Tumor maligno del cuello del útero,1962,0,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,31,0,0,91,0,0,114,0,0,183,0,0,182,0,0,182,0,0,202,0,0,214,0,0,187,0,0,182,0,0,144,0,0,110,0,0,87,0,0,32,0,0,14,0,0,1,0,0,0,0,2024,defunciones,Cuadro11
3.0,,026 Tumor maligno de otras partes del útero,938,0,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,10,0,0,18,0,0,40,0,0,61,0,0,112,0,0,160,0,0,158,0,0,146,0,0,94,0,0,73,0,0,41,0,0,11,0,0,5,0,0,3,0,0,0,0,2024,defunciones,Cuadro11
3.0,,027 Tumor maligno del ovario,1273,0,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,8,0,0,12,0,0,16,0,0,20,0,0,48,0,0,77,0,0,130,0,0,173,0,0,165,0,0,194,0,0,138,0,0,121,0,0,92,0,0,47,0,0,18,0,0,8,0,0,1,0,0,0,0,2024,defunciones,Cuadro11
3.0,,028 Tumor maligno de la próstata,3628,3628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,6,0,0,27,0,0,79,0,0,197,0,0,383,0,0,610,0,0,643,0,0,697,0,0,586,0,0,307,0,0,79,0,0,11,0,0,0,0,0,2024,defunciones,Cuadro11
3.0,,029 Tumor maligno de la vejiga urinaria,623,402,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,5,0,5,1,0,6,5,0,15,10,0,33,12,0,51,23,0,63,39,0,65,34,0,65,21,0,56,33,0,20,29,0,17,5,0,4,1,0,0,0,0,2024,defunciones,Cuadro11
3.0,,030 Todos los demás tumores malignos de los órganos urinarios,1012,642,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,1,9,0,3,0,0,2,0,0,2,2,0,1,2,0,1,4,0,10,5,0,15,12,0,21,9,0,34,20,0,48,30,0,88,45,0,91,40,0,104,57,0,98,50,0,50,40,0,41,28,0,26,9,0,3,2,0,0,1,0,0,0,0,2024,defunciones,Cuadro11
3.0,,"031 Tumor maligno del encéfalo, del ojo y de otras partes del sistema nervioso central",1736,939,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,3,0,7,10,0,19,20,0,19,18,0,19,14,0,17,16,0,24,11,0,32,9,0,43,35,0,40,49,0,48,37,0,62,55,0,107,70,0,114,82,0,122,80,0,102,87,0,68,83,0,48,52,0,29,44,0,10,14,0,5,6,0,1,0,0,0,0,0,2024,defunciones,Cuadro11
3.0,,032 Tumor maligno del tiroides y de otras glándulas endocrinas,656,214,442,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,3,0,2,1,0,3,0,0,3,3,0,2,0,0,1,2,0,2,3,0,3,4,0,8,8,0,14,12,0,10,22,0,14,27,0,21,53,0,30,71,0,28,61,0,24,54,0,23,58,0,11,36,0,9,16,0,1,5,0,0,1,0,0,0,0,2024,defunciones,Cuadro11
3.0,,033 Tumores malignos de sitios mal definidos y secundarios,352,182,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,2,1,0,3,0,0,4,1,0,1,2,0,4,2,0,6,7,0,11,14,0,13,6,0,25,19,0,19,16,0,19,13,0,25,24,0,23,19,0,17,23,0,7,13,0,2,6,0,0,1,0,0,0,0,2024,defunciones,Cuadro11
3.0,,034 Tumor maligno de sitios no especificados,1262,569,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,6,0,9,5,0,8,12,0,9,13,0,16,29,0,20,40,0,39,59,0,70,88,0,93,91,0,106,82,0,78,82,0,59,81,0,43,63,0,16,31,0,1,7,0,0,2,0,0,0,0,2024,defunciones,Cuadro11
3.0,,035 Leucemia,2068,1166,902,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,4,4,0,16,17,0,29,24,0,37,25,0,54,31,0,61,14,0,46,23,0,42,26,0,39,30,0,46,52,0,43,36,0,50,58,0,68,55,0,84,72,0,122,88,0,118,74,0,114,85,0,106,87,0,58,60,0,23,31,0,4,6,0,1,0,0,0,0,0,2024,defunciones,Cuadro11
3.0,,"036 Todos los demás tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines",2864,1519,1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,4,0,8,2,0,9,5,0,17,5,0,21,9,0,19,14,0,20,21,0,40,18,0,28,31,0,48,45,0,85,70,0,117,116,0,216,146,0,217,194,0,232,212,0,187,181,0,137,133,0,77,91,0,31,32,0,5,13,0,1,2,0,0,0,0,2024,defunciones,Cuadro11
3.0,,"037 Tumores: in situ, benignos y de comportamiento incierto o desconocido y los no especificados",3637,1854,1783,0,0,0,0,1,1,0,1,0,0,1,2,0,0,0,0,1,1,0,1,1,0,4,3,0,5,6,0,8,5,0,9,5,0,8,11,0,15,13,0,25,14,0,31,14,0,27,29,0,45,56,0,52,69,0,85,78,0,108,115,0,177,142,0,219,180,0,221,196,0,291,236,0,244,241,0,168,192,0,82,128,0,22,40,0,3,5,0,0,0,0,2024,defunciones,Cuadro11
3.0,,038 Todos los demás tumores malignos de otras localizaciones,1222,696,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,1,3,0,8,1,0,11,9,0,40,8,0,52,8,0,33,16,0,29,7,0,25,15,0,37,24,0,46,28,0,50,47,0,61,50,0,54,59,0,75,58,0,49,68,0,52,54,0,41,35,0,20,27,0,7,7,0,0,0,0,0,0,0,2024,defunciones,Cuadro11
3.0,,"039 Anemias: nutricionales, hemolíticas, aplásticas y otras",688,340,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,1,2,0,0,7,0,11,6,0,9,8,0,6,3,0,13,7,0,6,11,0,9,9,0,11,14,0,9,13,0,10,11,0,7,16,0,16,15,0,23,22,0,21,16,0,40,28,0,40,29,0,39,35,0,31,47,0,31,29,0,4,8,0,2,6,0,0,0,0,2024,defunciones,Cuadro11
3.0,,"040 Defectos de coagulación, púrpura y otras afecciones hemorrágicas y de la sangre y los trastornos que afectan la inmunidad",601,325,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,3,1,0,8,1,0,8,3,0,4,5,0,8,3,0,8,2,0,10,6,0,8,6,0,12,4,0,11,10,0,9,17,0,11,13,0,16,14,0,19,18,0,22,28,0,26,23,0,31,29,0,24,26,0,28,24,0,30,18,0,12,14,0,5,3,0,2,3,0,0,0,0,2024,defunciones,Cuadro11
3.0,,041 Diabetes mellitus,8317,3803,4514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,6,14,0,9,16,0,19,17,0,22,26,0,32,33,0,54,62,0,101,93,0,155,144,0,247,237,0,400,385,0,501,479,0,520,548,0,545,560,0,515,661,0,408,611,0,190,416,0,66,164,0,10,44,0,0,0,0,2024,defunciones,Cuadro11
3.0,,042 Deficiencias nutricionales,1860,1037,823,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,38,38,0,35,29,0,34,33,0,14,14,0,3,8,0,4,0,0,5,4,0,3,4,0,13,4,0,25,6,0,17,8,0,21,10,0,18,7,0,31,11,0,32,17,0,54,25,0,67,29,0,69,38,0,109,73,0,136,114,0,132,139,0,103,125,0,59,68,0,12,17,0,0,0,0,2024,defunciones,Cuadro11
3.0,,043 Todas las demás enfermedades endocrinas y nutricionales,2771,1376,1395,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,7,0,8,3,0,3,5,0,6,11,0,1,6,0,3,8,0,16,6,0,6,10,0,9,11,0,25,9,0,24,14,0,31,29,0,41,38,0,80,47,0,105,62,0,128,87,0,136,106,0,132,117,0,162,154,0,168,185,0,158,213,0,85,174,0,34,66,0,11,25,0,0,1,0,2024,defunciones,Cuadro11
3.0,,044 Trastornos mentales y del comportamiento,2252,991,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,4,1,0,6,3,0,11,1,0,11,2,0,11,4,0,13,6,0,14,3,0,11,10,0,27,5,0,36,24,0,59,22,0,59,57,0,118,100,0,170,180,0,177,280,0,160,293,0,88,203,0,12,66,0,0,0,0,2024,defunciones,Cuadro11
3.0,,045 Meningitis y otras enfermedades inflamatorias del sistema nervioso central,592,322,270,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,4,7,0,2,3,0,8,3,0,4,6,0,8,6,0,6,2,0,8,9,0,16,7,0,15,11,0,26,10,0,18,12,0,20,12,0,16,20,0,16,15,0,19,17,0,43,27,0,19,28,0,25,20,0,21,18,0,11,17,0,11,14,0,4,2,0,0,1,0,0,1,0,0,0,0,2024,defunciones,Cuadro11
3.0,,046 Epilepsia y otros trastornos episódicos y paroxísticos,1167,671,496,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,0,5,4,0,8,6,0,6,7,0,11,7,0,9,7,0,24,18,0,37,28,0,50,25,0,37,24,0,40,24,0,42,33,0,43,28,0,35,39,0,54,45,0,54,24,0,42,34,0,48,33,0,41,32,0,26,24,0,34,27,0,12,18,0,8,5,0,0,1,0,0,0,0,2024,defunciones,Cuadro11
3.0,,047 Todas las demás enfermedades del sistema nervioso,7908,3415,4493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,6,5,0,7,7,0,20,12,0,33,27,0,42,35,0,78,38,0,70,37,0,70,34,0,54,35,0,44,33,0,49,42,0,61,57,0,75,71,0,115,100,0,191,165,0,239,201,0,336,331,0,425,489,0,518,671,0,498,863,0,339,761,0,120,383,0,18,90,0,0,0,0,2024,defunciones,Cuadro11
3.0,,"048 Enfermedades del ojo y sus anexos, del oído y de la apófisis mastoides",58,34,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,2,0,0,2,0,0,1,1,0,1,1,0,3,1,0,1,1,0,2,2,0,2,1,0,2,4,0,5,3,0,2,1,0,1,2,0,2,3,0,3,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro11
