columna,"CUADRO 7 - Defunciones maternas, por grupos de edad, según departamento de residencia y grupos de causas de defunción  (Lista de causas agrupadas 6/67 CIE-10 de OPS)",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,año,tipo,hoja_origen
,Año 2024,,,,,,,,,,,,,2024,defunciones,Cuadro7
,Volver al índice,,,,,,,,,,,,,2024,defunciones,Cuadro7
,"Departamento de residencia | Grupos de causas de defunción 
(Lista de causas agrupadas 6/67 CIE-10 de OPS)",,Total,Grupos de edad,,,,,,,,,,2024,defunciones,Cuadro7
,,,,"10 - 14
 años","15 - 19
 años","20 - 24
 años","25 - 29
 años","30 - 34
 años","35 - 39
 años","40 - 44
 años","45 - 49
 años","50 - 54
 años",Edad desconocida,2024,defunciones,Cuadro7
25.0,,Otras afecciones obstétricas no clasificadas en otra parte (O95-O99),19,0,1,5,6,4,2,1,0,0,0,2024,defunciones,Cuadro7
27.0,27 Chocó,TOTAL,21,1,6,6,1,3,2,2,0,0,0,2024,defunciones,Cuadro7
27.0,,Embarazo terminado en aborto (O00-O08),1,0,1,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
27.0,,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio (O10-O16)",0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
27.0,,Otros trastornos relacionados principalmente con el embarazo (O20-O29),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
27.0,,Atención materna relacionada con el feto y la cavidad amniótica y con posibles problemas del parto (O30-O48),2,0,1,1,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
27.0,,Complicaciones del trabajo del parto y del parto (O60-O75),8,1,0,2,1,0,2,2,0,0,0,2024,defunciones,Cuadro7
27.0,,Complicaciones principalmente relacionadas con el puerperio (O85-O92),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
27.0,,Otras afecciones obstétricas no clasificadas en otra parte (O95-O99),10,0,4,3,0,3,0,0,0,0,0,2024,defunciones,Cuadro7
41.0,41 Huila,TOTAL,9,1,1,2,3,2,0,0,0,0,0,2024,defunciones,Cuadro7
41.0,,Embarazo terminado en aborto (O00-O08),1,0,0,0,1,0,0,0,0,0,0,2024,defunciones,Cuadro7
41.0,,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio (O10-O16)",0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
41.0,,Otros trastornos relacionados principalmente con el embarazo (O20-O29),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
41.0,,Atención materna relacionada con el feto y la cavidad amniótica y con posibles problemas del parto (O30-O48),1,0,0,0,0,1,0,0,0,0,0,2024,defunciones,Cuadro7
41.0,,Complicaciones del trabajo del parto y del parto (O60-O75),1,0,0,1,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
41.0,,Complicaciones principalmente relacionadas con el puerperio (O85-O92),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
41.0,,Otras afecciones obstétricas no clasificadas en otra parte (O95-O99),6,1,1,1,2,1,0,0,0,0,0,2024,defunciones,Cuadro7
44.0,44 La Guajira,TOTAL,36,1,10,5,7,6,5,0,2,0,0,2024,defunciones,Cuadro7
44.0,,Embarazo terminado en aborto (O00-O08),3,0,0,2,0,0,0,0,1,0,0,2024,defunciones,Cuadro7
44.0,,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio (O10-O16)",6,1,3,0,0,1,1,0,0,0,0,2024,defunciones,Cuadro7
44.0,,Otros trastornos relacionados principalmente con el embarazo (O20-O29),1,0,0,0,0,0,1,0,0,0,0,2024,defunciones,Cuadro7
44.0,,Atención materna relacionada con el feto y la cavidad amniótica y con posibles problemas del parto (O30-O48),1,0,0,0,0,0,1,0,0,0,0,2024,defunciones,Cuadro7
44.0,,Complicaciones del trabajo del parto y del parto (O60-O75),3,0,1,0,1,1,0,0,0,0,0,2024,defunciones,Cuadro7
44.0,,Complicaciones principalmente relacionadas con el puerperio (O85-O92),2,0,2,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
44.0,,Otras afecciones obstétricas no clasificadas en otra parte (O95-O99),20,0,4,3,6,4,2,0,1,0,0,2024,defunciones,Cuadro7
47.0,47 Magdalena,TOTAL,12,0,2,3,3,1,2,1,0,0,0,2024,defunciones,Cuadro7
47.0,,Embarazo terminado en aborto (O00-O08),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
47.0,,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio (O10-O16)",0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
47.0,,Otros trastornos relacionados principalmente con el embarazo (O20-O29),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
47.0,,Atención materna relacionada con el feto y la cavidad amniótica y con posibles problemas del parto (O30-O48),0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro7
