columna,columna_1,"CUADRO 3 - Defunciones por grupos de edad y sexo, según departamento, municipio y área donde ocurrió la defunción",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,columna_27,columna_28,columna_29,columna_30,columna_31,columna_32,columna_33,columna_34,año,tipo,hoja_origen
5.0,5034.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5036.0,,05036 Angelópolis,TOTAL,25,11,14,0,0,0,0,0,0,0,0,0,0,5,1,0,5,3,0,1,6,0,0,3,0,0,1,0,0,0,0,2024,defunciones,Cuadro3
5.0,5036.0,,,Cabecera municipal,12,3,9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,5,0,0,2,0,0,1,0,0,0,0,2024,defunciones,Cuadro3
5.0,5036.0,,,Centro poblado,4,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5036.0,,,Rural disperso,9,6,3,0,0,0,0,0,0,0,0,0,0,3,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5036.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5038.0,,05038 Angostura,TOTAL,33,21,12,0,0,1,0,0,0,0,0,0,0,4,0,0,2,1,0,12,3,0,3,7,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5038.0,,,Cabecera municipal,13,8,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,1,4,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5038.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5038.0,,,Rural disperso,20,13,7,0,0,1,0,0,0,0,0,0,0,3,0,0,2,1,0,6,2,0,2,3,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5038.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5040.0,,05040 Anorí,TOTAL,61,49,12,0,0,0,0,0,0,0,0,0,0,31,1,0,5,5,0,6,4,0,6,2,0,1,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5040.0,,,Cabecera municipal,36,28,8,0,0,0,0,0,0,0,0,0,0,13,1,0,5,4,0,4,1,0,5,2,0,1,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5040.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5040.0,,,Rural disperso,24,20,4,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,2,3,0,1,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5040.0,,,Sin información,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5042.0,,05042 Santa Fé de Antioquia,TOTAL,160,94,66,0,2,0,0,0,0,0,0,1,0,21,5,0,13,14,0,33,28,0,24,18,0,1,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5042.0,,,Cabecera municipal,129,69,60,0,2,0,0,0,0,0,0,0,0,6,4,0,9,12,0,31,26,0,20,18,0,1,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5042.0,,,Centro poblado,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5042.0,,,Rural disperso,29,23,6,0,0,0,0,0,0,0,0,1,0,13,1,0,4,2,0,2,2,0,4,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5042.0,,,Sin información,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5044.0,,05044 Anzá,TOTAL,20,10,10,0,0,0,0,0,0,0,0,1,0,3,1,0,3,2,0,1,5,0,3,1,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5044.0,,,Cabecera municipal,5,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5044.0,,,Centro poblado,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5044.0,,,Rural disperso,12,5,7,0,0,0,0,0,0,0,0,1,0,1,1,0,2,1,0,0,3,0,2,1,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5044.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5045.0,,05045 Apartadó,TOTAL,863,482,381,0,18,4,0,3,2,0,6,3,0,98,45,0,103,89,0,185,164,0,69,72,0,0,2,0,0,0,0,2024,defunciones,Cuadro3
5.0,5045.0,,,Cabecera municipal,824,456,368,0,18,4,0,3,1,0,5,2,0,84,40,0,99,88,0,180,163,0,67,68,0,0,2,0,0,0,0,2024,defunciones,Cuadro3
5.0,5045.0,,,Centro poblado,8,5,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5045.0,,,Rural disperso,29,19,10,0,0,0,0,0,1,0,1,1,0,9,5,0,4,1,0,4,0,0,1,2,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5045.0,,,Sin información,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5051.0,,05051 Arboletes,TOTAL,62,37,25,0,0,0,0,2,0,0,0,0,0,7,3,0,5,5,0,13,8,0,9,9,0,0,0,0,1,0,0,2024,defunciones,Cuadro3
5.0,5051.0,,,Cabecera municipal,40,25,15,0,0,0,0,2,0,0,0,0,0,5,2,0,4,4,0,8,4,0,6,5,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5051.0,,,Centro poblado,9,6,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,2,2,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5051.0,,,Rural disperso,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5051.0,,,Sin información,10,4,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,0,1,1,0,0,0,0,1,0,0,2024,defunciones,Cuadro3
5.0,5055.0,,05055 Argelia,TOTAL,38,24,14,0,0,1,0,0,0,0,0,0,0,7,2,0,1,2,0,12,7,0,4,2,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5055.0,,,Cabecera municipal,28,16,12,0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,0,9,7,0,4,1,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5055.0,,,Centro poblado,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5055.0,,,Rural disperso,9,7,2,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5055.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5059.0,,05059 Armenia,TOTAL,26,18,8,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,7,2,0,7,4,0,1,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5059.0,,,Cabecera municipal,9,6,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,2,2,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5059.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5059.0,,,Rural disperso,17,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,2,0,5,2,0,1,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5059.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5079.0,,05079 Barbosa,TOTAL,212,128,84,0,0,0,0,1,0,0,0,0,0,40,4,0,33,9,0,37,35,0,16,31,0,1,5,0,0,0,0,2024,defunciones,Cuadro3
5.0,5079.0,,,Cabecera municipal,105,53,52,0,0,0,0,1,0,0,0,0,0,13,1,0,15,5,0,16,20,0,7,23,0,1,3,0,0,0,0,2024,defunciones,Cuadro3
5.0,5079.0,,,Centro poblado,23,12,11,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,7,5,0,3,3,0,0,1,0,0,0,0,2024,defunciones,Cuadro3
5.0,5079.0,,,Rural disperso,74,53,21,0,0,0,0,0,0,0,0,0,0,19,2,0,14,3,0,14,10,0,6,5,0,0,1,0,0,0,0,2024,defunciones,Cuadro3
5.0,5079.0,,,Sin información,10,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5086.0,,05086 Belmira,TOTAL,20,13,7,0,0,0,0,0,0,0,0,0,0,6,1,0,2,1,0,2,5,0,3,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5086.0,,,Cabecera municipal,8,5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,2,0,1,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5086.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5086.0,,,Rural disperso,12,8,4,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5086.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5088.0,,05088 Bello,TOTAL,2213,1134,1079,0,3,1,0,2,5,0,4,3,0,172,53,0,213,142,0,504,490,0,229,370,0,7,14,0,0,1,0,2024,defunciones,Cuadro3
5.0,5088.0,,,Cabecera municipal,2163,1094,1069,0,3,1,0,2,5,0,4,3,0,149,51,0,203,139,0,498,488,0,228,368,0,7,14,0,0,0,0,2024,defunciones,Cuadro3
5.0,5088.0,,,Centro poblado,4,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5088.0,,,Rural disperso,39,31,8,0,0,0,0,0,0,0,0,0,0,15,2,0,10,3,0,5,2,0,1,1,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5088.0,,,Sin información,7,6,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2024,defunciones,Cuadro3
5.0,5091.0,,05091 Betania,TOTAL,55,46,9,0,0,0,0,0,0,0,1,0,0,23,0,0,4,0,0,10,6,0,7,3,0,1,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5091.0,,,Cabecera municipal,26,21,5,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,9,2,0,3,3,0,1,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5091.0,,,Centro poblado,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5091.0,,,Rural disperso,26,22,4,0,0,0,0,0,0,0,1,0,0,15,0,0,1,0,0,1,4,0,4,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5091.0,,,Sin información,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5093.0,,05093 Betulia,TOTAL,69,51,18,0,1,0,0,1,0,0,0,0,0,13,0,0,4,2,0,21,8,0,10,8,0,1,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5093.0,,,Cabecera municipal,24,16,8,0,1,0,0,0,0,0,0,0,0,4,0,0,1,1,0,6,3,0,4,4,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5093.0,,,Centro poblado,10,8,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5093.0,,,Rural disperso,35,27,8,0,0,0,0,1,0,0,0,0,0,8,0,0,3,1,0,8,3,0,6,4,0,1,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5093.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5101.0,,05101 Ciudad Bolívar,TOTAL,174,118,56,0,0,0,0,0,0,0,0,0,0,41,3,0,21,8,0,32,24,0,22,20,0,1,1,0,1,0,0,2024,defunciones,Cuadro3
5.0,5101.0,,,Cabecera municipal,127,76,51,0,0,0,0,0,0,0,0,0,0,12,2,0,17,8,0,25,20,0,21,20,0,1,1,0,0,0,0,2024,defunciones,Cuadro3
5.0,5101.0,,,Centro poblado,7,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5101.0,,,Rural disperso,38,33,5,0,0,0,0,0,0,0,0,0,0,21,1,0,4,0,0,6,4,0,1,0,0,0,0,0,1,0,0,2024,defunciones,Cuadro3
5.0,5101.0,,,Sin información,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5107.0,,05107 Briceño,TOTAL,15,14,1,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,4,0,0,2,1,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5107.0,,,Cabecera municipal,5,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5107.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5107.0,,,Rural disperso,10,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5107.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5113.0,,05113 Buriticá,TOTAL,27,24,3,0,0,0,0,1,0,0,0,0,0,9,1,0,5,0,0,4,0,0,5,2,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5113.0,,,Cabecera municipal,12,11,1,0,0,0,0,1,0,0,0,0,0,4,1,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5113.0,,,Centro poblado,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5113.0,,,Rural disperso,11,9,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,3,2,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5113.0,,,Sin información,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5120.0,,05120 Cáceres,TOTAL,111,92,19,0,0,0,0,3,0,0,2,0,0,46,1,0,15,5,0,16,5,0,9,8,0,1,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5120.0,,,Cabecera municipal,22,15,7,0,0,0,0,0,0,0,0,0,0,5,0,0,2,1,0,4,3,0,3,3,0,1,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5120.0,,,Centro poblado,50,40,10,0,0,0,0,2,0,0,1,0,0,13,1,0,8,3,0,10,2,0,6,4,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5120.0,,,Rural disperso,37,35,2,0,0,0,0,1,0,0,1,0,0,26,0,0,5,1,0,2,0,0,0,1,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
