columna,columna_1,"CUADRO 3 - Defunciones por grupos de edad y sexo, según departamento, municipio y área donde ocurrió la defunción",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,columna_27,columna_28,columna_29,columna_30,columna_31,columna_32,columna_33,columna_34,año,tipo,hoja_origen
,,Año 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,defunciones,Cuadro3
,,Volver al índice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,defunciones,Cuadro3
,,"Departamento, municipio y área de ocurrencia",,,Total,Total,,,Grupo de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,defunciones,Cuadro3
,,,,,,,,,Menor 1 año,,,De 1-4 años,,,De 5-14 años,,,De 15-44 años,,,De 45-64 años,,,De 65-84 años,,,De 85-99 años,,,De 100 y más,,,Edad desconocida,,,2024,defunciones,Cuadro3
,,,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2024,defunciones,Cuadro3
3.0,3000.0,Total Nacional,,TOTAL,275778,151018,124705,55,2674,2076,9,652,590,0,995,743,0,27024,9235,8,28473,20089,17,62400,51454,11,27949,38636,5,745,1813,1,106,69,4,2024,defunciones,Cuadro3
3.0,3000.0,,,Cabecera municipal,247705,132243,115429,33,2553,1978,8,543,495,0,807,634,0,21142,8192,3,25090,18909,8,56663,48219,9,24810,35407,2,635,1594,0,0,1,3,2024,defunciones,Cuadro3
3.0,3000.0,,,Centro poblado,6549,4084,2464,1,25,21,0,22,20,0,39,15,0,930,210,0,690,313,1,1457,887,0,879,926,0,42,72,0,0,0,0,2024,defunciones,Cuadro3
3.0,3000.0,,,Rural disperso,19607,13492,6100,15,72,64,1,74,69,0,136,83,0,4644,773,3,2519,785,7,3961,2116,1,2017,2083,2,66,126,0,3,1,1,2024,defunciones,Cuadro3
3.0,3000.0,,,Sin información,1917,1199,712,6,24,13,0,13,6,0,13,11,0,308,60,2,174,82,1,319,232,1,243,220,1,2,21,1,103,67,0,2024,defunciones,Cuadro3
5.0,5000.0,05 Antioquia,Total Dpto,TOTAL,38939,20935,18001,3,251,208,0,78,80,0,134,84,0,3747,1188,0,4050,2843,0,8829,7705,0,3731,5584,3,102,300,0,13,9,0,2024,defunciones,Cuadro3
5.0,5000.0,,,Cabecera municipal,34080,17553,16527,0,238,196,0,65,65,0,103,69,0,2479,1025,0,3433,2601,0,7832,7115,0,3311,5182,0,92,274,0,0,0,0,2024,defunciones,Cuadro3
5.0,5000.0,,,Centro poblado,833,568,265,0,2,2,0,4,3,0,3,2,0,212,30,0,86,32,0,175,95,0,84,93,0,2,8,0,0,0,0,2024,defunciones,Cuadro3
5.0,5000.0,,,Rural disperso,3861,2694,1165,2,10,7,0,9,10,0,26,12,0,988,127,0,514,204,0,810,480,0,328,307,2,7,17,0,2,1,0,2024,defunciones,Cuadro3
5.0,5000.0,,,Sin información,165,120,44,1,1,3,0,0,2,0,2,1,0,68,6,0,17,6,0,12,15,0,8,2,1,1,1,0,11,8,0,2024,defunciones,Cuadro3
5.0,5001.0,,05001 Medellín,TOTAL,19883,10083,9800,0,147,130,0,38,44,0,64,40,0,1383,652,0,2117,1637,0,4541,4231,0,1754,2906,0,38,159,0,1,1,0,2024,defunciones,Cuadro3
5.0,5001.0,,,Cabecera municipal,19647,9914,9733,0,147,129,0,38,44,0,63,39,0,1327,645,0,2082,1628,0,4487,4206,0,1732,2886,0,38,156,0,0,0,0,2024,defunciones,Cuadro3
5.0,5001.0,,,Centro poblado,97,66,31,0,0,1,0,0,0,0,0,0,0,20,5,0,13,6,0,26,8,0,7,9,0,0,2,0,0,0,0,2024,defunciones,Cuadro3
5.0,5001.0,,,Rural disperso,128,96,32,0,0,0,0,0,0,0,1,0,0,31,2,0,21,1,0,28,17,0,15,11,0,0,1,0,0,0,0,2024,defunciones,Cuadro3
5.0,5001.0,,,Sin información,11,7,4,0,0,0,0,0,0,0,0,1,0,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2024,defunciones,Cuadro3
5.0,5002.0,,05002 Abejorral,TOTAL,84,56,28,0,0,0,0,0,0,0,0,0,0,18,1,0,6,2,0,19,13,0,13,12,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5002.0,,,Cabecera municipal,50,29,21,0,0,0,0,0,0,0,0,0,0,5,1,0,2,1,0,13,9,0,9,10,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5002.0,,,Centro poblado,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5002.0,,,Rural disperso,32,25,7,0,0,0,0,0,0,0,0,0,0,12,0,0,4,1,0,5,4,0,4,2,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5002.0,,,Sin información,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5004.0,,05004 Abriaquí,TOTAL,6,4,2,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5004.0,,,Cabecera municipal,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5004.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5004.0,,,Rural disperso,5,3,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5004.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5021.0,,05021 Alejandría,TOTAL,21,12,9,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,5,3,0,3,6,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5021.0,,,Cabecera municipal,20,11,9,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,5,3,0,3,6,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5021.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5021.0,,,Rural disperso,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5021.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5030.0,,05030 Amagá,TOTAL,120,84,36,0,0,0,0,1,0,0,0,0,0,19,3,0,19,6,0,32,13,0,13,14,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5030.0,,,Cabecera municipal,58,35,23,0,0,0,0,0,0,0,0,0,0,4,0,0,7,4,0,17,8,0,7,11,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5030.0,,,Centro poblado,16,12,4,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0,0,5,2,0,1,1,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5030.0,,,Rural disperso,46,37,9,0,0,0,0,1,0,0,0,0,0,12,2,0,9,2,0,10,3,0,5,2,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5030.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5031.0,,05031 Amalfi,TOTAL,119,88,31,0,1,0,0,0,0,0,0,0,0,33,6,0,19,5,0,27,9,0,6,11,0,2,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5031.0,,,Cabecera municipal,70,48,22,0,1,0,0,0,0,0,0,0,0,13,4,0,11,5,0,15,3,0,6,10,0,2,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5031.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5031.0,,,Rural disperso,48,40,8,0,0,0,0,0,0,0,0,0,0,20,2,0,8,0,0,12,5,0,0,1,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5031.0,,,Sin información,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5034.0,,05034 Andes,TOTAL,167,109,58,0,2,0,0,0,1,0,0,0,0,24,1,0,20,6,0,42,32,0,19,18,0,2,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5034.0,,,Cabecera municipal,94,55,39,0,1,0,0,0,0,0,0,0,0,5,1,0,9,5,0,25,21,0,13,12,0,2,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5034.0,,,Centro poblado,31,21,10,0,1,0,0,0,1,0,0,0,0,6,0,0,6,0,0,5,4,0,3,5,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
5.0,5034.0,,,Rural disperso,42,33,9,0,0,0,0,0,0,0,0,0,0,13,0,0,5,1,0,12,7,0,3,1,0,0,0,0,0,0,0,2024,defunciones,Cuadro3
