,,,,,,,,,Menor 1 hora,,,De 1 a 23 horas,,,De 1 a 6 días,,,De 7 a 27 días,,,De 28 a 29 días,,,De 1 a 5 meses,,,De 6 a 11 meses,,,De 1 año,,,De 2 a 4 años,,,De 5 a 9 años,,,De 10 a 14 años,,,De 15 a 19 años,,,De 20 a 24 años,,,De 25 a 29 años,,,De 30 a 34 años,,,De 35 a 39 años,,,De 40 a 44 años,,,De 45 a 49 años,,,De 50 a 54 años,,,De 55 a 59 años,,,De 60 a 64 años,,,De 65 a 69 años,,,De 70 a 74 años,,,De 75 a 79 años,,,De 80 a 84 años,,,De 85 a 89 años,,,De 90 a 94 años,,,De 95 a 99 años,,,De 100 años y más,,,Edad desconocida,,,2024,defunciones,Cuadro4
,,,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2024,defunciones,Cuadro4
5.0,5000.0,05 Antioquia,Total Dpto,TOTAL,38415,20437,17978,0,21,13,0,32,27,0,62,41,0,47,49,0,1,3,0,54,47,0,23,31,0,35,35,0,48,40,0,56,34,0,67,52,0,295,87,0,597,134,0,675,159,0,680,197,0,587,249,0,568,352,0,596,391,0,697,501,0,1048,748,0,1595,1183,0,1973,1493,0,2204,1756,0,2304,2113,0,2324,2340,0,1933,2423,0,1269,2148,0,543,1032,0,103,300,0,0,0,0,2024,defunciones,Cuadro4
5.0,5000.0,,,Cabecera municipal,31031,15899,15132,0,13,9,0,16,17,0,38,26,0,35,31,0,1,1,0,30,32,0,11,19,0,18,22,0,26,26,0,33,24,0,38,37,0,195,67,0,417,104,0,481,125,0,520,157,0,436,192,0,442,284,0,457,319,0,537,388,0,813,621,0,1273,997,0,1579,1237,0,1724,1494,0,1846,1759,0,1801,1967,0,1545,2093,0,1039,1887,0,447,928,0,88,269,0,0,0,0,2024,defunciones,Cuadro4
5.0,5000.0,,,Centro poblado,1400,854,546,0,2,2,0,6,0,0,3,2,0,1,3,0,0,0,0,3,2,0,1,0,0,2,4,0,5,3,0,5,2,0,6,2,0,16,0,0,35,4,0,47,5,0,31,10,0,31,11,0,29,14,0,28,21,0,28,23,0,49,16,0,55,36,0,59,46,0,97,47,0,84,67,0,103,66,0,62,74,0,39,54,0,24,22,0,3,10,0,0,0,0,2024,defunciones,Cuadro4
5.0,5000.0,,,Rural disperso,5796,3518,2278,0,6,2,0,10,10,0,21,13,0,11,15,0,0,2,0,21,13,0,11,12,0,15,8,0,16,11,0,16,7,0,23,11,0,70,19,0,127,21,0,115,27,0,115,29,0,101,42,0,81,54,0,101,50,0,123,89,0,173,111,0,262,149,0,327,210,0,380,214,0,373,287,0,420,307,0,325,255,0,191,207,0,72,82,0,12,21,0,0,0,0,2024,defunciones,Cuadro4
5.0,5000.0,,,Sin información,188,166,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,2,0,14,1,0,18,5,0,32,2,0,14,1,0,19,4,0,16,0,0,10,1,0,9,1,0,13,0,0,5,1,0,8,0,0,3,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro4
5.0,5001.0,,05001 Medellín,TOTAL,16342,8246,8096,0,6,7,0,3,10,0,20,12,0,15,17,0,0,1,0,12,8,0,4,7,0,6,8,0,13,16,0,13,12,0,19,12,0,73,33,0,183,58,0,238,78,0,266,85,0,222,101,0,245,145,0,247,174,0,295,209,0,439,317,0,704,512,0,810,654,0,942,790,0,963,917,0,895,1050,0,831,1125,0,515,1059,0,229,525,0,38,154,0,0,0,0,2024,defunciones,Cuadro4
5.0,5001.0,,,Cabecera municipal,15869,7952,7917,0,6,7,0,3,9,0,19,12,0,14,17,0,0,1,0,12,7,0,4,7,0,6,8,0,11,16,0,13,11,0,19,12,0,72,33,0,176,57,0,227,74,0,253,82,0,213,97,0,237,144,0,236,165,0,281,205,0,412,308,0,676,505,0,782,642,0,913,766,0,930,895,0,868,1026,0,803,1104,0,503,1034,0,225,523,0,38,150,0,0,0,0,2024,defunciones,Cuadro4
5.0,5001.0,,,Centro poblado,208,127,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,1,0,6,1,0,8,3,0,2,1,0,3,1,0,4,7,0,8,2,0,14,2,0,12,3,0,9,5,0,16,11,0,13,11,0,12,10,0,8,9,0,5,10,0,1,0,0,0,3,0,0,0,0,2024,defunciones,Cuadro4
5.0,5001.0,,,Rural disperso,245,149,96,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,2,0,4,0,0,5,3,0,4,0,0,4,1,0,5,2,0,11,7,0,14,4,0,18,7,0,13,13,0,20,11,0,15,14,0,20,12,0,7,15,0,3,2,0,0,1,0,0,0,0,2024,defunciones,Cuadro4
5.0,5001.0,,,Sin información,20,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,0,2,0,0,1,0,0,3,1,0,1,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro4
