columna,"CUADRO 9 - Defunciones por pertenencia étnico-racial del fallecido y sexo, según departamento de residencia",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,año,tipo,hoja_origen
,Año 2024,,,,,,,,,,,,,,,,,,,,,,,,,,2024,defunciones,Cuadro9
,Volver al índice,,,,,,,,,,,,,,,,,,,,,,,,,,2024,defunciones,Cuadro9
,Departamento de residencia,Total,Total,,,Indígena,,,Rom (Gitano),,,Raizal del archipiélago de San Andres y Providencia,,,Palenquero de San Basilio,,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",,,Ninguno de las anteriores,,,Sin información,,,2024,defunciones,Cuadro9
,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2024,defunciones,Cuadro9
3.0,Total Nacional,275778,151018,124705,55,2613,2161,0,10,14,0,102,76,0,13,9,0,5474,4299,0,141800,117462,55,1006,684,0,2024,defunciones,Cuadro9
5.0,05 Antioquia,38415,20437,17978,0,79,54,0,0,1,0,6,2,0,0,0,0,484,412,0,19868,17509,0,0,0,0,2024,defunciones,Cuadro9
8.0,08 Atlántico,15034,8012,7022,0,9,12,0,2,2,0,3,3,0,2,3,0,185,167,0,7811,6835,0,0,0,0,2024,defunciones,Cuadro9
11.0,11 Bogotá,36976,18904,18071,1,17,24,0,1,1,0,0,2,0,0,0,0,71,68,0,18815,17976,1,0,0,0,2024,defunciones,Cuadro9
13.0,13 Bolívar,10666,5885,4781,0,2,2,0,1,1,0,2,3,0,10,5,0,336,260,0,5534,4510,0,0,0,0,2024,defunciones,Cuadro9
15.0,15 Boyacá,7262,3949,3313,0,10,6,0,0,0,0,0,0,0,0,1,0,7,8,0,3932,3298,0,0,0,0,2024,defunciones,Cuadro9
17.0,17 Caldas,6846,3718,3128,0,132,118,0,1,0,0,0,0,0,0,0,0,17,12,0,3568,2998,0,0,0,0,2024,defunciones,Cuadro9
18.0,18 Caquetá,1913,1126,787,0,11,11,0,0,0,0,0,0,0,0,0,0,7,6,0,1108,770,0,0,0,0,2024,defunciones,Cuadro9
19.0,19 Cauca,6773,3914,2859,0,471,332,0,1,1,0,2,0,0,1,0,0,549,338,0,2890,2188,0,0,0,0,2024,defunciones,Cuadro9
20.0,20 Cesar,5794,3342,2450,2,73,64,0,0,0,0,0,0,0,0,0,0,59,45,0,3210,2341,2,0,0,0,2024,defunciones,Cuadro9
23.0,23 Córdoba,8316,4626,3690,0,78,65,0,0,0,0,1,0,0,0,0,0,69,61,0,4478,3564,0,0,0,0,2024,defunciones,Cuadro9
25.0,25 Cundinamarca,16455,8992,7462,1,14,9,0,0,0,0,2,2,0,0,0,0,36,24,0,8940,7427,1,0,0,0,2024,defunciones,Cuadro9
27.0,27 Chocó,1952,1121,831,0,125,130,0,0,0,0,2,1,0,0,0,0,752,564,0,242,136,0,0,0,0,2024,defunciones,Cuadro9
41.0,41 Huila,6680,3820,2860,0,26,17,0,0,0,0,0,0,0,0,0,0,6,11,0,3788,2832,0,0,0,0,2024,defunciones,Cuadro9
44.0,44 La Guajira,3128,1725,1402,1,437,396,0,0,2,0,0,0,0,0,0,0,54,38,0,1234,966,1,0,0,0,2024,defunciones,Cuadro9
47.0,47 Magdalena,6939,4018,2921,0,17,11,0,2,0,0,0,0,0,0,0,0,58,36,0,3941,2874,0,0,0,0,2024,defunciones,Cuadro9
50.0,50 Meta,5581,3204,2377,0,47,33,0,0,0,0,0,0,0,0,0,0,22,14,0,3135,2330,0,0,0,0,2024,defunciones,Cuadro9
52.0,52 Nariño,7825,4117,3708,0,354,271,0,0,0,0,1,1,0,0,0,0,531,456,0,3231,2980,0,0,0,0,2024,defunciones,Cuadro9
54.0,54 Norte de Santander,8668,4925,3743,0,11,10,0,0,1,0,0,0,0,0,0,0,17,12,0,4897,3720,0,0,0,0,2024,defunciones,Cuadro9
63.0,63 Quindío,4458,2502,1956,0,7,8,0,0,0,0,0,0,0,0,0,0,18,9,0,2477,1939,0,0,0,0,2024,defunciones,Cuadro9
66.0,66 Risaralda,7393,4043,3350,0,81,77,0,0,0,0,0,0,0,0,0,0,53,58,0,3909,3215,0,0,0,0,2024,defunciones,Cuadro9
68.0,68 Santander,12718,6986,5732,0,3,1,0,0,0,0,0,0,0,0,0,0,17,7,0,6966,5724,0,0,0,0,2024,defunciones,Cuadro9
70.0,70 Sucre,4661,2559,2102,0,47,48,0,0,0,0,0,0,0,0,0,0,132,95,0,2380,1959,0,0,0,0,2024,defunciones,Cuadro9
73.0,73 Tolima,9418,5151,4267,0,90,72,0,0,1,0,0,0,0,0,0,0,17,15,0,5044,4179,0,0,0,0,2024,defunciones,Cuadro9
76.0,76 Valle del Cauca,31251,16830,14421,0,58,39,0,2,4,0,0,3,0,0,0,0,1874,1527,0,14896,12848,0,0,0,0,2024,defunciones,Cuadro9
81.0,81 Arauca,1316,852,464,0,22,16,0,0,0,0,1,0,0,0,0,0,8,4,0,821,444,0,0,0,0,2024,defunciones,Cuadro9
85.0,85 Casanare,1854,1168,686,0,9,6,0,0,0,0,1,0,0,0,0,0,10,2,0,1148,678,0,0,0,0,2024,defunciones,Cuadro9
86.0,86 Putumayo,1454,882,572,0,63,74,0,0,0,0,0,0,0,0,0,0,22,17,0,797,481,0,0,0,0,2024,defunciones,Cuadro9
88.0,88 Archipiélago de San Andrés y Providencia,302,189,113,0,0,0,0,0,0,0,81,59,0,0,0,0,10,8,0,98,46,0,0,0,0,2024,defunciones,Cuadro9
91.0,91 Amazonas,263,163,100,0,65,45,0,0,0,0,0,0,0,0,0,0,2,0,0,96,55,0,0,0,0,2024,defunciones,Cuadro9
94.0,94 Guainía,160,85,75,0,50,64,0,0,0,0,0,0,0,0,0,0,1,1,0,34,10,0,0,0,0,2024,defunciones,Cuadro9
95.0,95 Guaviare,360,230,130,0,23,9,0,0,0,0,0,0,0,0,0,0,5,3,0,202,118,0,0,0,0,2024,defunciones,Cuadro9
97.0,97 Vaupés,122,76,46,0,67,43,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,2024,defunciones,Cuadro9
99.0,99 Vichada,238,154,84,0,63,56,0,0,0,0,0,0,0,0,0,0,1,0,0,90,28,0,0,0,0,2024,defunciones,Cuadro9
75.0,Extranjero,848,523,325,0,38,34,0,0,0,0,0,0,0,0,0,0,17,17,0,468,274,0,0,0,0,2024,defunciones,Cuadro9
