columna,"CUADRO 13 - Defunciones de menores de un año por grupos de edad y sexo, según departamento de residencia de la madre y grupos de causas de defunción (Lista Colombia 105 para la tabulación de mortalidad)",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,año,tipo,hoja_origen
,Año 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,defunciones,Cuadro13
,Volver al índice,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,defunciones,Cuadro13
,Grupos de causas de defunción (Lista Colombia 105 para la tabulación de mortalidad),,Total,Total,,,Menor 1 hora,,,De 1 a 23 horas,,,De 1 a 6 días,,,De 7 a 27 días,,,De 28 a 29 días,,,De 1 a 5 meses,,,De 6 a 11 meses,,,2024,defunciones,Cuadro13
,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2024,defunciones,Cuadro13
3.0,Total Nacional,TOTAL,4759,2674,2076,9,137,91,5,276,234,2,763,492,0,549,434,0,25,24,0,639,541,2,285,260,0,2024,defunciones,Cuadro13
3.0,,001 Enfermedades infecciosas intestinales,107,60,47,0,0,0,0,0,0,0,1,0,0,8,4,0,1,0,0,23,17,0,27,26,0,2024,defunciones,Cuadro13
3.0,,002 Tuberculosis y secuelas,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2024,defunciones,Cuadro13
3.0,,003 Ciertas enfermedades transmitidas por vectores y rabia,18,10,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,4,0,6,3,0,2024,defunciones,Cuadro13
3.0,,004 Ciertas enfermedades inmunoprevenibles,3,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2024,defunciones,Cuadro13
3.0,,"005 Septicemia, excepto neonatal",19,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,2,0,0,2024,defunciones,Cuadro13
3.0,,006 Todas las demás enfermedades bacterianas,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,1,2,0,2024,defunciones,Cuadro13
3.0,,007 Sífilis y otras enfermedades venéreas,16,8,8,0,0,0,0,2,2,0,3,5,0,3,1,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro13
3.0,,009 Enfermedad por el VIH (SIDA),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2024,defunciones,Cuadro13
3.0,,010 Todas las demás enfermedades infecciosas y parasitarias,39,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,0,10,6,0,2024,defunciones,Cuadro13
3.0,,015 Tumor maligno del hígado,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2024,defunciones,Cuadro13
3.0,,030 Todos los demás tumores malignos de los órganos urinarios,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2024,defunciones,Cuadro13
3.0,,"031 Tumor maligno del encéfalo, del ojo y de otras partes del sistema nervioso central",3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2024,defunciones,Cuadro13
3.0,,032 Tumor maligno del tiroides y de otras glándulas endocrinas,3,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2024,defunciones,Cuadro13
3.0,,035 Leucemia,5,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,2024,defunciones,Cuadro13
3.0,,"036 Todos los demás tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2024,defunciones,Cuadro13
3.0,,"037 Tumores: in situ, benignos y de comportamiento incierto o desconocido y los no especificados",10,5,5,0,0,0,0,1,1,0,1,0,0,1,2,0,0,0,0,1,1,0,1,1,0,2024,defunciones,Cuadro13
3.0,,038 Todos los demás tumores malignos de otras localizaciones,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2024,defunciones,Cuadro13
3.0,,"039 Anemias: nutricionales, hemolíticas, aplásticas y otras",7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,2024,defunciones,Cuadro13
3.0,,"040 Defectos de coagulación, púrpura y otras afecciones hemorrágicas y de la sangre y los trastornos que afectan la inmunidad",19,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,3,1,0,2024,defunciones,Cuadro13
3.0,,042 Deficiencias nutricionales,145,76,69,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,38,38,0,35,29,0,2024,defunciones,Cuadro13
3.0,,043 Todas las demás enfermedades endocrinas y nutricionales,23,12,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,7,0,8,3,0,2024,defunciones,Cuadro13
3.0,,044 Trastornos mentales y del comportamiento,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024,defunciones,Cuadro13
3.0,,045 Meningitis y otras enfermedades inflamatorias del sistema nervioso central,20,8,12,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,4,7,0,2,3,0,2024,defunciones,Cuadro13
3.0,,046 Epilepsia y otros trastornos episódicos y paroxísticos,17,10,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,0,5,4,0,2024,defunciones,Cuadro13
3.0,,047 Todas las demás enfermedades del sistema nervioso,24,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,6,5,0,2024,defunciones,Cuadro13
3.0,,053 Todas las demás formas de enfermedad del corazón,31,11,20,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,7,11,0,2,8,0,2024,defunciones,Cuadro13
3.0,,054 Insuficiencia cardíaca,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2024,defunciones,Cuadro13
3.0,,058 Enfermedades de los vasos sanguíneos y otras enfermedades del sistema circulatorio,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2024,defunciones,Cuadro13
3.0,,059 Neumonía,125,73,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,33,0,27,19,0,2024,defunciones,Cuadro13
3.0,,062 Todas las demás enfermedades del sistema respiratorio,115,60,55,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,36,33,0,20,20,0,2024,defunciones,Cuadro13
3.0,,064 Enfermedades del esófago y otras enfermedades del estómago y del duodeno,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2024,defunciones,Cuadro13
3.0,,"065 Enfermedades del apéndice, hernia y obstrucción intestinal",22,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,7,3,0,2024,defunciones,Cuadro13
3.0,,066 Enfermedades del hígado,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,2024,defunciones,Cuadro13
3.0,,"067 Trastornos de la vesícula biliar, de las vías biliares y del páncreas",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024,defunciones,Cuadro13
