columna,"CUADRO 6 - Defunciones por sitio donde ocurrió la defunción, según departamento de ocurrencia y régimen de seguridad social",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,año,tipo,hoja_origen
,Año 2024,,,,,,,,,,2024,defunciones,Cuadro6
,Volver al índice,,,,,,,,,,2024,defunciones,Cuadro6
,Departamento de ocurrencia y régimen de seguridad social del fallecido,,Total,Sitio donde ocurrió la defunción,,,,,,,2024,defunciones,Cuadro6
,,,,Hospital/clínica,Centro / puesto de salud,Casa/domicilio,Lugar de trabajo,Vía pública,Otro sitio,Sin información,2024,defunciones,Cuadro6
3.0,Total Nacional,TOTAL,275778,178647,1300,73012,708,11976,7719,2416,2024,defunciones,Cuadro6
3.0,,Contributivo,105883,70481,279,29452,279,3368,1881,143,2024,defunciones,Cuadro6
3.0,,Subsidiado,155104,99669,963,40900,374,7590,5134,474,2024,defunciones,Cuadro6
3.0,,Excepción,7079,5560,9,1444,2,17,45,2,2024,defunciones,Cuadro6
3.0,,Especial,679,439,1,228,1,4,6,0,2024,defunciones,Cuadro6
3.0,,No asegurado,2174,1579,15,504,6,37,32,1,2024,defunciones,Cuadro6
3.0,,Sin información,4859,919,33,484,46,960,621,1796,2024,defunciones,Cuadro6
5.0,05 Antioquia,TOTAL,38939,22694,90,12675,125,1724,1327,304,2024,defunciones,Cuadro6
5.0,,Contributivo,18856,10849,33,6882,53,609,388,42,2024,defunciones,Cuadro6
5.0,,Subsidiado,18531,10976,54,5461,63,995,825,157,2024,defunciones,Cuadro6
5.0,,Excepción,603,465,1,126,0,2,8,1,2024,defunciones,Cuadro6
5.0,,Especial,191,122,0,66,0,1,2,0,2024,defunciones,Cuadro6
5.0,,No asegurado,284,200,0,71,2,2,9,0,2024,defunciones,Cuadro6
5.0,,Sin información,474,82,2,69,7,115,95,104,2024,defunciones,Cuadro6
8.0,08 Atlántico,TOTAL,16473,12277,52,3016,9,424,650,45,2024,defunciones,Cuadro6
8.0,,Contributivo,5488,4133,16,1098,1,97,136,7,2024,defunciones,Cuadro6
8.0,,Subsidiado,10305,7710,35,1795,7,284,448,26,2024,defunciones,Cuadro6
8.0,,Excepción,360,302,0,58,0,0,0,0,2024,defunciones,Cuadro6
8.0,,Especial,36,29,0,7,0,0,0,0,2024,defunciones,Cuadro6
8.0,,No asegurado,143,86,1,46,1,8,1,0,2024,defunciones,Cuadro6
8.0,,Sin información,141,17,0,12,0,35,65,12,2024,defunciones,Cuadro6
11.0,11 Bogotá,TOTAL,42435,30258,24,10636,41,868,586,22,2024,defunciones,Cuadro6
11.0,,Contributivo,25383,17506,12,7229,25,353,253,5,2024,defunciones,Cuadro6
11.0,,Subsidiado,14078,10516,9,2848,14,402,280,9,2024,defunciones,Cuadro6
11.0,,Excepción,1922,1554,0,362,0,2,4,0,2024,defunciones,Cuadro6
11.0,,Especial,224,158,0,63,0,0,3,0,2024,defunciones,Cuadro6
11.0,,No asegurado,313,262,0,45,0,2,4,0,2024,defunciones,Cuadro6
11.0,,Sin información,515,262,3,89,2,109,42,8,2024,defunciones,Cuadro6
13.0,13 Bolívar,TOTAL,10463,7236,113,2067,34,544,262,207,2024,defunciones,Cuadro6
13.0,,Contributivo,2492,1888,23,432,10,90,48,1,2024,defunciones,Cuadro6
13.0,,Subsidiado,7317,5031,89,1566,21,417,180,13,2024,defunciones,Cuadro6
13.0,,Excepción,249,214,0,34,0,1,0,0,2024,defunciones,Cuadro6
13.0,,Especial,10,8,0,2,0,0,0,0,2024,defunciones,Cuadro6
13.0,,No asegurado,100,72,0,18,2,3,5,0,2024,defunciones,Cuadro6
13.0,,Sin información,295,23,1,15,1,33,29,193,2024,defunciones,Cuadro6
15.0,15 Boyacá,TOTAL,6921,3921,53,2424,49,251,204,19,2024,defunciones,Cuadro6
15.0,,Contributivo,2101,1301,12,633,26,90,39,0,2024,defunciones,Cuadro6
15.0,,Subsidiado,4544,2458,41,1725,19,148,150,3,2024,defunciones,Cuadro6
15.0,,Excepción,185,138,0,41,0,0,6,0,2024,defunciones,Cuadro6
15.0,,Especial,13,1,0,9,1,2,0,0,2024,defunciones,Cuadro6
15.0,,No asegurado,18,11,0,7,0,0,0,0,2024,defunciones,Cuadro6
15.0,,Sin información,60,12,0,9,3,11,9,16,2024,defunciones,Cuadro6
17.0,17 Caldas,TOTAL,6794,4368,28,2029,24,209,124,12,2024,defunciones,Cuadro6
17.0,,Contributivo,2888,1841,10,915,7,84,30,1,2024,defunciones,Cuadro6
17.0,,Subsidiado,3630,2358,17,1039,16,111,84,5,2024,defunciones,Cuadro6
17.0,,Excepción,196,139,0,54,0,3,0,0,2024,defunciones,Cuadro6
17.0,,Especial,11,7,0,4,0,0,0,0,2024,defunciones,Cuadro6
17.0,,No asegurado,23,14,0,8,1,0,0,0,2024,defunciones,Cuadro6
17.0,,Sin información,46,9,1,9,0,11,10,6,2024,defunciones,Cuadro6
18.0,18 Caquetá,TOTAL,1771,1012,8,522,7,99,111,12,2024,defunciones,Cuadro6
18.0,,Contributivo,207,139,1,39,3,14,11,0,2024,defunciones,Cuadro6
18.0,,Subsidiado,1494,844,7,468,4,77,90,4,2024,defunciones,Cuadro6
18.0,,Excepción,34,26,0,8,0,0,0,0,2024,defunciones,Cuadro6
18.0,,Especial,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro6
18.0,,No asegurado,5,0,0,5,0,0,0,0,2024,defunciones,Cuadro6
18.0,,Sin información,31,3,0,2,0,8,10,8,2024,defunciones,Cuadro6
19.0,19 Cauca,TOTAL,6369,2645,38,2063,21,768,283,551,2024,defunciones,Cuadro6
19.0,,Contributivo,1148,593,5,374,6,131,32,7,2024,defunciones,Cuadro6
19.0,,Subsidiado,4487,1957,33,1628,13,600,232,24,2024,defunciones,Cuadro6
19.0,,Excepción,111,74,0,34,0,2,1,0,2024,defunciones,Cuadro6
19.0,,Especial,11,4,0,7,0,0,0,0,2024,defunciones,Cuadro6
19.0,,No asegurado,14,11,0,3,0,0,0,0,2024,defunciones,Cuadro6
19.0,,Sin información,598,6,0,17,2,35,18,520,2024,defunciones,Cuadro6
20.0,20 Cesar,TOTAL,6356,4726,25,1050,18,356,159,22,2024,defunciones,Cuadro6
20.0,,Contributivo,1160,917,0,142,5,76,20,0,2024,defunciones,Cuadro6
