columna,columna_1,"CUADRO 15 - Defunciones por grupos de edad y sexo, según departamento, municipio de ocurrencia y grupos de causas externas  (Lista de causas agrupadas 6/67 cie-10 de OPS)",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,columna_27,columna_28,columna_29,columna_30,columna_31,columna_32,columna_33,columna_34,columna_35,columna_36,columna_37,columna_38,columna_39,columna_40,columna_41,columna_42,columna_43,columna_44,columna_45,columna_46,columna_47,columna_48,columna_49,columna_50,columna_51,columna_52,columna_53,columna_54,columna_55,columna_56,columna_57,columna_58,columna_59,columna_60,columna_61,columna_62,columna_63,columna_64,columna_65,columna_66,columna_67,columna_68,columna_69,columna_70,columna_71,columna_72,columna_73,columna_74,columna_75,columna_76,columna_77,columna_78,columna_79,columna_80,columna_81,columna_82,columna_83,columna_84,columna_85,columna_86,columna_87,columna_88,columna_89,columna_90,columna_91,columna_92,columna_93,columna_94,columna_95,columna_96,columna_97,año,tipo,hoja_origen
,,Año 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,defunciones,Cuadro15
,,Volver al índice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,defunciones,Cuadro15
,,Departamento y municipio de ocurrencia | LISTA 6/67 CIE 10 DE OPS,,,Total,Total,,,Menor 1 hora,,,De 1 a 23 horas,,,De 1 a 6 días,,,De 7 a 27 dias,,,De 28 a 29 días,,,De 1 a 5 meses,,,De 6 a 11 meses,,,De 1 año,,,De 2 a 4 años,,,De 5 a 9 años,,,De 10 a 14 años,,,De 15 a 19 años,,,De 20 a 24 años,,,De 25 a 29 años,,,De 30 a 34 años,,,De 35 a 39 años,,,De 40 a 44 años,,,De 45 a 49 años,,,De 50 a 54 años,,,De 55 a 59 años,,,De 60 a 64 años,,,De 65 a 69 años,,,De 70 a 74 años,,,De 75 a 79 años,,,De 80 a 84 años,,,De 85 a 89 años,,,De 90 a 94 años,,,De 95 a 99 años,,,De 100 años y más,,,Edad desconocida,,,2024,defunciones,Cuadro15
,,,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2024,defunciones,Cuadro15
3.0,3000.0,Total Nacional,,TOTAL,33810,28326,5445,39,0,0,0,0,0,0,4,0,0,1,1,0,1,0,0,15,19,2,9,8,0,52,42,0,103,60,0,113,50,0,241,136,0,2009,378,1,3897,526,1,4098,418,1,3521,378,3,2726,329,1,2167,298,1,1628,231,3,1389,208,8,1333,187,0,1243,244,2,1029,278,0,823,264,3,720,292,0,502,327,5,398,343,0,216,276,1,75,126,3,10,26,1,3,0,3,2024,defunciones,Cuadro15
3.0,3000.0,,,501 Accidentes de transporte terrestre,8653,7123,1530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,7,3,0,20,10,0,32,14,0,53,26,0,533,127,0,959,211,0,904,150,0,763,146,0,561,119,0,538,102,0,436,75,0,400,73,0,411,68,0,405,82,0,326,95,0,267,88,0,246,61,0,152,51,0,75,15,0,28,6,0,3,3,0,0,1,0,0,0,0,2024,defunciones,Cuadro15
3.0,3000.0,,,502 Los demás accidentes de transporte y los no especificados,73,59,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,6,4,0,5,5,0,11,1,0,7,0,0,9,0,0,4,1,0,3,0,0,5,0,0,3,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro15
3.0,3000.0,,,503 Caídas,1980,1371,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1,0,3,2,0,4,1,0,4,2,0,12,4,0,21,3,0,43,4,0,37,7,0,39,2,0,41,9,0,71,8,0,75,7,0,112,12,0,134,32,0,164,48,0,136,41,0,140,75,0,122,106,0,121,113,0,67,83,0,19,42,0,1,7,0,0,0,0,2024,defunciones,Cuadro15
3.0,3000.0,,,504 Accidentes por disparo de arma de fuego,18,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro15
3.0,3000.0,,,505 Ahogamiento y sumersión accidentales,708,597,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,16,0,40,14,0,31,8,0,26,10,0,64,3,0,80,8,0,49,7,0,47,7,0,35,6,0,34,3,0,23,5,0,32,3,0,22,2,0,27,6,0,15,3,0,27,6,0,13,2,0,6,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro15
3.0,3000.0,,,506 Accidentes que obstruyen la respiración,349,230,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,4,0,8,7,0,7,2,0,7,1,0,4,2,0,6,2,0,14,1,0,10,1,0,8,4,0,16,1,0,10,3,0,4,5,0,15,5,0,17,3,0,15,13,0,12,9,0,16,8,0,18,16,0,20,11,0,12,7,0,4,9,0,0,2,0,0,0,0,2024,defunciones,Cuadro15
3.0,3000.0,,,507 Exposición a la corriente eléctrica,240,224,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,2,0,2,0,0,4,0,0,3,2,0,19,0,0,28,1,0,32,1,0,30,0,0,25,2,0,21,3,0,14,0,0,17,1,0,16,1,0,4,1,0,2,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro15
3.0,3000.0,,,"508 Exposición al humo, fuego y llamas",128,88,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,1,2,0,3,0,0,2,3,0,4,0,0,8,2,0,2,1,0,7,2,0,4,1,0,3,2,0,4,1,0,8,1,0,9,5,0,10,5,0,6,4,0,4,3,0,7,3,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro15
3.0,3000.0,,,509 Envenenamiento accidental por exposición a sustancias nocivas,291,233,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,4,2,0,1,0,0,2,0,0,11,4,0,15,4,0,35,8,0,39,5,0,28,4,0,22,6,0,18,1,0,19,4,0,7,1,0,10,1,0,6,5,0,8,5,0,4,1,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro15
3.0,3000.0,,,"510 Otros accidentes, inclusive secuelas",1725,1082,643,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,2,1,0,6,1,0,9,9,0,12,6,0,12,11,0,17,4,0,42,7,0,74,16,0,52,11,0,70,15,0,57,18,0,69,17,0,87,16,0,72,16,0,76,21,0,68,35,0,59,39,0,75,66,0,72,77,0,79,118,0,47,89,0,19,40,0,4,8,0,0,0,0,2024,defunciones,Cuadro15
3.0,3000.0,,,511 Lesiones autoinfligidas intencionalmente (suicidios),3066,2461,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,66,54,0,205,112,0,322,102,0,323,54,0,244,56,0,238,44,0,182,36,0,141,31,0,137,29,0,159,25,0,131,26,0,131,13,0,84,12,0,51,6,0,16,3,0,20,1,0,8,0,0,1,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro15
3.0,3000.0,,,512 Agresiones (homicidios),14130,13069,1042,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,2,3,0,3,4,0,9,7,0,9,10,0,42,19,0,1100,95,0,2309,161,1,2483,151,1,2161,125,2,1588,118,1,1119,103,0,743,75,1,513,52,6,408,33,0,268,32,0,144,20,0,87,15,0,48,8,0,13,6,3,7,1,0,2,1,0,2,0,2,0,0,0,3,0,2,2024,defunciones,Cuadro15
3.0,3000.0,,,513 Eventos de intención no determinada,2196,1603,574,19,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,6,2,2,2,0,5,7,0,6,7,0,11,5,0,21,9,0,52,22,1,105,23,0,122,18,0,113,15,1,104,14,0,110,17,1,77,8,2,85,16,2,86,20,0,134,33,2,120,34,0,118,42,3,106,54,0,88,57,1,63,66,0,46,66,1,20,27,1,3,5,1,0,0,1,2024,defunciones,Cuadro15
3.0,3000.0,,,514 Las demás causas externas,253,171,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,6,1,0,7,1,0,8,2,0,10,1,0,10,0,0,12,2,0,15,2,0,10,3,0,13,1,0,23,5,0,16,3,0,16,8,0,6,8,0,6,15,0,4,21,0,5,5,0,2,3,0,0,0,0,2024,defunciones,Cuadro15
5.0,5000.0,05 Antioquia,Total Dpto,TOTAL,4657,3879,775,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,5,0,0,3,0,4,5,0,19,9,0,14,6,0,35,16,0,255,38,0,522,65,0,570,46,0,476,49,0,403,47,0,290,50,0,211,31,0,185,35,0,178,22,0,185,39,0,178,45,0,103,50,0,91,45,0,69,53,0,48,47,0,21,49,0,15,16,3,0,4,0,2,0,0,2024,defunciones,Cuadro15
5.0,5000.0,,,501 Accidentes de transporte terrestre,1111,919,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,5,1,0,4,2,0,9,2,0,79,16,0,119,25,0,140,16,0,99,18,0,79,16,0,61,17,0,56,9,0,51,10,0,46,6,0,41,14,0,47,4,0,27,19,0,31,8,0,17,4,0,4,1,0,2,3,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro15
5.0,5000.0,,,502 Los demás accidentes de transporte y los no especificados,11,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro15
5.0,5000.0,,,503 Caídas,296,204,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,1,0,5,0,0,7,1,0,10,1,0,6,0,0,6,3,0,6,0,0,14,0,0,22,2,0,26,8,0,33,12,0,14,7,0,19,10,0,12,14,0,13,13,0,7,11,0,2,5,0,0,1,0,0,0,0,2024,defunciones,Cuadro15
5.0,5000.0,,,505 Ahogamiento y sumersión accidentales,90,78,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,9,1,0,4,0,0,5,0,0,8,0,0,10,2,0,6,0,0,4,0,0,11,0,0,3,1,0,2,0,0,5,0,0,5,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro15
5.0,5000.0,,,506 Accidentes que obstruyen la respiración,65,39,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,4,0,0,2,1,0,1,0,0,0,2,0,8,1,0,5,1,0,4,2,0,3,0,0,2,6,0,4,3,0,2,3,0,1,1,0,0,1,0,0,0,0,2024,defunciones,Cuadro15
5.0,5000.0,,,507 Exposición a la corriente eléctrica,23,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,5,0,0,3,0,0,1,1,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro15
