,Departamento de residencia | Grupos de causas de defunción (Lista Colombia 105 para la tabulación de mortalidad),,Total,Total,,,Menor 1 hora,,,De 1 a 23 horas,,,De 1 a 6 días,,,De 7 a 27 dias,,,De 28 a 29 días,,,De 1 a 5 meses,,,De 6 a 11 meses,,,De 1 año,,,De 2 a 4 años,,,De 5 a 9 años,,,De 10 a 14 años,,,De 15 a 19 años,,,De 20 a 24 años,,,De 25 a 29 años,,,De 30 a 34 años,,,De 35 a 39 años,,,De 40 a 44 años,,,De 45 a 49 años,,,De 50 a 54 años,,,De 55 a 59 años,,,De 60 a 64 años,,,De 65 a 69 años,,,De 70 a 74 años,,,De 75 a 79 años,,,De 80 a 84 años,,,De 85 a 89 años,,,De 90 a 94 años,,,De 95 a 99 años,,,De 100 años y más,,,Edad desconocida,,,2024,defunciones,Cuadro12
,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2024,defunciones,Cuadro12
3.0,,006 Todas las demás enfermedades bacterianas,502,271,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,1,2,0,1,0,0,2,1,0,1,1,0,8,1,0,9,2,0,4,1,0,3,5,0,6,7,0,9,6,0,8,6,0,10,8,0,13,5,0,19,18,0,16,16,0,28,16,0,34,29,0,34,34,0,25,31,0,21,25,0,10,12,0,3,2,0,1,0,0,0,0,0,2024,defunciones,Cuadro12
3.0,,007 Sífilis y otras enfermedades venéreas,50,31,19,0,0,0,0,2,2,0,3,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,2,3,0,3,0,0,4,1,0,5,0,0,2,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro12
3.0,,008 Hepatitis viral y secuelas,139,87,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,3,1,0,6,1,0,2,0,0,14,4,0,8,6,0,8,7,0,16,8,0,13,6,0,8,4,0,7,2,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,2024,defunciones,Cuadro12
3.0,,009 Enfermedad por el VIH (SIDA),2171,1660,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,72,21,0,192,52,0,249,60,0,222,76,0,193,77,0,187,72,0,142,42,0,122,40,0,105,32,0,78,15,0,43,10,0,21,4,0,12,4,0,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2024,defunciones,Cuadro12
3.0,,010 Todas las demás enfermedades infecciosas y parasitarias,1122,638,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,0,10,6,0,3,5,0,11,14,0,3,3,0,7,2,0,11,2,0,8,6,0,11,10,0,13,12,0,16,10,0,20,7,0,14,16,0,19,12,0,35,24,0,53,31,0,57,46,0,71,64,0,75,46,0,70,44,0,71,58,0,39,28,0,10,21,0,2,3,0,0,0,0,2024,defunciones,Cuadro12
3.0,,"011 Tumores malignos del labio, de la cavidad bucal y de la faringe",932,549,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,3,0,0,4,2,0,3,4,0,8,12,0,14,8,0,19,11,0,22,18,0,68,21,0,87,50,0,71,46,0,66,55,0,72,39,0,57,44,0,35,40,0,17,21,0,1,9,0,0,1,0,0,0,0,2024,defunciones,Cuadro12
3.0,,012 Tumor maligno del esófago,704,473,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,2,0,0,6,2,0,6,3,0,9,2,0,15,4,0,35,17,0,55,23,0,65,19,0,80,37,0,70,34,0,60,33,0,38,30,0,24,21,0,5,4,0,0,1,0,0,0,0,2024,defunciones,Cuadro12
3.0,,013 Tumor maligno del estómago,5273,3206,2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,9,9,0,12,21,0,46,42,0,75,79,0,106,100,0,159,125,0,200,123,0,300,174,0,383,205,0,468,216,0,437,225,0,403,237,0,320,222,0,202,165,0,64,98,0,19,21,0,2,3,0,0,0,0,2024,defunciones,Cuadro12
3.0,,"014 Tumor maligno del colon, de la unión rectosigmoidea, recto y ano",5170,2427,2743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,11,7,0,14,8,0,33,30,0,39,44,0,72,62,0,75,88,0,133,159,0,211,224,0,283,297,0,318,368,0,341,345,0,323,341,0,271,343,0,197,268,0,71,123,0,26,29,0,4,6,0,0,0,0,2024,defunciones,Cuadro12
3.0,,015 Tumor maligno del hígado,2246,1154,1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4,1,0,1,0,0,0,0,0,0,0,0,7,1,0,7,3,0,6,4,0,8,10,0,17,13,0,22,25,0,38,36,0,84,72,0,134,99,0,182,141,0,192,184,0,185,160,0,144,146,0,89,120,0,22,58,0,8,14,0,2,4,0,0,0,0,2024,defunciones,Cuadro12
3.0,,016 Tumor maligno de la vesícula biliar y de las vías biliares,1378,474,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,1,0,3,4,0,6,11,0,16,33,0,33,55,0,39,78,0,64,116,0,65,124,0,64,123,0,68,137,0,58,97,0,30,73,0,19,38,0,4,9,0,2,2,0,0,0,0,2024,defunciones,Cuadro12
3.0,,017 Tumor maligno del páncreas,2420,1162,1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,5,0,6,4,0,12,6,0,15,20,0,47,29,0,62,60,0,119,105,0,146,142,0,188,194,0,178,197,0,160,176,0,115,146,0,65,104,0,30,55,0,12,13,0,2,1,0,0,0,0,2024,defunciones,Cuadro12
3.0,,018 Todos los demás tumores malignos de los órganos digestivos y del peritoneo,842,418,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,7,4,0,6,6,0,9,15,0,14,19,0,23,16,0,39,34,0,46,58,0,80,56,0,67,61,0,44,53,0,43,53,0,29,39,0,9,6,0,1,1,0,0,0,0,0,0,0,2024,defunciones,Cuadro12
3.0,,019 Tumor maligno de la laringe,395,339,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,3,0,0,4,2,0,9,3,0,25,3,0,39,6,0,49,10,0,51,7,0,55,9,0,58,6,0,33,5,0,8,3,0,3,0,0,1,0,0,0,0,0,2024,defunciones,Cuadro12
