columna,columna_1,"CUADRO 4  -  Defunciones por grupos de edad y sexo, según departamento, municipio y área de residencia",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,columna_27,columna_28,columna_29,columna_30,columna_31,columna_32,columna_33,columna_34,columna_35,columna_36,columna_37,columna_38,columna_39,columna_40,columna_41,columna_42,columna_43,columna_44,columna_45,columna_46,columna_47,columna_48,columna_49,columna_50,columna_51,columna_52,columna_53,columna_54,columna_55,columna_56,columna_57,columna_58,columna_59,columna_60,columna_61,columna_62,columna_63,columna_64,columna_65,columna_66,columna_67,columna_68,columna_69,columna_70,columna_71,columna_72,columna_73,columna_74,columna_75,columna_76,columna_77,columna_78,columna_79,columna_80,columna_81,columna_82,columna_83,columna_84,columna_85,columna_86,columna_87,columna_88,columna_89,columna_90,columna_91,columna_92,columna_93,columna_94,columna_95,columna_96,columna_97,año,tipo,hoja_origen
,,Año 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,defunciones,Cuadro4
,,Volver al índice,,Departamento,,,,Municipio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,defunciones,Cuadro4
,,"Departamento, municipio y área de residencia",,,Total,Total,,,Grupos de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,defunciones,Cuadro4
,,,,,,,,,Menor 1 hora,,,De 1 a 23 horas,,,De 1 a 6 días,,,De 7 a 27 dias,,,De 28 a 29 días,,,De 1 a 5 meses,,,De 6 a 11 meses,,,De 1 año,,,De 2 a 4 años,,,De 5 a 9 años,,,De 10 a 14 años,,,De 15 a 19 años,,,De 20 a 24 años,,,De 25 a 29 años,,,De 30 a 34 años,,,De 35 a 39 años,,,De 40 a 44 años,,,De 45 a 49 años,,,De 50 a 54 años,,,De 55 a 59 años,,,De 60 a 64 años,,,De 65 a 69 años,,,De 70 a 74 años,,,De 75 a 79 años,,,De 80 a 84 años,,,De 85 a 89 años,,,De 90 a 94 años,,,De 95 a 99 años,,,De 100 años y más,,,Edad desconocida,,,2023,defunciones,Cuadro4
,,,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2023,defunciones,Cuadro4
3.0,3000.0,Total Nacional,,TOTAL,268411,147544,120827,40,151,108,3,310,223,1,837,613,2,672,540,1,33,21,0,844,592,0,380,279,0,373,291,0,438,344,0,448,365,0,660,516,0,2826,886,1,5082,1149,0,5426,1268,0,5019,1499,1,4405,1820,0,4492,2475,1,4510,2913,1,5610,3903,7,7617,5581,0,10348,7267,3,12756,9235,0,15068,11066,4,15878,13252,0,16396,16091,4,13977,17056,1,8877,13546,1,3277,6123,0,672,1727,1,162,78,8,2023,defunciones,Cuadro4
3.0,3000.0,,,Cabecera municipal,210906,112487,98416,3,112,74,1,219,146,1,590,433,1,468,388,0,22,11,0,526,366,0,203,172,0,186,140,0,264,197,0,292,247,0,461,340,0,1969,613,0,3665,838,0,3990,957,0,3696,1162,0,3229,1403,0,3309,1915,0,3337,2276,0,4254,3103,0,5883,4605,0,8034,5927,0,10083,7620,0,11720,9118,0,12368,10883,0,12694,13238,0,10883,14154,0,6919,11406,0,2553,5216,0,558,1468,0,0,0,0,2023,defunciones,Cuadro4
3.0,3000.0,,,Centro poblado,12668,7314,5353,1,12,8,1,16,19,0,61,36,0,41,36,0,3,2,0,49,32,0,38,18,0,30,22,0,32,21,0,24,24,0,44,28,0,130,45,0,240,57,0,258,65,0,245,67,0,188,100,0,224,127,0,206,146,0,260,195,0,362,214,0,489,331,0,582,387,0,724,459,0,793,585,0,837,714,0,723,761,0,495,543,0,179,237,0,29,74,0,0,0,0,2023,defunciones,Cuadro4
3.0,3000.0,,,Rural disperso,37839,22527,15311,1,24,25,1,71,54,0,168,125,0,152,106,0,8,7,0,236,179,0,115,75,0,129,105,0,112,95,0,103,75,0,124,111,0,457,167,0,662,178,0,641,196,0,630,216,0,567,253,0,624,362,0,716,436,0,829,530,0,1129,699,0,1575,920,0,1841,1138,0,2362,1375,0,2495,1658,0,2625,1997,0,2205,1984,0,1352,1472,0,498,610,0,77,163,0,0,0,0,2023,defunciones,Cuadro4
3.0,3000.0,,,Sin información,6998,5216,1747,35,3,1,0,4,4,0,18,19,1,11,10,1,0,1,0,33,15,0,24,14,0,28,24,0,30,31,0,29,19,0,31,37,0,270,61,1,515,76,0,537,50,0,448,54,1,421,64,0,335,71,1,251,55,1,267,75,7,243,63,0,250,89,3,250,90,0,262,114,4,222,126,0,240,142,4,166,157,1,111,125,1,47,60,0,8,22,1,162,78,8,2023,defunciones,Cuadro4
