columna,"CUADRO 9 - Defunciones por pertenencia étnico-racial del fallecido y sexo, según departamento de residencia",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,año,tipo,hoja_origen
,Año 2023,,,,,,,,,,,,,,,,,,,,,,,,,,2023,defunciones,Cuadro9
,Volver al índice,,,Departamento,,,,,,,,,,,,,,,,,,,,,,,2023,defunciones,Cuadro9
,Departamento de residencia,Total,Total,,,Indígena,,,Rom (Gitano),,,Raizal del archipielago de San Andres y Providencia,,,Palenquero de San Basilio,,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",,,Ninguno de las anteriores,,,Sin información,,,2023,defunciones,Cuadro9
,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2023,defunciones,Cuadro9
3.0,Total Nacional,268411,147544,120827,40,2641,2184,1,18,12,0,95,84,0,12,14,0,5029,4384,1,138527,113263,38,1222,886,0,2023,defunciones,Cuadro9
5.0,05 Antioquia,36680,19585,17095,0,49,53,0,0,2,0,1,1,0,0,1,0,454,422,0,19081,16616,0,0,0,0,2023,defunciones,Cuadro9
8.0,08 Atlántico,14538,7692,6846,0,13,13,0,5,2,0,0,1,0,3,1,0,177,186,0,7494,6643,0,0,0,0,2023,defunciones,Cuadro9
11.0,11 Bogotá,35052,17820,17232,0,25,19,0,1,0,0,1,0,0,2,0,0,77,75,0,17714,17138,0,0,0,0,2023,defunciones,Cuadro9
13.0,13 Bolívar,10771,5908,4863,0,4,1,0,0,0,0,1,1,0,4,9,0,405,364,0,5494,4488,0,0,0,0,2023,defunciones,Cuadro9
15.0,15 Boyacá,7237,4028,3209,0,14,10,0,0,0,0,0,1,0,0,0,0,4,3,0,4010,3195,0,0,0,0,2023,defunciones,Cuadro9
17.0,17 Caldas,6682,3631,3051,0,129,127,0,0,0,0,0,0,0,0,0,0,18,13,0,3484,2911,0,0,0,0,2023,defunciones,Cuadro9
18.0,18 Caquetá,1933,1150,783,0,13,10,0,0,0,0,0,0,0,0,0,0,8,7,0,1129,766,0,0,0,0,2023,defunciones,Cuadro9
19.0,19 Cauca,6852,3942,2910,0,519,368,0,0,0,0,1,0,0,2,0,0,471,348,0,2948,2194,0,1,0,0,2023,defunciones,Cuadro9
20.0,20 Cesar,5587,3160,2427,0,81,67,0,1,0,0,1,1,0,1,0,0,46,50,0,3030,2309,0,0,0,0,2023,defunciones,Cuadro9
23.0,23 Córdoba,8280,4483,3797,0,60,70,0,1,0,0,1,0,0,0,0,0,85,50,0,4336,3677,0,0,0,0,2023,defunciones,Cuadro9
25.0,25 Cundinamarca,15516,8606,6910,0,12,13,0,1,1,0,0,1,0,0,0,0,36,38,0,8557,6857,0,0,0,0,2023,defunciones,Cuadro9
27.0,27 Chocó,1919,1081,838,0,133,115,0,1,0,0,1,0,0,0,0,0,712,612,0,234,111,0,0,0,0,2023,defunciones,Cuadro9
41.0,41 Huila,6614,3769,2843,2,17,14,0,1,0,0,0,0,0,0,0,0,6,8,0,3745,2821,2,0,0,0,2023,defunciones,Cuadro9
44.0,44 La Guajira,3198,1803,1395,0,451,429,0,0,1,0,0,0,0,0,0,0,51,45,0,1301,920,0,0,0,0,2023,defunciones,Cuadro9
47.0,47 Magdalena,6671,3731,2940,0,25,15,0,0,0,0,0,2,0,0,0,0,66,51,0,3640,2872,0,0,0,0,2023,defunciones,Cuadro9
50.0,50 Meta,5642,3279,2362,1,41,28,0,0,0,0,0,0,0,0,1,0,21,14,0,3217,2319,1,0,0,0,2023,defunciones,Cuadro9
52.0,52 Nariño,7718,4159,3557,2,362,290,0,0,0,0,0,1,0,0,0,0,484,437,1,3313,2829,1,0,0,0,2023,defunciones,Cuadro9
54.0,54 Norte de Santander,8655,4820,3835,0,7,10,0,2,1,0,1,0,0,0,0,0,11,10,0,4799,3814,0,0,0,0,2023,defunciones,Cuadro9
63.0,63 Quindío,4312,2403,1909,0,5,2,0,0,0,0,0,0,0,0,0,0,13,11,0,2385,1895,0,0,1,0,2023,defunciones,Cuadro9
66.0,66 Risaralda,6771,3728,3043,0,78,48,0,0,1,0,0,0,0,0,0,0,40,38,0,3610,2956,0,0,0,0,2023,defunciones,Cuadro9
68.0,68 Santander,12279,6693,5586,0,3,3,0,0,0,0,0,0,0,0,1,0,24,13,0,6666,5569,0,0,0,0,2023,defunciones,Cuadro9
70.0,70 Sucre,4672,2630,2042,0,45,39,0,0,0,0,0,0,0,0,0,0,153,106,0,2432,1897,0,0,0,0,2023,defunciones,Cuadro9
73.0,73 Tolima,9028,5071,3957,0,90,74,0,1,0,0,0,0,0,0,0,0,23,8,0,4957,3875,0,0,0,0,2023,defunciones,Cuadro9
76.0,76 Valle del Cauca,29304,15863,13441,0,49,39,0,4,2,0,5,2,0,0,1,0,1518,1415,0,14287,11982,0,0,0,0,2023,defunciones,Cuadro9
81.0,81 Arauca,1212,759,453,0,29,20,0,0,0,0,0,0,0,0,0,0,12,6,0,718,427,0,0,0,0,2023,defunciones,Cuadro9
85.0,85 Casanare,1824,1098,726,0,11,7,0,0,0,0,0,1,0,0,0,0,4,1,0,1083,717,0,0,0,0,2023,defunciones,Cuadro9
86.0,86 Putumayo,1364,866,498,0,68,65,0,0,0,0,1,0,0,0,0,0,30,16,0,767,417,0,0,0,0,2023,defunciones,Cuadro9
88.0,88 Archipiélago de San Andrés y Providencia,342,193,149,0,0,0,0,0,0,0,78,72,0,0,0,0,11,16,0,104,61,0,0,0,0,2023,defunciones,Cuadro9
91.0,91 Amazonas,221,141,80,0,58,33,0,0,1,0,0,0,0,0,0,0,0,0,0,83,46,0,0,0,0,2023,defunciones,Cuadro9
94.0,94 Guainía,150,84,66,0,57,49,0,0,0,0,0,0,0,0,0,0,0,0,0,27,17,0,0,0,0,2023,defunciones,Cuadro9
95.0,95 Guaviare,350,213,137,0,17,20,0,0,1,0,0,0,0,0,0,0,4,4,0,192,112,0,0,0,0,2023,defunciones,Cuadro9
97.0,97 Vaupés,128,68,60,0,54,53,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,2023,defunciones,Cuadro9
