"CUADRO 8 - Defunciones maternas por grupos de edad, según lista de causas a 3 caracteres CIE-10",columna,columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,año,tipo,hoja_origen
Año 2023,,,,,,,,,,,,2023,defunciones,Cuadro8
Lista de causas a 3 caracteres,Total,Grupos de edad,,,,,,,,,,2023,defunciones,Cuadro8
,,"10 - 14
 años","15 - 19
 años","20 - 24
 años","25 - 29
 años","30 - 34
 años","35 - 39
 años","40 - 44
 años","45 - 49
 años","50 - 54
 años",Edad desconocida,2023,defunciones,Cuadro8
Total Nacional,415,8,51,84,81,85,73,28,5,0,0,2023,defunciones,Cuadro8
O00 EMBARAZO ECTÓPICO,12,0,0,6,0,2,2,2,0,0,0,2023,defunciones,Cuadro8
O01 MOLA HIDATIFORME,1,0,0,0,1,0,0,0,0,0,0,2023,defunciones,Cuadro8
O05 OTRO ABORTO,1,0,0,0,0,0,1,0,0,0,0,2023,defunciones,Cuadro8
O06 ABORTO NO ESPECIFICADO,4,0,1,1,1,0,0,1,0,0,0,2023,defunciones,Cuadro8
O13 HIPERTENSIÓN GESTACIONAL [INDUCIDA POR EL EMBARAZO],3,0,0,0,1,1,1,0,0,0,0,2023,defunciones,Cuadro8
O14 PREECLAMPSIA,22,0,2,4,3,5,6,2,0,0,0,2023,defunciones,Cuadro8
O15 ECLAMPSIA,21,2,6,5,2,3,3,0,0,0,0,2023,defunciones,Cuadro8
O22 COMPLICACIONES VENOSAS Y HEMORROIDES EN EL EMBARAZO,2,0,0,0,1,1,0,0,0,0,0,2023,defunciones,Cuadro8
O23 INFECCIÓN DE LAS VÍAS URINARIAS EN EL EMBARAZO,2,0,0,2,0,0,0,0,0,0,0,2023,defunciones,Cuadro8
O41 OTROS TRASTORNOS DEL LÍQUIDO AMNIÓTICO Y DE LAS MEMBRANAS,3,0,0,2,1,0,0,0,0,0,0,2023,defunciones,Cuadro8
O42 RUPTURA PREMATURA DE LAS MEMBRANAS,2,0,0,1,0,0,0,0,1,0,0,2023,defunciones,Cuadro8
O43 TRASTORNOS PLACENTARIOS,2,0,0,0,1,1,0,0,0,0,0,2023,defunciones,Cuadro8
O44 PLACENTA PREVIA,1,0,0,0,0,0,1,0,0,0,0,2023,defunciones,Cuadro8
O45 DESPRENDIMIENTO PREMATURO DE LA PLACENTA [ABRUPTIO PLACENTAE],5,0,0,0,1,1,2,1,0,0,0,2023,defunciones,Cuadro8
"O46 HEMORRAGIA ANTEPARTO, NO CLASIFICADA EN OTRA PARTE",3,0,0,0,2,0,1,0,0,0,0,2023,defunciones,Cuadro8
O62 ANORMALIDADES DE LA DINÁMICA DEL TRABAJO DE PARTO,1,0,0,1,0,0,0,0,0,0,0,2023,defunciones,Cuadro8
O71 OTRO TRAUMA OBSTÉTRICO,6,0,0,1,2,2,1,0,0,0,0,2023,defunciones,Cuadro8
O72 HEMORRAGIA POSTPARTO,29,1,4,5,4,5,6,3,1,0,0,2023,defunciones,Cuadro8
"O75 OTRAS COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO, NO CLASIFICADAS EN OTRA PARTE",4,0,1,1,0,1,1,0,0,0,0,2023,defunciones,Cuadro8
O85 SEPSIS PUERPERAL,11,0,4,2,3,0,1,1,0,0,0,2023,defunciones,Cuadro8
O86 OTRAS INFECCIONES PUERPERALES,4,0,0,1,0,0,3,0,0,0,0,2023,defunciones,Cuadro8
O87 COMPLICACIONES VENOSAS Y HEMORROIDES EN EL PUERPERIO,4,0,1,1,1,1,0,0,0,0,0,2023,defunciones,Cuadro8
O88 EMBOLIA OBSTÉTRICA,15,0,0,1,1,7,5,1,0,0,0,2023,defunciones,Cuadro8
"O90 COMPLICACIONES DEL PUERPERIO, NO CLASIFICADAS EN OTRA PARTE",2,0,0,0,1,0,1,0,0,0,0,2023,defunciones,Cuadro8
O95 MUERTE OBSTÉTRICA DE CAUSA NO ESPECIFICADA,10,1,2,0,4,1,2,0,0,0,0,2023,defunciones,Cuadro8
O96 MUERTE MATERNA DEBIDA A CUALQUIER CAUSA OBSTÉTRICA QUE OCURRE DESPUÉS DE 42 DÍAS PERO ANTES DE UN AÑO DEL PARTO,171,1,20,38,34,39,25,13,1,0,0,2023,defunciones,Cuadro8
O97 MUERTE POR SECUELAS DE CAUSAS OBSTÉTRICAS,2,0,0,0,0,0,0,2,0,0,0,2023,defunciones,Cuadro8
"O98 ENFERMEDADES MATERNAS INFECCIOSAS Y PARASITARIAS CLASIFICABLES EN OTRA PARTE, PERO QUE COMPLICAN EL EMBARAZO, EL PARTO Y EL PUERPERIO",17,1,6,6,2,1,0,1,0,0,0,2023,defunciones,Cuadro8
"O99 OTRAS ENFERMEDADES MATERNAS CLASIFICABLES EN OTRA PARTE, PERO QUE COMPLICAN EL EMBARAZO, EL PARTO Y EL PUERPERIO",55,2,4,6,15,14,11,1,2,0,0,2023,defunciones,Cuadro8
Fecha de actualización: 19 de diciembre de 2024,,,,,,,,,,,,2023,defunciones,Cuadro8
