,,Departamento y municipio de ocurrencia | LISTA 6/67 CIE 10 DE OPS,,,Total,Total,,,Menor 1 hora,,,De 1 a 23 horas,,,De 1 a 6 días,,,De 7 a 27 dias,,,De 28 a 29 días,,,De 1 a 5 meses,,,De 6 a 11 meses,,,De 1 año,,,De 2 a 4 años,,,De 5 a 9 años,,,De 10 a 14 años,,,De 15 a 19 años,,,De 20 a 24 años,,,De 25 a 29 años,,,De 30 a 34 años,,,De 35 a 39 años,,,De 40 a 44 años,,,De 45 a 49 años,,,De 50 a 54 años,,,De 55 a 59 años,,,De 60 a 64 años,,,De 65 a 69 años,,,De 70 a 74 años,,,De 75 a 79 años,,,De 80 a 84 años,,,De 85 a 89 años,,,De 90 a 94 años,,,De 95 a 99 años,,,De 100 años y más,,,Edad desconocida,,,2023,defunciones,Cuadro15
,,,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2023,defunciones,Cuadro15
3.0,3000.0,,,506 Accidentes que obstruyen la respiración,463,316,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,0,11,3,0,7,5,0,4,9,0,10,1,0,8,3,0,13,4,0,15,3,0,13,1,0,20,1,0,18,4,0,19,1,0,20,2,0,21,9,0,21,10,0,20,10,0,17,12,0,25,10,0,18,19,0,18,15,0,12,11,0,1,9,0,0,3,0,0,0,0,2023,defunciones,Cuadro15
3.0,3000.0,,,507 Exposición a la corriente eléctrica,266,247,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,2,0,0,2,0,8,2,0,15,1,0,20,2,0,39,1,0,32,3,0,30,0,0,28,2,0,18,0,0,15,1,0,15,1,0,7,2,0,6,0,0,4,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro15
3.0,3000.0,,,"508 Exposición al humo, fuego y llamas",132,96,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,3,2,0,1,2,0,2,1,0,3,1,0,9,2,0,4,2,0,7,1,0,5,1,0,10,1,0,4,1,0,7,1,0,11,1,0,3,3,0,3,2,0,7,3,0,4,3,0,5,2,0,3,2,0,2,0,0,0,1,0,0,0,0,0,0,0,2023,defunciones,Cuadro15
3.0,3000.0,,,509 Envenenamiento accidental por exposición a sustancias nocivas,303,251,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,6,3,0,4,3,0,3,1,0,1,1,0,11,6,0,26,2,0,35,4,0,25,6,0,34,6,0,26,4,0,22,2,0,10,4,0,15,1,0,12,3,0,8,1,0,7,2,0,1,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro15
3.0,3000.0,,,"510 Otros accidentes, inclusive secuelas",1929,1221,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,7,6,0,14,3,0,8,4,0,14,5,0,39,9,0,53,9,0,76,15,0,57,9,0,73,16,0,70,17,0,72,17,0,78,18,0,81,21,0,76,25,0,82,28,0,86,34,0,70,90,0,86,99,0,88,123,0,61,102,0,22,45,0,4,9,0,1,0,0,2023,defunciones,Cuadro15
3.0,3000.0,,,511 Lesiones autoinfligidas intencionalmente (suicidios),3301,2559,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,53,60,0,232,139,0,376,112,0,277,81,0,258,66,0,191,44,0,180,64,0,162,38,0,177,28,0,148,32,0,148,28,0,129,19,0,100,17,0,64,7,0,36,4,0,23,2,0,3,1,0,1,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro15
3.0,3000.0,,,512 Agresiones (homicidios),14309,13279,1024,6,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,5,3,0,4,0,0,5,4,0,10,13,0,14,9,0,37,18,0,1105,97,0,2416,150,0,2559,157,0,2155,134,0,1545,119,0,1166,102,1,753,68,1,548,53,2,364,27,0,253,25,0,175,14,0,83,12,0,45,4,0,25,8,1,7,2,0,1,1,0,3,2,0,0,0,0,0,0,0,2023,defunciones,Cuadro15
3.0,3000.0,,,513 Eventos de intención no determinada,2049,1547,482,20,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,2,0,6,3,0,6,4,0,14,3,0,14,10,0,18,19,0,63,22,1,113,18,0,121,29,0,134,22,1,91,19,0,107,18,0,75,16,0,109,13,1,89,25,0,110,28,3,91,15,0,113,28,3,95,28,0,78,45,3,53,50,1,31,40,1,9,16,0,1,8,1,2,0,5,2023,defunciones,Cuadro15
3.0,3000.0,,,514 Las demás causas externas,242,179,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,5,0,0,3,1,0,10,0,0,9,2,0,13,3,0,10,1,0,10,3,0,10,3,0,15,2,0,17,2,0,17,3,0,17,4,0,13,0,0,12,10,0,9,13,0,6,8,0,2,6,0,0,0,0,0,0,0,2023,defunciones,Cuadro15
5.0,5000.0,05 Antioquia,Total Dpto,TOTAL,4842,4078,763,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,9,5,0,16,8,0,8,7,0,34,17,0,300,61,0,594,70,0,581,64,0,466,57,0,383,44,0,320,53,0,237,24,0,209,22,0,180,34,0,175,36,0,172,27,0,132,33,0,91,52,0,79,48,0,46,45,0,29,30,0,8,18,0,2,6,1,1,0,0,2023,defunciones,Cuadro15
