columna,"CUADRO 10 - Defunciones por probable manera de muerte y sexo, según departamento de ocurrencia",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_25,año,tipo,hoja_origen
,Año 2023,,,,,,,,,,,,,,,2023,defunciones,Cuadro10
,Volver al índice,,,,Departamento,,,,,,,,,,,2023,defunciones,Cuadro10
,Departamento de ocurrencia,Total,Total,,,Natural,,,No natural,,,En estudio,,,,2023,defunciones,Cuadro10
,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,,2023,defunciones,Cuadro10
3.0,Total Nacional,268411,147544,120827,40,117628,115002,5,28880,5415,26,1036,410,9,,2023,defunciones,Cuadro10
5.0,05 Antioquia,37926,20571,17354,1,16240,16499,0,4078,765,1,253,90,0,,2023,defunciones,Cuadro10
8.0,08 Atlántico,15822,8372,7449,1,6983,7249,0,1357,191,1,32,9,0,,2023,defunciones,Cuadro10
11.0,11 Bogotá,40442,20737,19702,3,17776,18928,0,2653,623,1,308,151,2,,2023,defunciones,Cuadro10
13.0,13 Bolívar,10628,5892,4732,4,4648,4517,0,1227,209,4,17,6,0,,2023,defunciones,Cuadro10
15.0,15 Boyacá,6887,3860,3027,0,3285,2892,0,569,129,0,6,6,0,,2023,defunciones,Cuadro10
17.0,17 Caldas,6548,3591,2956,1,3079,2842,0,511,114,1,1,0,0,,2023,defunciones,Cuadro10
18.0,18 Caquetá,1767,1075,692,0,775,635,0,300,54,0,0,3,0,,2023,defunciones,Cuadro10
19.0,19 Cauca,6552,3819,2733,0,2603,2561,0,1216,172,0,0,0,0,,2023,defunciones,Cuadro10
20.0,20 Cesar,6098,3480,2612,6,2568,2434,0,869,161,6,43,17,0,,2023,defunciones,Cuadro10
23.0,23 Córdoba,9264,5095,4169,0,4211,3996,0,850,170,0,34,3,0,,2023,defunciones,Cuadro10
25.0,25 Cundinamarca,12610,7160,5446,4,5596,5117,0,1480,297,1,84,32,3,,2023,defunciones,Cuadro10
27.0,27 Chocó,1712,1014,698,0,672,651,0,333,46,0,9,1,0,,2023,defunciones,Cuadro10
41.0,41 Huila,6889,3937,2949,3,3040,2775,2,852,160,1,45,14,0,,2023,defunciones,Cuadro10
44.0,44 La Guajira,2695,1578,1117,0,1210,1058,0,361,54,0,7,5,0,,2023,defunciones,Cuadro10
47.0,47 Magdalena,6246,3559,2686,1,2693,2545,0,842,129,1,24,12,0,,2023,defunciones,Cuadro10
50.0,50 Meta,5649,3308,2339,2,2584,2150,2,708,179,0,16,10,0,,2023,defunciones,Cuadro10
52.0,52 Nariño,8080,4405,3673,2,3344,3465,1,1060,208,0,1,0,1,,2023,defunciones,Cuadro10
54.0,54 Norte de Santander,8890,5001,3883,6,3950,3672,0,1037,206,6,14,5,0,,2023,defunciones,Cuadro10
63.0,63 Quindío,4372,2460,1911,1,2026,1834,0,425,77,0,9,0,1,,2023,defunciones,Cuadro10
66.0,66 Risaralda,7429,4056,3373,0,3444,3225,0,609,148,0,3,0,0,,2023,defunciones,Cuadro10
68.0,68 Santander,12812,7036,5775,1,5834,5521,0,1147,239,0,55,15,1,,2023,defunciones,Cuadro10
70.0,70 Sucre,4706,2656,2048,2,2073,1967,0,582,81,2,1,0,0,,2023,defunciones,Cuadro10
73.0,73 Tolima,8837,4992,3845,0,4048,3656,0,916,176,0,28,13,0,,2023,defunciones,Cuadro10
76.0,76 Valle del Cauca,30337,16571,13764,2,12861,13153,0,3704,610,1,6,1,1,,2023,defunciones,Cuadro10
81.0,81 Arauca,1141,749,392,0,482,351,0,266,40,0,1,1,0,,2023,defunciones,Cuadro10
85.0,85 Casanare,1701,1043,658,0,740,588,0,299,68,0,4,2,0,,2023,defunciones,Cuadro10
86.0,86 Putumayo,1213,808,405,0,408,347,0,370,50,0,30,8,0,,2023,defunciones,Cuadro10
88.0,88 Archipiélago de San Andrés y Providencia,281,162,119,0,104,115,0,58,4,0,0,0,0,,2023,defunciones,Cuadro10
91.0,91 Amazonas,176,119,57,0,70,48,0,47,5,0,2,4,0,,2023,defunciones,Cuadro10
94.0,94 Guainía,132,74,58,0,59,53,0,13,4,0,2,1,0,,2023,defunciones,Cuadro10
95.0,95 Guaviare,285,191,94,0,108,74,0,82,20,0,1,0,0,,2023,defunciones,Cuadro10
97.0,97 Vaupés,100,53,47,0,35,28,0,18,19,0,0,0,0,,2023,defunciones,Cuadro10
99.0,99 Vichada,184,120,64,0,79,56,0,41,7,0,0,1,0,,2023,defunciones,Cuadro10
,Fuente: DANE - Estadísticas Vitales,,,,,,,,,,,,,,0.0,2023,defunciones,Cuadro10
,Fecha de actualización: 19 de diciembre de 2024,,,,,,,,,,,,,,,2023,defunciones,Cuadro10
