columna,"CUADRO 2 - Defunciones por persona que certifica la defunción, según departamento, área y sitio donde ocurrió la defunción",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,año,tipo,hoja_origen
,Año 2023,,,,,,,,,,2023,defunciones,Cuadro2
,Volver al índice,,,,Departamento,,,,,,2023,defunciones,Cuadro2
,"Departamento, área y sitio donde ocurrió la defunción",,,Total,Certificado de defunción expedido por,,,,,,2023,defunciones,Cuadro2
,,,,,Médico tratante,Médico no tratante,Médico legista,Personal de salud autorizado,Funcionario del registro civil,Sin información,2023,defunciones,Cuadro2
3.0,Total Nacional,Total,Total,268411,77904,150572,36986,636,11,2302,2023,defunciones,Cuadro2
3.0,,,Hospital/clínica,169682,70136,86777,12681,24,0,64,2023,defunciones,Cuadro2
3.0,,,Centro/puesto de salud,1285,267,529,482,2,0,5,2023,defunciones,Cuadro2
3.0,,,Casa/domicilio,74317,7005,60625,6040,585,10,52,2023,defunciones,Cuadro2
3.0,,,Lugar de trabajo,784,9,140,633,0,1,1,2023,defunciones,Cuadro2
3.0,,,Vía pública,11824,94,978,10687,12,0,53,2023,defunciones,Cuadro2
3.0,,,Otro sitio,7693,391,1423,5849,11,0,19,2023,defunciones,Cuadro2
3.0,,,Sin información,2826,2,100,614,2,0,2108,2023,defunciones,Cuadro2
3.0,,Cabecera municipal,Total,239781,76442,135127,27960,143,1,108,2023,defunciones,Cuadro2
3.0,,,Hospital/clínica,168113,69803,85574,12670,21,0,45,2023,defunciones,Cuadro2
3.0,,,Centro/puesto de salud,1000,210,402,383,0,0,5,2023,defunciones,Cuadro2
3.0,,,Casa/domicilio,58316,6034,47478,4669,117,1,17,2023,defunciones,Cuadro2
3.0,,,Lugar de trabajo,345,3,65,277,0,0,0,2023,defunciones,Cuadro2
3.0,,,Vía pública,7226,55,560,6577,2,0,32,2023,defunciones,Cuadro2
3.0,,,Otro sitio,4421,336,1002,3073,3,0,7,2023,defunciones,Cuadro2
3.0,,,Sin información,360,1,46,311,0,0,2,2023,defunciones,Cuadro2
3.0,,Centro poblado,Total,6647,433,4671,1436,87,5,15,2023,defunciones,Cuadro2
3.0,,,Hospital/clínica,832,174,647,6,3,0,2,2023,defunciones,Cuadro2
3.0,,,Centro/puesto de salud,158,45,86,25,2,0,0,2023,defunciones,Cuadro2
3.0,,,Casa/domicilio,4346,201,3761,293,78,5,8,2023,defunciones,Cuadro2
3.0,,,Lugar de trabajo,51,1,11,39,0,0,0,2023,defunciones,Cuadro2
3.0,,,Vía pública,768,6,77,680,1,0,4,2023,defunciones,Cuadro2
3.0,,,Otro sitio,455,6,84,361,3,0,1,2023,defunciones,Cuadro2
3.0,,,Sin información,37,0,5,32,0,0,0,2023,defunciones,Cuadro2
3.0,,Rural disperso,Total,19638,1029,10774,7352,406,5,72,2023,defunciones,Cuadro2
3.0,,,Hospital/clínica,735,159,556,5,0,0,15,2023,defunciones,Cuadro2
3.0,,,Centro/puesto de salud,122,12,41,69,0,0,0,2023,defunciones,Cuadro2
3.0,,,Casa/domicilio,11630,770,9386,1053,390,4,27,2023,defunciones,Cuadro2
3.0,,,Lugar de trabajo,385,5,64,314,0,1,1,2023,defunciones,Cuadro2
3.0,,,Vía pública,3753,33,341,3353,9,0,17,2023,defunciones,Cuadro2
3.0,,,Otro sitio,2772,49,337,2370,5,0,11,2023,defunciones,Cuadro2
3.0,,,Sin información,241,1,49,188,2,0,1,2023,defunciones,Cuadro2
3.0,,Sin información,Total,2345,0,0,238,0,0,2107,2023,defunciones,Cuadro2
