columna,"CUADRO 12 - Defunciones por grupos de edad y sexo, según departamentos de residencia y grupos de causas de defunción  (Lista Colombia 105 para la tabulación de mortalidad)",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,columna_27,columna_28,columna_29,columna_30,columna_31,columna_32,columna_33,columna_34,columna_35,columna_36,columna_37,columna_38,columna_39,columna_40,columna_41,columna_42,columna_43,columna_44,columna_45,columna_46,columna_47,columna_48,columna_49,columna_50,columna_51,columna_52,columna_53,columna_54,columna_55,columna_56,columna_57,columna_58,columna_59,columna_60,columna_61,columna_62,columna_63,columna_64,columna_65,columna_66,columna_67,columna_68,columna_69,columna_70,columna_71,columna_72,columna_73,columna_74,columna_75,columna_76,columna_77,columna_78,columna_79,columna_80,columna_81,columna_82,columna_83,columna_84,columna_85,columna_86,columna_87,columna_88,columna_89,columna_90,columna_91,columna_92,columna_93,columna_94,columna_95,año,tipo,hoja_origen
,Año 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,defunciones,Cuadro12
,Volver al índice,Departamento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,defunciones,Cuadro12
,Departamento de residencia | Grupos de causas de defunción (lista colombia 105 para la tabulación de mortalidad),,Total,Total,,,Menor 1 hora,,,De 1 a 23 horas,,,De 1 a 6 días,,,De 7 a 27 dias,,,De 28 a 29 días,,,De 1 a 5 meses,,,De 6 a 11 meses,,,De 1 año,,,De 2 a 4 años,,,De 5 a 9 años,,,De 10 a 14 años,,,De 15 a 19 años,,,De 20 a 24 años,,,De 25 a 29 años,,,De 30 a 34 años,,,De 35 a 39 años,,,De 40 a 44 años,,,De 45 a 49 años,,,De 50 a 54 años,,,De 55 a 59 años,,,De 60 a 64 años,,,De 65 a 69 años,,,De 70 a 74 años,,,De 75 a 79 años,,,De 80 a 84 años,,,De 85 a 89 años,,,De 90 a 94 años,,,De 95 a 99 años,,,De 100 años y más,,,Edad desconocida,,,2023,defunciones,Cuadro12
,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2023,defunciones,Cuadro12
3.0,Total Nacional,TOTAL,268411,147544,120827,40,151,108,3,310,223,1,837,613,2,672,540,1,33,21,0,844,592,0,380,279,0,373,291,0,438,344,0,448,365,0,660,516,0,2826,886,1,5082,1149,0,5426,1268,0,5019,1499,1,4405,1820,0,4492,2475,1,4510,2913,1,5610,3903,7,7617,5581,0,10348,7267,3,12756,9235,0,15068,11066,4,15878,13252,0,16396,16091,4,13977,17056,1,8877,13546,1,3277,6123,0,672,1727,1,162,78,8,2023,defunciones,Cuadro12
3.0,,001 Enfermedades infecciosas intestinales,1378,613,765,0,0,0,0,0,0,0,2,0,0,4,3,0,1,0,0,34,18,0,34,21,0,22,14,0,19,12,0,3,7,0,5,2,0,5,4,0,6,3,0,6,6,0,8,3,0,8,7,0,11,12,0,11,13,0,14,17,0,27,29,0,41,36,0,46,54,0,50,65,0,64,97,0,68,104,0,66,111,0,33,86,0,23,37,0,2,4,0,0,0,0,2023,defunciones,Cuadro12
3.0,,002 Tuberculosis y secuelas,1568,1115,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,5,1,0,4,2,0,0,5,0,8,12,0,36,14,0,64,30,0,66,19,0,58,20,0,64,28,0,51,21,0,64,24,0,91,36,0,111,26,0,101,40,0,128,46,0,99,44,0,96,44,0,44,26,0,15,7,0,5,5,0,2,0,0,0,0,0,2023,defunciones,Cuadro12
3.0,,003 Ciertas enfermedades transmitidas por vectores y rabia,462,275,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,5,0,4,1,0,6,7,0,24,15,0,13,10,0,9,5,0,7,7,0,2,3,0,8,2,0,5,6,0,3,5,0,7,7,0,15,14,0,15,7,0,20,12,0,21,14,0,37,14,0,30,15,0,25,22,0,6,8,0,7,6,0,1,1,0,0,1,0,0,0,0,2023,defunciones,Cuadro12
3.0,,004 Ciertas enfermedades inmunoprevenibles,42,24,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,1,0,3,1,0,1,0,0,0,4,0,5,3,0,2,1,0,1,2,0,4,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,2023,defunciones,Cuadro12
3.0,,"005 Septicemia, excepto neonatal",830,424,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,1,1,0,3,3,0,2,3,0,3,5,0,5,2,0,2,4,0,0,4,0,5,4,0,4,6,0,6,8,0,9,14,0,8,7,0,19,15,0,20,19,0,28,30,0,51,23,0,49,41,0,56,34,0,55,52,0,48,60,0,27,42,0,10,16,0,1,5,0,0,0,0,2023,defunciones,Cuadro12
3.0,,006 Todas las demás enfermedades bacterianas,390,213,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,4,0,1,0,0,2,3,0,0,4,0,4,2,0,9,2,0,1,5,0,5,2,0,6,5,0,4,3,0,4,8,0,3,2,0,5,5,0,14,11,0,26,23,0,27,15,0,23,15,0,29,18,0,20,18,0,16,15,0,8,13,0,0,3,0,0,0,0,0,0,0,2023,defunciones,Cuadro12
3.0,,007 Sífilis y otras enfermedades venéreas,45,29,16,0,0,1,0,1,4,0,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,2,1,0,3,0,0,0,1,0,3,1,0,5,1,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro12
