columna,"CUADRO 16 - Diez primeras causas de defunción, según departamento de residencia",columna_1,columna_2,año,tipo,hoja_origen
,Año 2023,,,2023,defunciones,Cuadro16
,Volver al índice,Departamento,,2023,defunciones,Cuadro16
,Departamento de Residencia,Causas de defunción a 3 caracteres CIE-10,Total,2023,defunciones,Cuadro16
3.0,Total Nacional,Total Defunciones,268411,2023,defunciones,Cuadro16
3.0,,I21 Infarto agudo del miocardio,41365,2023,defunciones,Cuadro16
3.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,14888,2023,defunciones,Cuadro16
3.0,,"X95 Agresión con disparo de otras armas de fuego, y las no especificadas",9757,2023,defunciones,Cuadro16
3.0,,"J18 Neumonía, organismo no especificado",5776,2023,defunciones,Cuadro16
3.0,,C16 Tumor maligno del estómago,5313,2023,defunciones,Cuadro16
3.0,,C34 Tumor maligno de los bronquios y del pulmón,4732,2023,defunciones,Cuadro16
3.0,,E11 Diabetes mellitus tipo 2,4498,2023,defunciones,Cuadro16
3.0,,C50 Tumor maligno de la mama,3846,2023,defunciones,Cuadro16
3.0,,G30 Enfermedad de alzheimer,3735,2023,defunciones,Cuadro16
3.0,,I69 Secuelas de enfermedad cerebrovascular,3723,2023,defunciones,Cuadro16
5.0,05 Antioquia,Total Defunciones,36680,2023,defunciones,Cuadro16
5.0,,I21 Infarto agudo del miocardio,4919,2023,defunciones,Cuadro16
5.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,2560,2023,defunciones,Cuadro16
5.0,,C34 Tumor maligno de los bronquios y del pulmón,1164,2023,defunciones,Cuadro16
5.0,,"J18 Neumonía, organismo no especificado",1009,2023,defunciones,Cuadro16
5.0,,"X95 Agresión con disparo de otras armas de fuego, y las no especificadas",867,2023,defunciones,Cuadro16
5.0,,C16 Tumor maligno del estómago,700,2023,defunciones,Cuadro16
5.0,,I10 Hipertensión esencial (primaria),698,2023,defunciones,Cuadro16
5.0,,N39 Otros trastornos del sistema urinario,613,2023,defunciones,Cuadro16
5.0,,G30 Enfermedad de alzheimer,578,2023,defunciones,Cuadro16
5.0,,C50 Tumor maligno de la mama,537,2023,defunciones,Cuadro16
8.0,08 Atlántico,Total Defunciones,14538,2023,defunciones,Cuadro16
8.0,,I21 Infarto agudo del miocardio,2088,2023,defunciones,Cuadro16
8.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,605,2023,defunciones,Cuadro16
8.0,,"X95 Agresión con disparo de otras armas de fuego, y las no especificadas",603,2023,defunciones,Cuadro16
8.0,,"J18 Neumonía, organismo no especificado",556,2023,defunciones,Cuadro16
8.0,,I69 Secuelas de enfermedad cerebrovascular,368,2023,defunciones,Cuadro16
8.0,,E11 Diabetes mellitus tipo 2,321,2023,defunciones,Cuadro16
8.0,,I67 Otras enfermedades cerebrovasculares,289,2023,defunciones,Cuadro16
8.0,,G30 Enfermedad de alzheimer,281,2023,defunciones,Cuadro16
8.0,,"J15 Neumonía bacteriana, no clasificada en otra parte",256,2023,defunciones,Cuadro16
8.0,,C50 Tumor maligno de la mama,255,2023,defunciones,Cuadro16
11.0,11 Bogotá,Total Defunciones,35052,2023,defunciones,Cuadro16
11.0,,I21 Infarto agudo del miocardio,5174,2023,defunciones,Cuadro16
11.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,2020,2023,defunciones,Cuadro16
11.0,,C16 Tumor maligno del estómago,964,2023,defunciones,Cuadro16
11.0,,G30 Enfermedad de alzheimer,842,2023,defunciones,Cuadro16
11.0,,I11 Enfermedad cardíaca hipertensiva,646,2023,defunciones,Cuadro16
11.0,,C18 Tumor maligno del colon,644,2023,defunciones,Cuadro16
11.0,,C34 Tumor maligno de los bronquios y del pulmón,617,2023,defunciones,Cuadro16
11.0,,I25 Enfermedad isquémica crónica del corazón,608,2023,defunciones,Cuadro16
11.0,,E11 Diabetes mellitus tipo 2,592,2023,defunciones,Cuadro16
11.0,,C50 Tumor maligno de la mama,580,2023,defunciones,Cuadro16
13.0,13 Bolívar,Total Defunciones,10771,2023,defunciones,Cuadro16
13.0,,I21 Infarto agudo del miocardio,1151,2023,defunciones,Cuadro16
13.0,,"X95 Agresión con disparo de otras armas de fuego, y las no especificadas",545,2023,defunciones,Cuadro16
13.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,433,2023,defunciones,Cuadro16
13.0,,"J18 Neumonía, organismo no especificado",390,2023,defunciones,Cuadro16
13.0,,I10 Hipertensión esencial (primaria),342,2023,defunciones,Cuadro16
13.0,,I69 Secuelas de enfermedad cerebrovascular,280,2023,defunciones,Cuadro16
13.0,,E11 Diabetes mellitus tipo 2,202,2023,defunciones,Cuadro16
13.0,,"E14 Diabetes mellitus, no especificada",201,2023,defunciones,Cuadro16
13.0,,C34 Tumor maligno de los bronquios y del pulmón,196,2023,defunciones,Cuadro16
13.0,,C61 Tumor maligno de la próstata,184,2023,defunciones,Cuadro16
15.0,15 Boyacá,Total Defunciones,7237,2023,defunciones,Cuadro16
15.0,,I21 Infarto agudo del miocardio,1223,2023,defunciones,Cuadro16
15.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,707,2023,defunciones,Cuadro16
15.0,,C16 Tumor maligno del estómago,187,2023,defunciones,Cuadro16
15.0,,I11 Enfermedad cardíaca hipertensiva,171,2023,defunciones,Cuadro16
15.0,,E11 Diabetes mellitus tipo 2,160,2023,defunciones,Cuadro16
15.0,,C61 Tumor maligno de la próstata,106,2023,defunciones,Cuadro16
15.0,,"J15 Neumonía bacteriana, no clasificada en otra parte",106,2023,defunciones,Cuadro16
15.0,,K70 Enfermedad alcohólica del hígado,96,2023,defunciones,Cuadro16
15.0,,I63 Infarto cerebral,94,2023,defunciones,Cuadro16
15.0,,E78 Trastornos del metabolismo de las lipoproteínas y otras lipidemias,93,2023,defunciones,Cuadro16
17.0,17 Caldas,Total Defunciones,6682,2023,defunciones,Cuadro16
17.0,,I21 Infarto agudo del miocardio,1187,2023,defunciones,Cuadro16
17.0,,J44 Otras enfermedades pulmonares obstructivas crónicas,499,2023,defunciones,Cuadro16
17.0,,C16 Tumor maligno del estómago,153,2023,defunciones,Cuadro16
17.0,,"J18 Neumonía, organismo no especificado",146,2023,defunciones,Cuadro16
17.0,,C34 Tumor maligno de los bronquios y del pulmón,134,2023,defunciones,Cuadro16
17.0,,E11 Diabetes mellitus tipo 2,117,2023,defunciones,Cuadro16
17.0,,I25 Enfermedad isquémica crónica del corazón,103,2023,defunciones,Cuadro16
17.0,,I67 Otras enfermedades cerebrovasculares,95,2023,defunciones,Cuadro16
17.0,,I63 Infarto cerebral,92,2023,defunciones,Cuadro16
17.0,,"J15 Neumonía bacteriana, no clasificada en otra parte",90,2023,defunciones,Cuadro16
18.0,18 Caquetá,Total Defunciones,1933,2023,defunciones,Cuadro16
18.0,,I21 Infarto agudo del miocardio,260,2023,defunciones,Cuadro16
