columna,"CUADRO 7 - Defunciones maternas, por grupos de edad, según departamento de residencia y grupos de causas de defunción  (Lista de causas agrupadas 6/67 CIE-10 de OPS)",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,año,tipo,hoja_origen
,Año 2023,,,,,,,,,,,,,2023,defunciones,Cuadro7
,Volver al índice,Departamento,,,,,,,,,,,,2023,defunciones,Cuadro7
,"Departamento de residencia | Grupos de causas de defunción 
(Lista de causas agrupadas 6/67 CIE-10 de OPS)",,Total,Grupos de edad,,,,,,,,,,2023,defunciones,Cuadro7
,,,,"10 - 14
 años","15 - 19
 años","20 - 24
 años","25 - 29
 años","30 - 34
 años","35 - 39
 años","40 - 44
 años","45 - 49
 años","50 - 54
 años",Edad desconocida,2023,defunciones,Cuadro7
3.0,Total Nacional,TOTAL,415,8,51,84,81,85,73,28,5,1,0,2023,defunciones,Cuadro7
3.0,,Embarazo terminado en aborto (O00-O08),18,0,1,7,2,2,3,3,0,0,0,2023,defunciones,Cuadro7
3.0,,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio (O10-O16)",46,2,8,9,6,9,10,2,0,0,0,2023,defunciones,Cuadro7
3.0,,Otros trastornos relacionados principalmente con el embarazo (O20-O29),4,0,0,2,1,1,0,0,0,0,0,2023,defunciones,Cuadro7
3.0,,Atencion materna relacionada con el feto y la cavidad amniotica y con posibles problemas del parto (O30-O48),16,0,0,3,5,2,4,1,1,0,0,2023,defunciones,Cuadro7
3.0,,Complicaciones del trabajo del parto y del parto (O60-O75),40,1,5,8,6,8,8,3,1,0,0,2023,defunciones,Cuadro7
3.0,,Complicaciones principalmente relacionadas con el puerperio (O85-O92),36,0,5,5,6,8,10,2,0,0,0,2023,defunciones,Cuadro7
3.0,,Otras afecciones obstetricas no clasificadas en otra parte (O95-O99),255,5,32,50,55,55,38,17,3,1,0,2023,defunciones,Cuadro7
5.0,05 Antioquia,TOTAL,30,1,3,5,6,9,3,3,0,0,0,2023,defunciones,Cuadro7
5.0,,Embarazo terminado en aborto (O00-O08),2,0,0,2,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
5.0,,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio (O10-O16)",3,0,0,0,0,2,0,1,0,0,0,2023,defunciones,Cuadro7
5.0,,Otros trastornos relacionados principalmente con el embarazo (O20-O29),0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
5.0,,Atencion materna relacionada con el feto y la cavidad amniotica y con posibles problemas del parto (O30-O48),0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
5.0,,Complicaciones del trabajo del parto y del parto (O60-O75),4,1,1,0,0,1,0,1,0,0,0,2023,defunciones,Cuadro7
5.0,,Complicaciones principalmente relacionadas con el puerperio (O85-O92),3,0,1,0,1,1,0,0,0,0,0,2023,defunciones,Cuadro7
5.0,,Otras afecciones obstetricas no clasificadas en otra parte (O95-O99),18,0,1,3,5,5,3,1,0,0,0,2023,defunciones,Cuadro7
8.0,08 Atlántico,TOTAL,27,0,0,8,3,8,6,2,0,0,0,2023,defunciones,Cuadro7
8.0,,Embarazo terminado en aborto (O00-O08),0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
8.0,,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio (O10-O16)",2,0,0,0,0,1,1,0,0,0,0,2023,defunciones,Cuadro7
8.0,,Otros trastornos relacionados principalmente con el embarazo (O20-O29),0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
8.0,,Atencion materna relacionada con el feto y la cavidad amniotica y con posibles problemas del parto (O30-O48),1,0,0,0,0,0,1,0,0,0,0,2023,defunciones,Cuadro7
8.0,,Complicaciones del trabajo del parto y del parto (O60-O75),1,0,0,1,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
8.0,,Complicaciones principalmente relacionadas con el puerperio (O85-O92),6,0,0,1,1,1,2,1,0,0,0,2023,defunciones,Cuadro7
8.0,,Otras afecciones obstetricas no clasificadas en otra parte (O95-O99),17,0,0,6,2,6,2,1,0,0,0,2023,defunciones,Cuadro7
11.0,11 Bogotá,TOTAL,31,0,3,4,8,5,8,3,0,0,0,2023,defunciones,Cuadro7
11.0,,Embarazo terminado en aborto (O00-O08),2,0,0,0,0,0,1,1,0,0,0,2023,defunciones,Cuadro7
11.0,,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio (O10-O16)",4,0,1,0,0,2,1,0,0,0,0,2023,defunciones,Cuadro7
11.0,,Otros trastornos relacionados principalmente con el embarazo (O20-O29),0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
11.0,,Atencion materna relacionada con el feto y la cavidad amniotica y con posibles problemas del parto (O30-O48),0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
11.0,,Complicaciones del trabajo del parto y del parto (O60-O75),2,0,0,1,1,0,0,0,0,0,0,2023,defunciones,Cuadro7
11.0,,Complicaciones principalmente relacionadas con el puerperio (O85-O92),2,0,0,0,0,1,1,0,0,0,0,2023,defunciones,Cuadro7
11.0,,Otras afecciones obstetricas no clasificadas en otra parte (O95-O99),21,0,2,3,7,2,5,2,0,0,0,2023,defunciones,Cuadro7
13.0,13 Bolívar,TOTAL,30,0,2,9,5,5,8,1,0,1,0,2023,defunciones,Cuadro7
13.0,,Embarazo terminado en aborto (O00-O08),4,0,0,1,0,1,1,1,0,0,0,2023,defunciones,Cuadro7
13.0,,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio (O10-O16)",4,0,0,2,1,0,1,0,0,0,0,2023,defunciones,Cuadro7
13.0,,Otros trastornos relacionados principalmente con el embarazo (O20-O29),0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
13.0,,Atencion materna relacionada con el feto y la cavidad amniotica y con posibles problemas del parto (O30-O48),0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
13.0,,Complicaciones del trabajo del parto y del parto (O60-O75),2,0,0,0,0,1,1,0,0,0,0,2023,defunciones,Cuadro7
13.0,,Complicaciones principalmente relacionadas con el puerperio (O85-O92),0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
13.0,,Otras afecciones obstetricas no clasificadas en otra parte (O95-O99),20,0,2,6,4,3,5,0,0,1,0,2023,defunciones,Cuadro7
15.0,15 Boyacá,TOTAL,11,0,2,2,2,2,2,0,1,0,0,2023,defunciones,Cuadro7
15.0,,Embarazo terminado en aborto (O00-O08),0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
15.0,,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio (O10-O16)",0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
15.0,,Otros trastornos relacionados principalmente con el embarazo (O20-O29),0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
15.0,,Atencion materna relacionada con el feto y la cavidad amniotica y con posibles problemas del parto (O30-O48),0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
15.0,,Complicaciones del trabajo del parto y del parto (O60-O75),1,0,0,0,0,0,1,0,0,0,0,2023,defunciones,Cuadro7
15.0,,Complicaciones principalmente relacionadas con el puerperio (O85-O92),2,0,0,0,0,1,1,0,0,0,0,2023,defunciones,Cuadro7
15.0,,Otras afecciones obstetricas no clasificadas en otra parte (O95-O99),8,0,2,2,2,1,0,0,1,0,0,2023,defunciones,Cuadro7
17.0,17 Caldas,TOTAL,4,0,0,0,0,1,2,1,0,0,0,2023,defunciones,Cuadro7
17.0,,Embarazo terminado en aborto (O00-O08),0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
17.0,,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio (O10-O16)",0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
17.0,,Otros trastornos relacionados principalmente con el embarazo (O20-O29),0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
17.0,,Atencion materna relacionada con el feto y la cavidad amniotica y con posibles problemas del parto (O30-O48),0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
17.0,,Complicaciones del trabajo del parto y del parto (O60-O75),0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
17.0,,Complicaciones principalmente relacionadas con el puerperio (O85-O92),0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
17.0,,Otras afecciones obstetricas no clasificadas en otra parte (O95-O99),4,0,0,0,0,1,2,1,0,0,0,2023,defunciones,Cuadro7
18.0,18 Caquetá,TOTAL,6,0,0,1,1,2,2,0,0,0,0,2023,defunciones,Cuadro7
18.0,,Embarazo terminado en aborto (O00-O08),0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
18.0,,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio (O10-O16)",3,0,0,0,0,1,2,0,0,0,0,2023,defunciones,Cuadro7
18.0,,Otros trastornos relacionados principalmente con el embarazo (O20-O29),0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
18.0,,Atencion materna relacionada con el feto y la cavidad amniotica y con posibles problemas del parto (O30-O48),0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
18.0,,Complicaciones del trabajo del parto y del parto (O60-O75),0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
18.0,,Complicaciones principalmente relacionadas con el puerperio (O85-O92),0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
18.0,,Otras afecciones obstetricas no clasificadas en otra parte (O95-O99),3,0,0,1,1,1,0,0,0,0,0,2023,defunciones,Cuadro7
19.0,19 Cauca,TOTAL,14,0,1,4,3,2,3,0,1,0,0,2023,defunciones,Cuadro7
19.0,,Embarazo terminado en aborto (O00-O08),0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
19.0,,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio (O10-O16)",2,0,0,0,0,1,1,0,0,0,0,2023,defunciones,Cuadro7
19.0,,Otros trastornos relacionados principalmente con el embarazo (O20-O29),0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
19.0,,Atencion materna relacionada con el feto y la cavidad amniotica y con posibles problemas del parto (O30-O48),2,0,0,1,1,0,0,0,0,0,0,2023,defunciones,Cuadro7
19.0,,Complicaciones del trabajo del parto y del parto (O60-O75),3,0,0,0,1,0,1,0,1,0,0,2023,defunciones,Cuadro7
19.0,,Complicaciones principalmente relacionadas con el puerperio (O85-O92),1,0,0,1,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
19.0,,Otras afecciones obstetricas no clasificadas en otra parte (O95-O99),6,0,1,2,1,1,1,0,0,0,0,2023,defunciones,Cuadro7
20.0,20 Cesar,TOTAL,15,0,2,1,6,3,2,1,0,0,0,2023,defunciones,Cuadro7
20.0,,Embarazo terminado en aborto (O00-O08),0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
20.0,,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio (O10-O16)",2,0,1,0,0,0,1,0,0,0,0,2023,defunciones,Cuadro7
20.0,,Otros trastornos relacionados principalmente con el embarazo (O20-O29),1,0,0,1,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
20.0,,Atencion materna relacionada con el feto y la cavidad amniotica y con posibles problemas del parto (O30-O48),0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
20.0,,Complicaciones del trabajo del parto y del parto (O60-O75),2,0,0,0,1,1,0,0,0,0,0,2023,defunciones,Cuadro7
20.0,,Complicaciones principalmente relacionadas con el puerperio (O85-O92),0,0,0,0,0,0,0,0,0,0,0,2023,defunciones,Cuadro7
20.0,,Otras afecciones obstetricas no clasificadas en otra parte (O95-O99),10,0,1,0,5,2,1,1,0,0,0,2023,defunciones,Cuadro7
23.0,23 Córdoba,TOTAL,16,0,4,5,3,1,2,1,0,0,0,2023,defunciones,Cuadro7
23.0,,Embarazo terminado en aborto (O00-O08),1,0,0,0,0,0,1,0,0,0,0,2023,defunciones,Cuadro7
