columna,"CUADRO 6 - Defunciones por sitio donde ocurrió la defunción, según departamento de ocurrencia y régimen de seguridad social",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,año,tipo,hoja_origen
,Año 2023,,,,,,,,,,2023,defunciones,Cuadro6
,Volver al índice,,,,Departamento,,,,,,2023,defunciones,Cuadro6
,Departamento de ocurrencia y régimen de seguridad social del fallecido,,Total,Sitio donde ocurrió la defunción,,,,,,,2023,defunciones,Cuadro6
,,,,Hospital/clínica,Centro / puesto de salud,Casa/domicilio,Lugar de trabajo,Vía pública,Otro sitio,Sin información,2023,defunciones,Cuadro6
3.0,Total Nacional,TOTAL,268411,169682,1285,74317,784,11824,7693,2826,2023,defunciones,Cuadro6
3.0,,Contributivo,102000,66243,316,29691,328,3367,1907,148,2023,defunciones,Cuadro6
3.0,,Subsidiado,150652,94801,903,41713,391,7317,5065,462,2023,defunciones,Cuadro6
3.0,,Excepción,7152,5514,8,1566,1,16,45,2,2023,defunciones,Cuadro6
3.0,,Especial,496,290,1,197,0,1,7,0,2023,defunciones,Cuadro6
3.0,,No asegurado,2535,1779,20,627,9,55,39,6,2023,defunciones,Cuadro6
3.0,,Sin información,5576,1055,37,523,55,1068,630,2208,2023,defunciones,Cuadro6
5.0,05 Antioquia,TOTAL,37926,21699,91,12542,127,1693,1342,432,2023,defunciones,Cuadro6
5.0,,Contributivo,18448,10648,46,6625,67,585,420,57,2023,defunciones,Cuadro6
5.0,,Subsidiado,17862,10277,43,5563,50,976,789,164,2023,defunciones,Cuadro6
5.0,,Excepción,579,444,0,123,0,2,10,0,2023,defunciones,Cuadro6
5.0,,Especial,141,70,0,69,0,0,2,0,2023,defunciones,Cuadro6
5.0,,No asegurado,257,165,0,69,3,11,8,1,2023,defunciones,Cuadro6
5.0,,Sin información,639,95,2,93,7,119,113,210,2023,defunciones,Cuadro6
8.0,08 Atlántico,TOTAL,15822,11771,54,3000,20,377,552,48,2023,defunciones,Cuadro6
8.0,,Contributivo,5257,3895,16,1096,9,97,137,7,2023,defunciones,Cuadro6
8.0,,Subsidiado,9828,7388,36,1783,9,239,358,15,2023,defunciones,Cuadro6
8.0,,Excepción,380,329,0,50,0,1,0,0,2023,defunciones,Cuadro6
8.0,,Especial,31,20,0,11,0,0,0,0,2023,defunciones,Cuadro6
8.0,,No asegurado,165,106,0,48,0,7,4,0,2023,defunciones,Cuadro6
8.0,,Sin información,161,33,2,12,2,33,53,26,2023,defunciones,Cuadro6
11.0,11 Bogotá,TOTAL,40442,28333,30,10592,33,832,579,43,2023,defunciones,Cuadro6
11.0,,Contributivo,24571,16542,14,7342,21,388,261,3,2023,defunciones,Cuadro6
11.0,,Subsidiado,12951,9677,12,2668,9,322,257,6,2023,defunciones,Cuadro6
11.0,,Excepción,1886,1470,1,405,0,1,9,0,2023,defunciones,Cuadro6
11.0,,Especial,177,135,0,39,0,0,3,0,2023,defunciones,Cuadro6
11.0,,No asegurado,318,258,0,57,0,2,1,0,2023,defunciones,Cuadro6
11.0,,Sin información,539,251,3,81,3,119,48,34,2023,defunciones,Cuadro6
13.0,13 Bolívar,TOTAL,10628,7190,127,2198,43,527,284,259,2023,defunciones,Cuadro6
13.0,,Contributivo,2538,1877,19,460,13,116,51,2,2023,defunciones,Cuadro6
13.0,,Subsidiado,7332,4963,98,1647,25,375,209,15,2023,defunciones,Cuadro6
13.0,,Excepción,291,237,1,53,0,0,0,0,2023,defunciones,Cuadro6
13.0,,Especial,5,3,0,2,0,0,0,0,2023,defunciones,Cuadro6
13.0,,No asegurado,116,80,4,27,1,3,1,0,2023,defunciones,Cuadro6
13.0,,Sin información,346,30,5,9,4,33,23,242,2023,defunciones,Cuadro6
15.0,15 Boyacá,TOTAL,6887,3819,55,2512,47,229,217,8,2023,defunciones,Cuadro6
15.0,,Contributivo,2083,1263,14,648,23,82,52,1,2023,defunciones,Cuadro6
15.0,,Subsidiado,4475,2368,39,1762,19,131,152,4,2023,defunciones,Cuadro6
